Arch2_bench1,Arch2_bench2,Arch2_sa,Arch2_ff,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch4_ff,Arch5_bench1,Arch5_bench2,Arch5_sa,Arch5_ff,total_cnk,
0,0,20370,0,0,0,14494,0,0,0,20446,0,32832,
0,0,20134,0,0,0,14365,0,0,0,20222,0,32119,
0,0,20145,0,0,0,14346,0,0,0,20260,0,32646,
0,0,20430,0,0,0,14488,0,0,0,20529,0,33492,
0,0,19412,0,0,0,13975,0,0,0,19506,0,30504,
0,0,19583,0,0,0,14131,0,0,0,19695,0,30782,
0,0,19971,0,0,0,14369,0,0,0,20076,0,31656,
0,0,19475,0,0,0,14080,0,0,0,19604,0,30723,
0,0,19622,0,0,0,14126,0,0,0,19717,0,30607,
0,0,19963,0,0,0,14302,0,0,0,20061,0,31617,
0,0,19691,0,0,0,14184,0,0,0,19791,0,30762,
0,0,19694,0,0,0,14201,0,0,0,19817,0,31049,
0,0,19959,0,0,0,14292,0,0,0,20055,0,31724,
0,0,19392,0,0,0,14025,0,0,0,19496,0,30185,
0,0,20205,0,0,0,14366,0,0,0,20317,0,32564,
0,0,19558,0,0,0,14060,0,0,0,19643,0,30636,
0,0,19754,0,0,0,14222,0,0,0,19864,0,30824,
0,0,19351,0,0,0,13965,0,0,0,19469,0,30027,
0,0,19939,0,0,0,14311,0,0,0,20053,0,31618,
0,0,19362,0,0,0,13955,0,0,0,19443,0,30172,
