Arch2_bench1,Arch2_bench2,Arch2_sa,Arch2_ff,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch4_ff,Arch5_bench1,Arch5_bench2,Arch5_sa,Arch5_ff,total_cnk,
8366,8366,8366,0,8357,8351,8362,0,8366,8366,8366,0,8366,
8520,8520,8520,0,8520,8519,8520,0,8520,8520,8520,0,8520,
8392,8392,8392,0,8392,8392,8392,0,8392,8392,8392,0,8392,
8620,8620,8620,0,8617,8616,8620,0,8620,8620,8620,0,8620,
8397,8397,8397,0,8396,8396,8397,0,8397,8397,8397,0,8397,
8892,8892,8892,0,8892,8890,8892,0,8892,8892,8892,0,8892,
8701,8701,8701,0,8682,8681,8693,0,8701,8701,8701,0,8701,
8351,8351,8351,0,8326,8326,8343,0,8351,8351,8351,0,8351,
8787,8787,8787,0,8785,8787,8787,0,8787,8787,8787,0,8787,
8602,8602,8602,0,8596,8593,8600,0,8602,8602,8602,0,8602,
8055,8055,8055,0,8046,8046,8054,0,8055,8055,8055,0,8055,
8657,8657,8657,0,8652,8650,8654,0,8657,8657,8657,0,8657,
8385,8385,8385,0,8381,8379,8383,0,8385,8385,8385,0,8385,
8246,8246,8246,0,8246,8246,8246,0,8246,8246,8246,0,8246,
8425,8425,8425,0,8421,8417,8423,0,8425,8425,8425,0,8425,
8442,8442,8442,0,8442,8442,8442,0,8442,8442,8442,0,8442,
8880,8880,8880,0,8875,8873,8877,0,8880,8880,8880,0,8880,
7943,7943,7943,0,7943,7943,7943,0,7943,7943,7943,0,7943,
8622,8622,8622,0,8622,8622,8622,0,8622,8622,8622,0,8622,
8190,8190,8190,0,8190,8190,8190,0,8190,8190,8190,0,8190,
