Arch2_bench1,Arch2_bench2,Arch2_sa,Arch2_ff,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch4_ff,Arch5_bench1,Arch5_bench2,Arch5_sa,Arch5_ff,total_cnk,
17637,18159,18004,0,10500,10630,14041,0,17637,18226,18079,0,18412,
18016,18565,18365,0,10334,10494,14113,0,18016,18653,18468,0,18893,
17350,17716,17578,0,10282,10459,13825,0,17350,17787,17651,0,17933,
17936,19197,18974,0,10231,10464,14134,0,17936,19286,19082,0,19692,
17568,18212,18037,0,10216,10346,13915,0,17568,18287,18125,0,18529,
18588,19852,19606,0,10441,10610,14607,0,18588,19942,19725,0,20337,
18218,18917,18738,0,10441,10562,14193,0,18218,19000,18842,0,19295,
17912,18643,18435,0,10262,10431,14111,0,17912,18716,18544,0,18975,
17549,17916,17811,0,10474,10570,13918,0,17549,17979,17873,0,18130,
17625,17950,17825,0,10427,10589,13735,0,17625,18047,17893,0,18195,
18129,18789,18643,0,10297,10445,14160,0,18129,18870,18727,0,19111,
17841,18294,18140,0,10313,10504,13949,0,17841,18369,18239,0,18585,
18275,19062,18877,0,10489,10620,14245,0,18275,19151,18983,0,19461,
18257,18728,18553,0,10363,10594,14114,0,18257,18811,18652,0,19027,
18265,18792,18626,0,10526,10632,14112,0,18265,18867,18701,0,19064,
18318,18919,18711,0,10447,10611,14107,0,18318,18990,18816,0,19235,
17717,18391,18198,0,10118,10281,13784,0,17717,18477,18294,0,18781,
17608,17977,17873,0,10314,10513,13783,0,17608,18067,17936,0,18236,
17901,18236,18098,0,10284,10356,13882,0,17901,18303,18184,0,18485,
18627,19343,19107,0,10524,10685,14273,0,18627,19406,19207,0,19673,
