Arch2_bench1,Arch2_bench2,Arch4_bench1,Arch4_bench2,Arch5_bench1,Arch5_bench2,total_cnk,
11031,21995,6371,7139,11037,22057,32575,
11479,21674,6593,7246,11484,21743,30446,
11647,21941,6652,7372,11654,22026,30614,
11236,22326,6460,7194,11241,22390,32376,
11277,21668,6503,7213,11280,21723,30977,
11445,22109,6580,7248,11452,22175,31832,
11279,21892,6560,7334,11288,21961,30990,
11311,22119,6495,7213,11322,22188,32960,
11303,21863,6482,7190,11309,21940,31579,
11353,21028,6640,7240,11359,21109,29077,
11362,21722,6591,7291,11369,21782,30606,
11156,21460,6520,7308,11161,21526,30449,
11530,21320,6676,7337,11537,21389,29886,
11165,21787,6468,7217,11165,21853,31903,
11238,22006,6477,7140,11241,22067,31919,
11296,21733,6541,7236,11299,21802,32115,
11354,20382,6708,7383,11356,20463,26670,
11312,22003,6500,7204,11314,22067,32320,
11325,21124,6542,7126,11333,21191,29881,
11589,21974,6628,7200,11596,22041,30761,
