Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
8920,8920,8920,8904,8892,7943,8920,8920,8920,8920,
9184,9184,9184,9174,9174,8078,9184,9184,9184,9184,
9271,9271,9271,9190,9186,8185,9271,9271,9271,9271,
8833,8833,8833,8790,8782,7923,8833,8833,8833,8833,
9529,9529,9529,9438,9425,8338,9529,9529,9529,9529,
9233,9233,9233,9171,9165,8137,9233,9233,9233,9233,
9592,9592,9592,9551,9549,8361,9592,9592,9592,9592,
8217,8217,8217,8210,8203,7471,8217,8217,8217,8217,
9195,9195,9195,9178,9167,8136,9195,9195,9195,9195,
9679,9679,9679,9579,9569,8433,9679,9679,9679,9679,
