Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
12088,16233,16435,7867,7867,9206,12231,16492,16657,31520,
12053,16227,16389,7858,7858,9178,12200,16476,16616,31750,
12057,16595,16786,7859,7859,9287,12204,16823,16982,33130,
12016,16129,16304,7835,7835,9124,12165,16390,16436,31484,
11983,15989,16198,7861,7861,9091,12128,16225,16295,30684,
12071,16533,16724,7865,7865,9306,12215,16767,16936,32585,
11921,15841,16000,7809,7809,9030,12075,16074,16103,30440,
11890,15780,16040,7844,7844,9093,12035,16049,16306,30330,
12008,16188,16370,7851,7851,9229,12164,16450,16555,31691,
12185,16356,16499,7907,7907,9235,12326,16586,16684,31954,
