#cores,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
1.0,11298.0,578468.0,11298.0,0.0,0.0,0.0,10502.0,487268.0,10502.0
2.0,17443.0,1418746.0,17443.0,0.0,0.0,0.0,16109.0,1157468.0,16109.0
4.0,24867.0,3127467.0,24867.0,0.0,0.0,0.0,23125.0,2955433.0,23125.0
6.0,29143.0,4438067.0,29143.0,0.0,0.0,0.0,27718.0,4291867.0,27718.0
8.0,31100.0,5057368.0,31100.0,0.0,0.0,0.0,30398.0,4980068.0,30398.0
10.0,31444.0,5181368.0,31444.0,0.0,0.0,0.0,31444.0,5181368.0,31444.0
12.0,31444.0,5181368.0,31444.0,0.0,0.0,0.0,31444.0,5181368.0,31444.0
14.0,31444.0,5181368.0,31444.0,0.0,0.0,0.0,31444.0,5181368.0,31444.0
16.0,31444.0,5181368.0,31444.0,0.0,0.0,0.0,31444.0,5181368.0,31444.0
18.0,31444.0,5181368.0,31444.0,0.0,0.0,0.0,31444.0,5181368.0,31444.0
20.0,31444.0,5181368.0,31444.0,0.0,0.0,0.0,31444.0,5181368.0,31444.0
