#cores,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
1.0,2557.0,933433.0,93345857.0,0.0,0.0,0.0,2961.0,895171.0,89520061.0
2.0,5768.0,1846697.0,184675468.0,0.0,0.0,0.0,6281.0,1750601.0,175066381.0
4.0,14990.0,3461291.0,346144090.0,0.0,0.0,0.0,14608.0,3184852.0,318499808.0
6.0,23033.0,4431947.0,443217733.0,0.0,0.0,0.0,22414.0,4212068.0,421229214.0
8.0,27857.0,4833862.0,483414057.0,0.0,0.0,0.0,27996.0,4766646.0,476692596.0
10.0,29251.0,4869264.0,486955651.0,0.0,0.0,0.0,29251.0,4869264.0,486955651.0
12.0,29251.0,4869264.0,486955651.0,0.0,0.0,0.0,29251.0,4869264.0,486955651.0
14.0,29251.0,4869264.0,486955651.0,0.0,0.0,0.0,29251.0,4869264.0,486955651.0
16.0,29251.0,4869264.0,486955651.0,0.0,0.0,0.0,29251.0,4869264.0,486955651.0
18.0,29251.0,4869264.0,486955651.0,0.0,0.0,0.0,29251.0,4869264.0,486955651.0
20.0,29251.0,4869264.0,486955651.0,0.0,0.0,0.0,29251.0,4869264.0,486955651.0
