#cores,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
1.0,11322.0,575550.0,11322.0,0.0,0.0,0.0,10343.0,473950.0,10343.0
2.0,17413.0,1417310.0,17413.0,0.0,0.0,0.0,15756.0,1357810.0,15756.0
4.0,24818.0,3144448.0,24818.0,0.0,0.0,0.0,23125.0,2979328.0,23125.0
6.0,29040.0,4393249.0,29040.0,0.0,0.0,0.0,27587.0,4243550.0,27587.0
8.0,31081.0,5060650.0,31081.0,0.0,0.0,0.0,30464.0,4996850.0,30464.0
10.0,31431.0,5184850.0,31431.0,0.0,0.0,0.0,31431.0,5184850.0,31431.0
12.0,31431.0,5184850.0,31431.0,0.0,0.0,0.0,31431.0,5184850.0,31431.0
14.0,31431.0,5184850.0,31431.0,0.0,0.0,0.0,31431.0,5184850.0,31431.0
16.0,31431.0,5184850.0,31431.0,0.0,0.0,0.0,31431.0,5184850.0,31431.0
18.0,31431.0,5184850.0,31431.0,0.0,0.0,0.0,31431.0,5184850.0,31431.0
20.0,31431.0,5184850.0,31431.0,0.0,0.0,0.0,31431.0,5184850.0,31431.0
