Arch2_bench1,Arch2_bench2,Arch2_sa,Arch2_ff,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch4_ff,Arch5_bench1,Arch5_bench2,Arch5_sa,Arch5_ff,total_cnk,
13104,23324,23249,23110,8028,8580,16120,29110,13107,23427,23433,23271,29110,
13615,24494,24764,24548,7994,8443,16852,31808,13617,24592,24955,24701,31808,
13524,24102,24412,24174,8022,8598,16601,31231,13528,24203,24569,24329,31231,
13284,23508,23662,23496,8049,8433,16447,29822,13289,23616,23856,23652,29822,
13203,24244,24469,24177,7882,8531,16681,31521,13212,24357,24647,24367,31521,
13520,23409,23419,23192,8165,8605,16292,29216,13525,23518,23577,23321,29216,
13494,24324,24490,24309,8092,8648,16775,31236,13502,24425,24668,24474,31236,
12960,24678,24801,24700,7890,8505,16879,32266,12969,24774,24966,24838,32266,
12919,24809,25086,24977,7818,8569,16877,32622,12924,24903,25276,25106,32622,
13232,23894,24081,23908,8127,8693,16433,30481,13240,23989,24259,24040,30481,
13255,24626,24709,24602,7908,8486,16810,31660,13262,24743,24886,24751,31660,
12982,23139,23338,23176,8007,8567,16102,29460,12983,23258,23521,23332,29460,
13434,24428,24536,24368,8000,8533,16811,31515,13441,24532,24737,24520,31515,
13141,24223,24389,24184,7923,8477,16590,30966,13148,24316,24551,24339,30966,
13151,24237,24502,24337,7935,8496,16694,31488,13164,24337,24666,24473,31488,
13387,23237,23272,23059,8052,8601,16145,29204,13391,23350,23436,23191,29204,
13548,24326,24376,24182,8164,8766,16684,30648,13560,24411,24541,24303,30648,
13462,24921,25145,25008,8062,8525,17050,32251,13472,25006,25325,25143,32251,
13333,24744,25034,24868,7996,8537,16962,32306,13346,24827,25204,25021,32306,
13306,23861,23944,23715,8052,8538,16505,30239,13312,23980,24099,23858,30239,
