Arch2_bench1,Arch2_bench2,Arch2_sa,Arch2_ff,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch4_ff,Arch5_bench1,Arch5_bench2,Arch5_sa,Arch5_ff,total_cnk,
2165,2165,2165,0,2165,2165,2165,0,2165,2165,2165,0,2165,
2020,2020,2020,0,2020,2020,2020,0,2020,2020,2020,0,2020,
2014,2014,2014,0,2014,2014,2014,0,2014,2014,2014,0,2014,
2087,2087,2087,0,2087,2087,2087,0,2087,2087,2087,0,2087,
2073,2073,2073,0,2073,2073,2073,0,2073,2073,2073,0,2073,
2001,2001,2001,0,2001,2001,2001,0,2001,2001,2001,0,2001,
2314,2314,2314,0,2314,2314,2314,0,2314,2314,2314,0,2314,
1914,1914,1914,0,1914,1914,1914,0,1914,1914,1914,0,1914,
2219,2219,2219,0,2219,2219,2219,0,2219,2219,2219,0,2219,
2045,2045,2045,0,2045,2045,2045,0,2045,2045,2045,0,2045,
2160,2160,2160,0,2160,2160,2160,0,2160,2160,2160,0,2160,
2052,2052,2052,0,2052,2052,2052,0,2052,2052,2052,0,2052,
1906,1906,1906,0,1906,1906,1906,0,1906,1906,1906,0,1906,
2215,2215,2215,0,2215,2215,2215,0,2215,2215,2215,0,2215,
2150,2150,2150,0,2150,2150,2150,0,2150,2150,2150,0,2150,
2147,2147,2147,0,2147,2147,2147,0,2147,2147,2147,0,2147,
2008,2008,2008,0,2008,2008,2008,0,2008,2008,2008,0,2008,
2189,2189,2189,0,2189,2189,2189,0,2189,2189,2189,0,2189,
2017,2017,2017,0,2017,2017,2017,0,2017,2017,2017,0,2017,
1757,1757,1757,0,1757,1757,1757,0,1757,1757,1757,0,1757,
