Arch2_bench1,Arch2_bench2,Arch2_sa,Arch2_ff,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch4_ff,Arch5_bench1,Arch5_bench2,Arch5_sa,Arch5_ff,total_cnk,
32800,72079,92685,0,18565,18595,41139,0,32827,72236,93145,0,151709,
32396,71275,91984,0,18373,18390,40779,0,32405,71420,92473,0,149876,
32373,70979,90987,0,18428,18430,40611,0,32393,71112,91467,0,147612,
32441,72425,94419,0,18423,18435,41248,0,32450,72542,94896,0,155748,
32873,71884,91598,0,18566,18584,40787,0,32886,72037,92127,0,149034,
32714,71961,92723,0,18566,18602,41084,0,32725,72092,93237,0,151556,
32092,72369,96279,0,18293,18292,41649,0,32108,72481,96771,0,161602,
32688,71108,91146,0,18450,18468,40809,0,32704,71238,91604,0,147663,
32539,71757,93617,0,18444,18457,40918,0,32552,71900,94101,0,154404,
32533,71877,93619,0,18417,18423,40810,0,32547,71999,94080,0,154904,
32287,71736,93554,0,18391,18724,40980,0,32299,71858,94062,0,154030,
32561,71827,92892,0,18417,18444,41059,0,32574,71968,93417,0,151950,
32481,71774,92023,0,18372,18390,40760,0,32492,71908,92530,0,150229,
32168,71603,92291,0,18342,18371,40772,0,32183,71738,92827,0,151631,
32790,72453,92795,0,18449,18482,40944,0,32803,72567,93278,0,152274,
32993,71883,90350,0,18594,18989,40836,0,33005,72029,90909,0,145869,
32712,71937,90931,0,18539,19218,40891,0,32724,72041,91423,0,146616,
32428,70774,89927,0,18449,18462,40465,0,32434,70908,90415,0,145549,
33037,71295,89787,0,18542,18560,40606,0,33051,71440,90242,0,143926,
32705,71346,91854,0,18555,18562,41019,0,32717,71489,92368,0,148858,
