Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
11510,11510,11510,10056,10028,8885,11510,11510,11510,11510,
11925,11925,11925,10200,10217,9077,11925,11925,11925,11925,
12727,12727,12727,10597,10604,9406,12727,12727,12727,12727,
11903,11903,11903,10206,10209,9096,11903,11903,11903,11903,
12127,12127,12127,10314,10290,9143,12127,12127,12127,12127,
12309,12309,12309,10433,10402,9211,12309,12309,12309,12309,
12111,12111,12111,10381,10389,9229,12111,12111,12111,12111,
11869,11869,11869,10342,10310,9144,11869,11869,11869,11869,
12703,12703,12703,10681,10688,9564,12703,12703,12703,12703,
12605,12605,12605,10425,10447,9395,12605,12605,12605,12605,
