Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
17466,27075,26462,9529,9675,11473,17468,27277,26565,30887,
17227,25411,24856,9564,9773,11273,17232,25611,25072,28540,
17842,28310,27552,9599,9757,11515,17844,28528,27686,32447,
17093,27005,26363,9393,9579,11408,17097,27246,26538,30887,
17207,26999,26391,9373,9548,11189,17213,27247,26551,30760,
17596,28551,27743,9549,9725,11613,17599,28754,27921,32957,
17197,26232,25621,9588,9774,11190,17202,26455,25729,29760,
17348,27010,26307,9511,9682,11335,17353,27231,26464,30843,
17535,28392,27530,9449,9644,11291,17540,28602,27755,32759,
17483,27954,27215,9539,9782,11412,17486,28199,27373,32101,
