Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
30188,30158,30026,12790,12904,11948,30188,30181,30067,30188,
29502,29475,29343,12848,12900,11936,29502,29498,29387,29502,
30818,30907,30701,12868,12939,12110,30818,30945,30777,30964,
31157,31207,31048,12625,12687,12210,31157,31266,31108,31288,
28822,28813,28728,13085,13158,11947,28822,28822,28749,28822,
31712,31964,31782,12804,12863,12139,31712,32007,31843,32039,
31020,31225,31066,12907,13010,12073,31020,31258,31095,31280,
30858,30907,30735,12697,12810,12104,30858,30932,30807,30939,
31411,31394,31200,12805,12891,12327,31411,31410,31247,31411,
29835,29823,29673,12646,12719,11949,29835,29834,29743,29835,
