beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb
0.0,942.0,226900.0,942.0,833.0,203400.0,833.0
0.005,937.0,235900.0,2116.5,833.0,211000.0,1888.0
0.01,928.0,237300.0,3301.0,826.0,211200.0,2938.0
0.015,927.0,237200.0,4485.0,823.0,211700.0,3998.5
0.02,930.0,237200.0,5674.0,819.0,210500.0,5029.0
0.025,920.0,237600.0,6860.0,806.0,208000.0,6006.0
0.03,924.0,237400.0,8046.0,815.0,209200.0,7091.0
0.035,917.0,237800.0,9240.0,817.0,210400.0,8181.0
0.04,906.0,238000.0,10426.0,803.0,211600.0,9267.0
0.045,860.0,239300.0,11628.5,782.0,212700.0,10353.5
0.05,855.0,239300.0,12820.0,779.0,212500.0,11404.0
0.055,867.0,239100.0,14017.5,784.0,211600.0,12422.0
0.06,859.0,239400.0,15223.0,787.0,210400.0,13411.0
0.065,866.0,239100.0,16407.5,791.0,212400.0,14597.0
0.07,855.0,239300.0,17606.0,780.0,211600.0,15592.0
0.075,856.0,239200.0,18796.0,772.0,212700.0,16724.5
0.08,855.0,239300.0,19999.0,780.0,213200.0,17836.0
0.085,877.0,239000.0,21192.0,787.0,210600.0,18688.0
0.09,852.0,239400.0,22398.0,787.0,212700.0,19930.0
0.095,859.0,239200.0,23583.0,785.0,213700.0,21086.5
0.1,859.0,239300.0,24789.0,775.0,213900.0,22165.0
0.15,858.0,239300.0,36753.0,778.0,212900.0,32713.0
0.2,857.0,239400.0,48737.0,790.0,213200.0,43430.0
0.25,852.0,239400.0,60702.0,789.0,214100.0,54314.0
0.3,870.0,239200.0,72630.0,791.0,211400.0,64211.0
0.35,861.0,239300.0,84616.0,798.0,213500.0,75523.0
0.4,860.0,239400.0,96620.0,779.0,212900.0,85939.0
0.45,868.0,239200.0,108508.0,772.0,209700.0,95137.0
0.5,864.0,239300.0,120514.0,788.0,215300.0,108438.0
0.55,859.0,239300.0,132474.0,788.0,213100.0,117993.0
0.6,852.0,239300.0,144432.0,789.0,213300.0,128769.0
0.65,857.0,239400.0,156467.0,789.0,214100.0,139954.0
0.7,862.0,239300.0,168372.0,792.0,213000.0,149892.0
0.75,872.0,239300.0,180347.0,798.0,212100.0,159873.0
0.8,858.0,239300.0,192298.0,788.0,211400.0,169908.0
0.85,859.0,239300.0,204264.0,795.0,212200.0,181165.0
0.9,857.0,239400.0,216317.0,780.0,212600.0,192120.0
0.95,871.0,239300.0,228206.0,787.0,210100.0,200382.0
1.0,866.0,239300.0,240166.0,789.0,212400.0,213189.0
10.0,859.0,239400.0,2394859.0,783.0,210800.0,2108783.0
20.0,857.0,239400.0,4788857.0,791.0,213700.0,4274791.0
30.0,873.0,239300.0,7179873.0,779.0,212400.0,6372779.0
40.0,868.0,239300.0,9572868.0,783.0,211700.0,8468783.0
50.0,857.0,239400.0,11970857.0,777.0,210800.0,10540777.0
60.0,855.0,239300.0,14358855.0,794.0,213300.0,12798794.0
70.0,854.0,239300.0,16751854.0,782.0,213200.0,14924782.0
80.0,856.0,239200.0,19136856.0,791.0,212300.0,16984791.0
90.0,861.0,239400.0,21546861.0,786.0,212600.0,19134786.0
100.0,854.0,239300.0,23930854.0,776.0,212500.0,21250776.0
