beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb
0.0,3870.0,486700.0,3870.0,3501.0,440200.0,3501.0
0.005,3872.0,493500.0,6339.5,3478.0,446225.0,5709.125
0.01,3863.0,496075.0,8823.75,3457.0,445650.0,7913.5
0.015,3859.0,495375.0,11289.625,3469.0,445150.0,10146.25
0.02,3859.0,497050.0,13800.0,3462.0,445575.0,12373.5
0.025,3844.0,498150.0,16297.75,3445.0,445950.0,14593.75
0.03,3845.0,497125.0,18758.75,3434.0,445900.0,16811.0
0.035,3825.0,498575.0,21275.125,3436.0,446775.0,19073.125
0.04,3141.0,515675.0,23768.0,3012.0,461075.0,21455.0
0.045,1629.0,554775.0,26593.875,2285.0,489650.0,24319.25
0.05,1219.0,569025.0,29670.25,2051.0,506200.0,27361.0
0.055,1321.0,563600.0,32319.0,2145.0,500575.0,29676.625
0.06,1294.0,564250.0,35149.0,2110.0,503050.0,32293.0
0.065,1337.0,563650.0,37974.25,2146.0,500425.0,34673.625
0.07,1206.0,569300.0,41057.0,2024.0,506850.0,37503.5
0.075,1287.0,564975.0,43660.125,2109.0,504225.0,39925.875
0.08,1269.0,566050.0,46553.0,2040.0,503300.0,42304.0
0.085,1245.0,566925.0,49433.625,2082.0,503150.0,44849.75
0.09,1281.0,565650.0,52189.5,2061.0,503500.0,47376.0
0.095,1286.0,565400.0,54999.0,2049.0,505825.0,50102.375
0.1,1207.0,569275.0,58134.5,2026.0,508600.0,52886.0
0.15,1291.0,564275.0,85932.25,2216.0,499900.0,77201.0
0.2,1290.0,565625.0,114415.0,2114.0,502875.0,102689.0
0.25,1303.0,564575.0,142446.75,2139.0,501450.0,127501.5
0.3,1251.0,566800.0,171291.0,2056.0,503650.0,153151.0
0.35,1235.0,567350.0,199807.5,2156.0,502575.0,178057.25
0.4,1278.0,565625.0,227528.0,2006.0,504725.0,203896.0
0.45,1240.0,567375.0,256558.75,2104.0,502225.0,228105.25
0.5,1239.0,567325.0,284901.5,2102.0,502775.0,253489.5
0.55,1254.0,566600.0,312884.0,2069.0,508350.0,281661.5
0.6,1259.0,566375.0,341084.0,2189.0,499150.0,301679.0
0.65,1260.0,566250.0,369322.5,2056.0,500675.0,327494.75
0.7,1240.0,567375.0,398402.5,2022.0,509675.0,358794.5
0.75,1228.0,568100.0,427303.0,1996.0,505825.0,381364.75
0.8,1248.0,566175.0,454188.0,1978.0,508275.0,408598.0
0.85,1226.0,568100.0,484111.0,2042.0,503925.0,430378.25
0.9,1265.0,566150.0,510800.0,2093.0,504075.0,455760.5
0.95,1254.0,566525.0,539452.75,1989.0,506375.0,483045.25
1.0,1281.0,565225.0,566506.0,2118.0,501950.0,504068.0
10.0,1222.0,567250.0,5673722.0,1966.0,509650.0,5098466.0
20.0,1256.0,566350.0,11328256.0,2048.0,507375.0,10149548.0
30.0,1232.0,567725.0,17032982.0,2039.0,503200.0,15098039.0
40.0,1244.0,567125.0,22686244.0,2050.0,504650.0,20188050.0
50.0,1251.0,566550.0,28328751.0,2074.0,505100.0,25257074.0
60.0,1235.0,567625.0,34058735.0,1992.0,509025.0,30543492.0
70.0,1257.0,565975.0,39619507.0,2158.0,501975.0,35140408.0
80.0,1260.0,566375.0,45311260.0,2073.0,502850.0,40230073.0
90.0,1252.0,566575.0,50993002.0,2079.0,505125.0,45463329.0
100.0,1227.0,567200.0,56721227.0,2072.0,504025.0,50404572.0
