beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb
0.0,240.0,178000.0,240.0,0.0,0.0,0.0
0.005,202.0,220500.0,1304.5,202.0,220500.0,1304.5
0.01,180.0,227500.0,2455.0,0.0,0.0,0.0
0.015,160.0,229250.0,3598.75,158.0,228750.0,3589.25
0.02,151.0,232000.0,4791.0,146.0,230500.0,4756.0
0.025,156.0,231500.0,5943.5,153.0,230750.0,5921.75
0.03,171.0,231000.0,7101.0,0.0,0.0,0.0
0.035,162.0,231000.0,8247.0,0.0,0.0,0.0
0.04,153.0,231250.0,9403.0,150.0,229750.0,9340.0
0.045,162.0,231000.0,10557.0,0.0,0.0,0.0
0.05,151.0,230500.0,11676.0,148.0,229500.0,11623.0
0.055,156.0,230250.0,12819.75,154.0,229000.0,12749.0
0.06,155.0,230750.0,14000.0,152.0,229250.0,13907.0
0.065,150.0,231500.0,15197.5,149.0,231250.0,15180.25
0.07,145.0,232500.0,16420.0,140.0,231250.0,16327.5
0.075,150.0,231500.0,17512.5,149.0,231250.0,17492.75
0.08,157.0,232750.0,18777.0,156.0,231750.0,18696.0
0.085,148.0,232000.0,19868.0,146.0,231500.0,19823.5
0.09,151.0,230500.0,20896.0,150.0,230250.0,20872.5
0.095,132.0,231500.0,22124.5,126.0,229250.0,21904.75
0.1,141.0,232250.0,23366.0,136.0,230500.0,23186.0
0.15,153.0,231000.0,34803.0,152.0,230750.0,34764.5
0.2,139.0,232250.0,46589.0,134.0,230000.0,46134.0
0.25,160.0,231750.0,58097.5,155.0,230500.0,57780.0
0.3,156.0,231500.0,69606.0,153.0,230750.0,69378.0
0.35,156.0,231500.0,81181.0,154.0,231000.0,81004.0
0.4,150.0,231500.0,92750.0,148.0,231000.0,92548.0
0.45,150.0,231500.0,104325.0,147.0,230750.0,103984.5
0.5,126.0,231500.0,115876.0,123.0,230750.0,115498.0
0.55,156.0,231250.0,127343.5,154.0,230750.0,127066.5
0.6,152.0,232750.0,139802.0,151.0,232500.0,139651.0
0.65,159.0,230250.0,149821.5,154.0,227250.0,147866.5
0.7,156.0,229000.0,160456.0,152.0,227000.0,159052.0
0.75,142.0,232250.0,174329.5,138.0,230250.0,172825.5
0.8,156.0,230250.0,184356.0,151.0,228000.0,182551.0
0.85,155.0,231500.0,196930.0,153.0,231000.0,196503.0
0.9,151.0,231750.0,208726.0,149.0,231250.0,208274.0
0.95,154.0,231000.0,219604.0,153.0,230750.0,219365.5
1.0,155.0,230750.0,230905.0,151.0,229000.0,229151.0
10.0,156.0,231750.0,2317656.0,151.0,230500.0,2305151.0
20.0,132.0,232750.0,4655132.0,128.0,230750.0,4615128.0
30.0,141.0,232000.0,6960141.0,136.0,230500.0,6915136.0
40.0,154.0,232250.0,9290154.0,148.0,230500.0,9220148.0
50.0,144.0,231500.0,11575144.0,139.0,230000.0,11500139.0
60.0,150.0,231500.0,13890150.0,149.0,231250.0,13875149.0
70.0,151.0,231750.0,16222651.0,0.0,0.0,0.0
80.0,151.0,230750.0,18460151.0,150.0,230500.0,18440150.0
90.0,156.0,229500.0,20655156.0,0.0,0.0,0.0
100.0,150.0,231500.0,23150150.0,148.0,231000.0,23100148.0
