src,dst,spec,slots_used,core_src,core_dst,tfk_slot
99,89,0,15,0,0,1000.0
99,43,15,15,0,0,1000.0
99,20,30,15,0,0,1000.0
99,6,45,15,0,0,1000.0
98,81,0,15,0,0,1000.0
98,72,15,15,0,0,1000.0
97,99,60,15,0,0,1000.0
97,30,0,15,0,0,1000.0
96,88,0,15,0,0,1000.0
96,74,15,15,0,0,1000.0
96,69,30,15,0,0,1000.0
96,44,45,15,0,0,1000.0
94,73,0,15,0,0,1000.0
93,59,0,15,0,0,1000.0
91,96,60,15,0,0,1000.0
91,64,0,15,0,0,1000.0
91,48,15,15,0,0,1000.0
91,39,30,15,0,0,1000.0
91,28,45,15,0,0,1000.0
90,79,0,15,0,0,1000.0
90,77,15,15,0,0,1000.0
90,52,30,15,0,0,1000.0
90,50,45,15,0,0,1000.0
90,32,60,15,0,0,1000.0
89,70,15,15,0,0,1000.0
89,16,30,15,0,0,1000.0
88,81,15,15,0,0,1000.0
88,76,30,15,0,0,1000.0
88,7,45,15,0,0,1000.0
88,4,60,15,0,0,1000.0
87,83,0,15,0,0,1000.0
86,30,15,15,0,0,1000.0
86,22,0,15,0,0,1000.0
85,66,0,15,0,0,1000.0
84,86,30,15,0,0,1000.0
84,38,0,15,0,0,1000.0
83,4,15,15,0,0,1000.0
81,67,30,15,0,0,1000.0
81,52,45,15,0,0,1000.0
80,5,0,15,0,0,1000.0
79,64,15,15,0,0,1000.0
79,54,30,15,0,0,1000.0
79,47,45,15,0,0,1000.0
78,51,0,15,0,0,1000.0
78,44,15,15,0,0,1000.0
77,26,0,15,0,0,1000.0
76,70,0,15,0,0,1000.0
76,16,15,15,0,0,1000.0
76,3,45,15,0,0,1000.0
75,40,0,15,0,0,1000.0
74,40,30,15,0,0,1000.0
73,22,15,15,0,0,1000.0
72,71,0,15,0,0,1000.0
72,35,30,15,0,0,1000.0
72,29,45,15,0,0,1000.0
72,27,60,15,0,0,1000.0
71,65,15,15,0,0,1000.0
71,15,30,15,0,0,1000.0
70,63,30,15,0,0,1000.0
68,84,15,15,0,0,1000.0
68,59,30,15,0,0,1000.0
67,74,0,15,0,0,1000.0
67,66,15,15,0,0,1000.0
67,31,45,15,0,0,1000.0
67,22,60,15,0,0,1000.0
66,35,45,15,0,0,1000.0
66,24,30,15,0,0,1000.0
66,2,60,15,0,0,1000.0
65,9,0,15,0,0,1000.0
64,55,30,15,0,0,1000.0
64,47,60,15,0,0,1000.0
64,8,45,15,0,0,1000.0
62,78,30,15,0,0,1000.0
62,71,45,15,0,0,1000.0
62,55,0,15,0,0,1000.0
62,53,15,15,0,0,1000.0
61,94,15,15,0,0,1000.0
61,60,0,15,0,0,1000.0
61,48,30,15,0,0,1000.0
61,34,45,15,0,0,1000.0
61,26,60,15,0,0,1000.0
59,54,15,15,0,0,1000.0
59,32,45,15,0,0,1000.0
58,75,15,15,0,0,1000.0
58,12,0,15,0,0,1000.0
55,63,15,15,0,0,1000.0
55,46,45,15,0,0,1000.0
54,95,0,15,0,0,1000.0
54,80,45,15,0,0,1000.0
53,85,30,15,0,0,1000.0
53,28,0,15,0,0,1000.0
53,15,45,15,0,0,1000.0
51,24,15,15,0,0,1000.0
49,78,45,15,0,0,1000.0
49,34,0,15,0,0,1000.0
47,87,15,15,0,0,1000.0
47,43,0,15,0,0,1000.0
46,85,15,15,0,0,1000.0
46,49,30,15,0,0,1000.0
46,1,0,15,0,0,1000.0
45,95,15,15,0,0,1000.0
44,48,0,15,0,0,1000.0
44,15,60,15,0,0,1000.0
43,42,30,15,0,0,1000.0
43,4,45,15,0,0,1000.0
42,74,45,15,0,0,1000.0
42,62,60,15,0,0,1000.0
42,25,0,15,0,0,1000.0
42,21,15,15,0,0,1000.0
40,68,45,15,0,0,1000.0
40,20,15,15,0,0,1000.0
40,6,60,15,0,0,1000.0
39,98,45,15,0,0,1000.0
39,56,0,15,0,0,1000.0
37,81,60,15,0,0,1000.0
36,95,30,15,0,0,1000.0
36,16,0,15,0,0,1000.0
35,83,60,15,0,0,1000.0
33,24,0,15,0,0,1000.0
31,51,30,15,0,0,1000.0
31,21,0,15,0,0,1000.0
31,12,15,15,0,0,1000.0
30,51,45,15,0,0,1000.0
28,92,15,15,0,0,1000.0
28,17,30,15,0,0,1000.0
27,35,0,15,0,0,1000.0
27,13,15,15,0,0,1000.0
25,6,15,15,0,0,1000.0
