src,dst,spec,slots_used,core_src,core_dst,tfk_slot
99,78,0,15,0,0,1000.0
97,38,0,15,0,0,1000.0
96,36,0,15,0,0,1000.0
95,8,0,15,0,0,1000.0
94,30,0,15,0,0,1000.0
88,61,0,15,0,0,1000.0
86,26,0,15,0,0,1000.0
82,91,0,15,0,0,1000.0
81,27,0,15,0,0,1000.0
80,29,0,15,0,0,1000.0
77,3,0,15,0,0,1000.0
76,55,0,15,0,0,1000.0
73,72,0,15,0,0,1000.0
71,14,0,15,0,0,1000.0
70,39,0,15,0,0,1000.0
69,40,0,15,0,0,1000.0
65,19,0,15,0,0,1000.0
64,28,0,15,0,0,1000.0
60,89,0,15,0,0,1000.0
59,92,0,15,0,0,1000.0
58,33,0,15,0,0,1000.0
56,15,0,15,0,0,1000.0
53,68,0,15,0,0,1000.0
49,44,0,15,0,0,1000.0
48,11,0,15,0,0,1000.0
46,98,0,15,0,0,1000.0
43,66,0,15,0,0,1000.0
42,24,0,15,0,0,1000.0
37,90,0,15,0,0,1000.0
35,51,0,15,0,0,1000.0
34,87,0,15,0,0,1000.0
31,47,0,15,0,0,1000.0
25,23,0,15,0,0,1000.0
22,63,0,15,0,0,1000.0
13,0,0,15,0,0,1000.0
7,5,0,15,0,0,1000.0
2,21,0,15,0,0,1000.0
85,84,0,7,0,0,400.0
57,18,0,7,0,0,400.0
52,93,0,7,0,0,400.0
45,50,0,7,0,0,400.0
32,83,0,7,0,0,400.0
20,54,0,7,0,0,400.0
17,74,0,7,0,0,400.0
6,41,0,7,0,0,400.0
16,10,0,4,0,0,200.0
1,75,0,4,0,0,200.0
9,62,0,3,0,0,100.0
99,36,15,15,0,0,1000.0
95,54,15,15,0,0,1000.0
88,29,15,15,0,0,1000.0
82,68,15,15,0,0,1000.0
81,0,15,15,0,0,1000.0
76,62,15,15,0,0,1000.0
75,26,15,15,0,0,1000.0
71,72,15,15,0,0,1000.0
69,21,15,15,0,0,1000.0
63,4,15,15,0,0,1000.0
60,67,15,15,0,0,1000.0
59,32,15,15,0,0,1000.0
55,2,15,15,0,0,1000.0
49,39,15,15,0,0,1000.0
47,19,15,15,0,0,1000.0
46,52,15,15,0,0,1000.0
45,97,15,15,0,0,1000.0
42,80,15,15,0,0,1000.0
38,65,15,15,0,0,1000.0
37,1,15,15,0,0,1000.0
34,85,15,15,0,0,1000.0
27,33,15,15,0,0,1000.0
24,56,15,15,0,0,1000.0
22,64,15,15,0,0,1000.0
16,73,15,15,0,0,1000.0
14,28,15,15,0,0,1000.0
13,51,15,15,0,0,1000.0
11,83,15,15,0,0,1000.0
10,87,15,15,0,0,1000.0
7,53,15,15,0,0,1000.0
96,31,15,7,0,0,400.0
94,78,15,7,0,0,400.0
93,30,15,7,0,0,400.0
92,18,15,7,0,0,400.0
90,44,15,7,0,0,400.0
89,86,15,7,0,0,400.0
84,98,15,7,0,0,400.0
77,25,15,7,0,0,400.0
74,5,15,7,0,0,400.0
70,40,15,7,0,0,400.0
61,58,15,7,0,0,400.0
43,9,15,7,0,0,400.0
20,91,15,7,0,0,400.0
12,50,7,7,0,0,400.0
41,66,15,4,0,0,200.0
35,23,15,3,0,0,100.0
48,57,15,2,0,0,1.0
97,17,30,15,0,0,1000.0
91,54,30,15,0,0,1000.0
82,65,30,15,0,0,1000.0
76,61,30,15,0,0,1000.0
74,29,30,15,0,0,1000.0
64,73,30,15,0,0,1000.0
60,0,30,15,0,0,1000.0
53,96,30,15,0,0,1000.0
48,28,30,15,0,0,1000.0
46,39,30,15,0,0,1000.0
44,63,30,15,0,0,1000.0
40,22,30,15,0,0,1000.0
38,49,30,15,0,0,1000.0
34,41,30,15,0,0,1000.0
23,79,18,15,0,0,1000.0
15,89,22,15,0,0,1000.0
13,58,30,15,0,0,1000.0
11,18,30,15,0,0,1000.0
