beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
0.0,799.0,167630.0,799.0,0.0,0.0,0.0,716.0,128430.0,716.0
1e-05,800.0,171127.0,801.71127,0.0,0.0,0.0,718.0,135429.0,719.35429
2e-05,800.0,170727.0,803.41454,0.0,0.0,0.0,709.0,165992.0,712.31984
4e-05,800.0,171429.0,806.85716,0.0,0.0,0.0,706.0,168506.0,712.74024
8e-05,800.0,171127.0,813.69016,0.0,0.0,0.0,720.0,135430.0,730.8344
0.0001,800.0,171727.0,817.1727,0.0,0.0,0.0,712.0,133130.0,725.313
0.0002,804.0,179830.0,839.966,0.0,0.0,0.0,709.0,127430.0,734.486
0.0004,803.0,178928.0,874.5712,0.0,0.0,0.0,714.0,134530.0,767.812
0.0008,804.0,180528.0,948.4224,0.0,0.0,0.0,683.0,175372.0,823.2976
0.001,802.0,181428.0,983.428,0.0,0.0,0.0,681.0,172892.0,853.892
0.002,799.0,184926.0,1168.852,0.0,0.0,0.0,667.0,178364.0,1023.728
0.004,787.0,190813.0,1550.252,0.0,0.0,0.0,641.0,182540.0,1371.16
0.008,653.0,211910.0,2348.28,0.0,0.0,0.0,569.0,193705.0,2118.64
0.01,558.0,222513.0,2783.13,0.0,0.0,0.0,500.0,200640.0,2506.4
0.02,491.0,228229.0,5055.58,0.0,0.0,0.0,402.0,205859.0,4519.18
0.04,484.0,228619.0,9628.76,0.0,0.0,0.0,402.0,205859.0,8636.36
0.08,481.0,229435.0,18835.8,0.0,0.0,0.0,402.0,205859.0,16870.72
0.1,476.0,229223.0,23398.3,0.0,0.0,0.0,402.0,205859.0,20987.9
0.2,479.0,229242.0,46327.4,0.0,0.0,0.0,402.0,205859.0,41573.8
0.4,474.0,229121.0,92122.4,0.0,0.0,0.0,402.0,205859.0,82745.6
1.0,473.0,229823.0,230296.0,0.0,0.0,0.0,402.0,205859.0,206261.0
10.0,478.0,229624.0,2296718.0,0.0,0.0,0.0,402.0,205859.0,2058992.0
