beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
0.0,866.0,241350.0,866.0,0.0,0.0,0.0,741.0,0.0,741.0
1e-05,866.0,242890.0,868.4289,0.0,0.0,0.0,741.0,1.7649,742.7649
2e-05,866.0,242930.0,870.8586,0.0,0.0,0.0,741.0,3.5298,744.5298
4e-05,866.0,242260.0,875.6904,0.0,0.0,0.0,741.0,7.0596,748.0596
8e-05,866.0,243040.0,885.4432,0.0,0.0,0.0,741.0,14.1192,755.1192
0.0001,866.0,242860.0,890.286,0.0,0.0,0.0,741.0,17.649,758.649
0.0002,866.0,242170.0,914.434,0.0,0.0,0.0,741.0,35.298,776.298
0.0004,866.0,243310.0,963.324,0.0,0.0,0.0,741.0,70.596,811.596
0.0008,866.0,243780.0,1061.024,0.0,0.0,0.0,741.0,141.192,882.192
0.001,865.0,245110.0,1110.11,0.0,0.0,0.0,741.0,176.49,917.49
0.002,863.0,246370.0,1355.74,0.0,0.0,0.0,741.0,352.98,1093.98
0.004,862.0,246910.0,1849.64,0.0,0.0,0.0,586.0,890.0,1476.0
0.008,857.0,247390.0,2836.12,0.0,0.0,0.0,586.0,1780.0,2366.0
0.01,860.0,247240.0,3332.4,0.0,0.0,0.0,586.0,2225.0,2811.0
0.02,842.0,248710.0,5816.2,0.0,0.0,0.0,586.0,4450.0,5036.0
0.04,729.0,253630.0,10874.2,0.0,0.0,0.0,586.0,8900.0,9486.0
0.08,698.0,254450.0,21054.0,0.0,0.0,0.0,586.0,17800.0,18386.0
0.1,695.0,254410.0,26136.0,0.0,0.0,0.0,586.0,22250.0,22836.0
0.2,687.0,254350.0,51557.0,0.0,0.0,0.0,586.0,44500.0,45086.0
0.4,675.0,254360.0,102419.0,0.0,0.0,0.0,586.0,89000.0,89586.0
1.0,686.0,254710.0,255396.0,0.0,0.0,0.0,586.0,222500.0,223086.0
10.0,686.0,254320.0,2543886.0,0.0,0.0,0.0,586.0,2225000.0,2225586.0
