src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
0,8,0,2,0,0,1,1.0
0,8,0,2,0,0,1,1.0
0,17,2,2,0,0,1,1.0
0,17,2,2,0,0,1,1.0
0,49,4,2,0,0,1,1.0
0,49,4,2,0,0,1,1.0
1,34,0,2,0,0,1,1.0
1,34,0,2,0,0,1,1.0
1,52,2,2,0,0,1,1.0
1,52,2,2,0,0,1,1.0
1,65,4,2,0,0,1,1.0
1,65,4,2,0,0,1,1.0
2,55,0,2,0,0,1,1.0
2,55,0,2,0,0,1,1.0
4,7,0,2,0,0,1,1.0
4,7,0,2,0,0,1,1.0
4,37,2,2,0,0,1,1.0
4,37,2,2,0,0,1,1.0
4,73,4,2,0,0,1,1.0
4,73,4,2,0,0,1,1.0
4,94,6,2,0,0,1,1.0
4,94,6,2,0,0,1,1.0
4,96,8,2,0,0,1,1.0
4,96,8,2,0,0,1,1.0
5,88,0,2,0,0,1,1.0
5,88,0,2,0,0,1,1.0
5,99,2,2,0,0,1,1.0
5,99,2,2,0,0,1,1.0
6,24,0,2,0,0,1,1.0
6,24,0,2,0,0,1,1.0
6,34,2,2,0,0,1,1.0
6,34,2,2,0,0,1,1.0
6,45,4,2,0,0,1,1.0
6,45,4,2,0,0,1,1.0
7,64,2,2,0,0,1,1.0
7,64,2,2,0,0,1,1.0
9,3,0,2,0,0,1,1.0
9,3,0,2,0,0,1,1.0
9,52,4,2,0,0,1,1.0
9,52,4,2,0,0,1,1.0
9,75,2,2,0,0,1,1.0
9,75,2,2,0,0,1,1.0
9,78,6,2,0,0,1,1.0
9,78,6,2,0,0,1,1.0
10,26,0,2,0,0,1,1.0
10,26,0,2,0,0,1,1.0
10,33,2,2,0,0,1,1.0
10,33,2,2,0,0,1,1.0
10,34,4,2,0,0,1,1.0
10,34,4,2,0,0,1,1.0
10,39,6,2,0,0,1,1.0
10,39,6,2,0,0,1,1.0
10,92,8,2,0,0,1,1.0
10,92,8,2,0,0,1,1.0
11,25,0,2,0,0,1,1.0
11,25,0,2,0,0,1,1.0
12,15,0,2,0,0,1,1.0
12,15,0,2,0,0,1,1.0
12,17,4,2,0,0,1,1.0
12,17,4,2,0,0,1,1.0
12,20,2,2,0,0,1,1.0
12,20,2,2,0,0,1,1.0
12,39,8,2,0,0,1,1.0
12,39,8,2,0,0,1,1.0
12,96,6,2,0,0,1,1.0
12,96,6,2,0,0,1,1.0
13,8,2,2,0,0,1,1.0
13,8,2,2,0,0,1,1.0
13,25,4,2,0,0,1,1.0
13,25,4,2,0,0,1,1.0
13,26,6,2,0,0,1,1.0
13,26,6,2,0,0,1,1.0
14,17,0,2,0,0,1,1.0
14,17,0,2,0,0,1,1.0
14,18,2,2,0,0,1,1.0
14,18,2,2,0,0,1,1.0
14,92,4,2,0,0,1,1.0
14,92,4,2,0,0,1,1.0
15,14,6,2,0,0,1,1.0
15,14,6,2,0,0,1,1.0
15,50,2,2,0,0,1,1.0
15,50,2,2,0,0,1,1.0
15,80,4,2,0,0,1,1.0
15,80,4,2,0,0,1,1.0
16,82,0,2,0,0,1,1.0
16,82,0,2,0,0,1,1.0
18,3,4,2,0,0,1,1.0
18,3,4,2,0,0,1,1.0
18,37,0,2,0,0,1,1.0
18,37,0,2,0,0,1,1.0
18,81,6,2,0,0,1,1.0
18,81,6,2,0,0,1,1.0
20,16,4,2,0,0,1,1.0
20,16,4,2,0,0,1,1.0
20,19,0,2,0,0,1,1.0
20,19,0,2,0,0,1,1.0
20,51,6,2,0,0,1,1.0
20,51,6,2,0,0,1,1.0
20,79,8,2,0,0,1,1.0
20,79,8,2,0,0,1,1.0
20,82,10,2,0,0,1,1.0
20,82,10,2,0,0,1,1.0
23,15,8,2,0,0,1,1.0
23,15,8,2,0,0,1,1.0
24,0,6,2,0,0,1,1.0
24,0,6,2,0,0,1,1.0
24,58,2,2,0,0,1,1.0
24,58,2,2,0,0,1,1.0
24,81,4,2,0,0,1,1.0
24,81,4,2,0,0,1,1.0
25,97,2,2,0,0,1,1.0
25,97,2,2,0,0,1,1.0
26,38,2,2,0,0,1,1.0
26,38,2,2,0,0,1,1.0
27,12,10,2,0,0,1,1.0
27,12,10,2,0,0,1,1.0
31,30,0,2,0,0,1,1.0
31,30,0,2,0,0,1,1.0
31,82,2,2,0,0,1,1.0
31,82,2,2,0,0,1,1.0
31,99,4,2,0,0,1,1.0
31,99,4,2,0,0,1,1.0
32,45,0,2,0,0,1,1.0
32,45,0,2,0,0,1,1.0
34,3,6,2,0,0,1,1.0
34,3,6,2,0,0,1,1.0
34,49,8,2,0,0,1,1.0
34,49,8,2,0,0,1,1.0
34,63,10,2,0,0,1,1.0
34,63,10,2,0,0,1,1.0
36,11,2,2,0,0,1,1.0
36,11,2,2,0,0,1,1.0
36,41,0,2,0,0,1,1.0
36,41,0,2,0,0,1,1.0
36,59,4,2,0,0,1,1.0
36,59,4,2,0,0,1,1.0
37,43,4,2,0,0,1,1.0
37,43,4,2,0,0,1,1.0
38,53,0,2,0,0,1,1.0
38,53,0,2,0,0,1,1.0
40,30,2,2,0,0,1,1.0
40,30,2,2,0,0,1,1.0
40,85,0,2,0,0,1,1.0
40,85,0,2,0,0,1,1.0
40,90,4,2,0,0,1,1.0
40,90,4,2,0,0,1,1.0
42,70,0,2,0,0,1,1.0
42,70,0,2,0,0,1,1.0
43,31,6,2,0,0,1,1.0
43,31,6,2,0,0,1,1.0
43,82,8,2,0,0,1,1.0
43,82,8,2,0,0,1,1.0
43,99,0,2,0,0,1,1.0
43,99,0,2,0,0,1,1.0
44,54,0,2,0,0,1,1.0
44,54,0,2,0,0,1,1.0
47,5,4,2,0,0,1,1.0
47,5,4,2,0,0,1,1.0
47,8,6,2,0,0,1,1.0
47,8,6,2,0,0,1,1.0
48,22,0,2,0,0,1,1.0
48,22,0,2,0,0,1,1.0
48,34,12,2,0,0,1,1.0
48,34,12,2,0,0,1,1.0
51,41,2,2,0,0,1,1.0
51,41,2,2,0,0,1,1.0
51,53,4,2,0,0,1,1.0
51,53,4,2,0,0,1,1.0
52,28,0,2,0,0,1,1.0
