beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb
0.0,3803.0,488925.0,3803.0,3438.0,442775.0,3438.0
0.005,3804.0,495400.0,6281.0,3420.0,445525.0,5647.625
0.01,3792.0,498100.0,8773.0,3384.0,445800.0,7842.0
0.015,3796.0,498875.0,11279.125,3402.0,444150.0,10064.25
0.02,3785.0,499325.0,13771.5,3382.0,447200.0,12326.0
0.025,3760.0,500600.0,16275.0,3400.0,449975.0,14649.375
0.03,3762.0,500325.0,18771.75,3387.0,444525.0,16722.75
0.035,3763.0,500175.0,21269.125,3383.0,447100.0,19031.5
0.04,3069.0,517450.0,23767.0,2902.0,459975.0,21301.0
0.045,1614.0,555175.0,26596.875,2266.0,487475.0,24202.375
0.05,1303.0,564500.0,29528.0,2054.0,503575.0,27232.75
0.055,1215.0,569400.0,32532.0,1929.0,510625.0,30013.375
0.06,1216.0,569125.0,35363.5,1972.0,504525.0,32243.5
0.065,1277.0,565225.0,38016.625,2074.0,504075.0,34838.875
0.07,1276.0,565175.0,40838.25,2021.0,507150.0,37521.5
0.075,1286.0,563900.0,43578.5,1984.0,506675.0,39984.625
0.08,1286.0,564925.0,46480.0,2005.0,507450.0,42601.0
0.085,1282.0,566150.0,49404.75,2094.0,499550.0,44555.75
0.09,1255.0,566075.0,52201.75,2033.0,501275.0,47147.75
0.095,1292.0,564425.0,54912.375,2050.0,504000.0,49930.0
0.1,1308.0,564850.0,57793.0,2062.0,502400.0,52302.0
0.15,1284.0,565475.0,86105.25,2022.0,505025.0,77775.75
0.2,1247.0,566000.0,114447.0,2022.0,504550.0,102932.0
0.25,1234.0,567575.0,143127.75,2060.0,503075.0,127828.75
0.3,1276.0,564975.0,170768.5,2035.0,503825.0,153182.5
0.35,1266.0,565875.0,199322.25,1981.0,506000.0,179081.0
0.4,1243.0,566850.0,227983.0,2030.0,504950.0,204010.0
0.45,1264.0,565725.0,255840.25,2085.0,501150.0,227602.5
0.5,1245.0,566825.0,284657.5,2017.0,506175.0,255104.5
0.55,1230.0,567600.0,313410.0,2009.0,505375.0,279965.25
0.6,1256.0,566150.0,340946.0,2063.0,502750.0,303713.0
0.65,1236.0,567350.0,370013.5,2061.0,502300.0,328556.0
0.7,1249.0,566275.0,397641.5,2070.0,502925.0,354117.5
0.75,1246.0,566725.0,426289.75,2063.0,505875.0,381469.25
0.8,1248.0,566675.0,454588.0,2011.0,505700.0,406571.0
0.85,1250.0,566250.0,482562.5,2009.0,507975.0,433787.75
0.9,1248.0,566625.0,511210.5,2042.0,502900.0,454652.0
0.95,1240.0,566775.0,539676.25,1918.0,507525.0,484066.75
1.0,1257.0,566000.0,567257.0,2018.0,504075.0,506093.0
10.0,1242.0,566925.0,5670492.0,2012.0,507650.0,5078512.0
20.0,1230.0,567625.0,11353730.0,2039.0,505875.0,10119539.0
30.0,1247.0,566775.0,17004497.0,2045.0,503700.0,15113045.0
40.0,1232.0,567500.0,22701232.0,2012.0,506525.0,20263012.0
50.0,1248.0,567050.0,28353748.0,2027.0,505375.0,25270777.0
60.0,1233.0,567775.0,34067733.0,2075.0,501925.0,30117575.0
70.0,1226.0,567550.0,39729726.0,2021.0,505475.0,35385271.0
80.0,1219.0,568125.0,45451219.0,1978.0,509000.0,40721978.0
90.0,1255.0,566500.0,50986255.0,2055.0,505525.0,45499305.0
100.0,1234.0,567425.0,56743734.0,1992.0,505525.0,50554492.0
