beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb
0.0001,229.0,185750.0,247.575,229.0,185750.0,247.575
0.0002,229.0,185750.0,266.15,229.0,185750.0,266.15
0.0003,227.0,194500.0,285.35,227.0,194500.0,285.35
0.0004,227.0,194500.0,304.8,0.0,0.0,0.0
0.0005,227.0,195500.0,324.75,0.0,0.0,0.0
0.0006,225.0,197250.0,343.35,224.0,197000.0,342.2
0.0007,223.0,202250.0,364.575,223.0,202250.0,364.575
0.0008,218.0,210000.0,386.0,0.0,0.0,0.0
0.0009,219.0,208750.0,406.875,0.0,0.0,0.0
0.001,217.0,209250.0,426.25,216.0,209000.0,425.0
0.0011,219.0,209500.0,449.45,0.0,0.0,0.0
0.0012,218.0,208500.0,468.2,0.0,0.0,0.0
0.0013,218.0,210000.0,491.0,0.0,0.0,0.0
0.0014,219.0,208250.0,510.55,0.0,0.0,0.0
0.0015,219.0,208250.0,531.375,219.0,208250.0,531.375
0.0016,216.0,211000.0,553.6,215.0,210750.0,552.2
0.0017,216.0,212000.0,576.4,216.0,212000.0,576.4
0.0018,216.0,212000.0,597.6,216.0,212000.0,597.6
0.0019,216.0,212000.0,618.8,216.0,212000.0,618.8
0.002,215.0,212500.0,640.0,214.0,212250.0,638.5
0.0021,215.0,212500.0,661.25,215.0,212500.0,661.25
0.0022,209.0,214750.0,681.45,208.0,214500.0,679.9
0.0023,215.0,212500.0,703.75,0.0,0.0,0.0
0.0024,209.0,214750.0,724.4,209.0,214750.0,724.4
0.0025,203.0,218000.0,748.0,0.0,0.0,0.0
0.0026,202.0,216500.0,764.9,202.0,216500.0,764.9
0.0027,199.0,218750.0,789.625,197.0,218250.0,786.275
0.0028,205.0,217500.0,814.0,205.0,217500.0,814.0
0.0029,202.0,217000.0,831.3,202.0,217000.0,831.3
0.003,209.0,213500.0,849.5,207.0,213000.0,846.0
0.0031,195.0,219500.0,875.45,195.0,219500.0,875.45
0.0032,203.0,216000.0,894.2,0.0,0.0,0.0
0.0033,196.0,220250.0,922.825,196.0,220250.0,922.825
0.0034,201.0,217500.0,940.5,0.0,0.0,0.0
0.0035,175.0,223250.0,956.375,175.0,223250.0,956.375
0.0036,188.0,222500.0,989.0,188.0,222500.0,989.0
0.0037,199.0,216250.0,999.125,199.0,216250.0,999.125
0.0038,183.0,223500.0,1032.3,183.0,223500.0,1032.3
0.0039,203.0,214250.0,1038.575,203.0,214250.0,1038.575
0.004,197.0,219250.0,1074.0,196.0,219000.0,1072.0
0.0041,183.0,222000.0,1093.2,183.0,222000.0,1093.2
0.0042,188.0,222500.0,1122.5,188.0,222500.0,1122.5
0.0043,178.0,222250.0,1133.675,177.0,222000.0,1131.6
0.0044,179.0,223500.0,1162.4,179.0,223500.0,1162.4
0.0045,165.0,225500.0,1179.75,165.0,225500.0,1179.75
0.0046,175.0,224750.0,1208.85,175.0,224750.0,1208.85
0.0047,181.0,222250.0,1225.575,181.0,222250.0,1225.575
0.0048,174.0,224750.0,1252.8,171.0,224000.0,1246.2
0.0049,176.0,223500.0,1271.15,176.0,223500.0,1271.15
