beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb
0.0,1290.0,249950.0,1290.0,1154.0,220925.0,1154.0
0.005,1283.0,261350.0,2589.75,1139.0,226425.0,2271.125
0.01,1275.0,262550.0,3900.5,1130.0,226950.0,3399.5
0.015,1267.0,263475.0,5219.125,1119.0,228525.0,4546.875
0.02,1268.0,263075.0,6529.5,1121.0,225450.0,5630.0
0.025,1262.0,263700.0,7854.5,1118.0,229050.0,6844.25
0.03,1247.0,264175.0,9172.25,1116.0,229000.0,7986.0
0.035,1240.0,264850.0,10509.75,1115.0,228175.0,9101.125
0.04,1142.0,267100.0,11826.0,1062.0,229600.0,10246.0
0.045,651.0,279625.0,13234.125,832.0,245725.0,11889.625
0.05,668.0,279725.0,14654.25,839.0,248325.0,13255.25
0.055,725.0,278250.0,16028.75,880.0,244625.0,14334.375
0.06,709.0,278675.0,17429.5,872.0,243800.0,15500.0
0.065,682.0,279500.0,18849.5,844.0,246750.0,16882.75
0.07,653.0,280125.0,20261.75,847.0,248025.0,18208.75
0.075,704.0,278950.0,21625.25,881.0,243525.0,19145.375
0.08,707.0,279050.0,23031.0,856.0,246500.0,20576.0
0.085,663.0,279775.0,24443.875,855.0,246900.0,21841.5
0.09,657.0,280300.0,25884.0,862.0,247075.0,23098.75
0.095,646.0,279900.0,27236.5,822.0,248475.0,24427.125
0.1,676.0,279700.0,28646.0,851.0,247125.0,25563.5
0.15,662.0,280325.0,42710.75,850.0,250450.0,38417.5
0.2,673.0,279725.0,56618.0,870.0,244850.0,49840.0
0.25,657.0,280200.0,70707.0,856.0,245600.0,62256.0
0.3,650.0,280000.0,84650.0,824.0,250100.0,75854.0
0.35,658.0,280325.0,98771.75,839.0,248950.0,87971.5
0.4,653.0,280200.0,112733.0,850.0,246950.0,99630.0
0.45,647.0,280250.0,126759.5,848.0,248400.0,112628.0
0.5,652.0,280325.0,140814.5,847.0,247775.0,124734.5
0.55,658.0,279950.0,154630.5,862.0,246150.0,136244.5
0.6,656.0,280225.0,168791.0,841.0,249025.0,150256.0
0.65,662.0,280250.0,182824.5,847.0,245600.0,160487.0
0.7,645.0,280175.0,196767.5,837.0,248575.0,174839.5
0.75,657.0,280025.0,210675.75,832.0,248425.0,187150.75
0.8,661.0,280250.0,224861.0,854.0,248475.0,199634.0
0.85,653.0,280300.0,238908.0,861.0,247175.0,210959.75
0.9,655.0,280150.0,252790.0,870.0,245900.0,222180.0
0.95,650.0,280350.0,266982.5,831.0,245475.0,234032.25
1.0,659.0,280125.0,280784.0,866.0,244175.0,245041.0
10.0,653.0,280025.0,2800903.0,832.0,247025.0,2471082.0
20.0,654.0,280100.0,5602654.0,855.0,245800.0,4916855.0
30.0,649.0,280325.0,8410399.0,802.0,247350.0,7421302.0
40.0,655.0,280300.0,11212655.0,813.0,251075.0,10043813.0
50.0,652.0,279975.0,13999402.0,815.0,249025.0,12452065.0
60.0,653.0,280150.0,16809653.0,869.0,246200.0,14772869.0
70.0,652.0,280100.0,19607652.0,844.0,247650.0,17336344.0
80.0,656.0,280025.0,22402656.0,843.0,245625.0,19650843.0
90.0,652.0,280300.0,25227652.0,849.0,245575.0,22102599.0
100.0,649.0,280525.0,28053149.0,839.0,250150.0,25015839.0
