beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb
0.0,890.0,222300.0,890.0,795.0,199400.0,795.0
0.005,886.0,227600.0,2024.0,782.0,202200.0,1793.0
0.01,885.0,228200.0,3167.0,771.0,202200.0,2793.0
0.015,877.0,228900.0,4310.5,778.0,204700.0,3848.5
0.02,883.0,228600.0,5455.0,784.0,204800.0,4880.0
0.025,872.0,229200.0,6602.0,772.0,204100.0,5874.5
0.03,878.0,228900.0,7745.0,775.0,203800.0,6889.0
0.035,877.0,228900.0,8888.5,780.0,203900.0,7916.5
0.04,863.0,229400.0,10039.0,767.0,204000.0,8927.0
0.045,807.0,230700.0,11188.5,736.0,205800.0,9997.0
0.05,814.0,230600.0,12344.0,740.0,207800.0,11130.0
0.055,821.0,230400.0,13493.0,755.0,207300.0,12156.5
0.06,796.0,230900.0,14650.0,728.0,206400.0,13112.0
0.065,800.0,230800.0,15802.0,736.0,206300.0,14145.5
0.07,807.0,230700.0,16956.0,739.0,205600.0,15131.0
0.075,803.0,230700.0,18105.5,735.0,206800.0,16245.0
0.08,795.0,230800.0,19259.0,749.0,207300.0,17333.0
0.085,800.0,230800.0,20418.0,735.0,205300.0,18185.5
0.09,796.0,230900.0,21577.0,749.0,206800.0,19361.0
0.095,800.0,230800.0,22726.0,750.0,207100.0,20424.5
0.1,797.0,230800.0,23877.0,749.0,207000.0,21449.0
0.15,805.0,230900.0,35440.0,745.0,204000.0,31345.0
0.2,797.0,230800.0,46957.0,745.0,205700.0,41885.0
0.25,798.0,230900.0,58523.0,746.0,205700.0,52171.0
0.3,793.0,230900.0,70063.0,731.0,206800.0,62771.0
0.35,787.0,230900.0,81602.0,757.0,207500.0,73382.0
0.4,793.0,230900.0,93153.0,751.0,208200.0,84031.0
0.45,793.0,230800.0,104653.0,747.0,206800.0,93807.0
0.5,787.0,230900.0,116237.0,750.0,205800.0,103650.0
0.55,793.0,230800.0,127733.0,736.0,205300.0,113651.0
0.6,800.0,230800.0,139280.0,741.0,207600.0,125301.0
0.65,803.0,230800.0,150823.0,746.0,206300.0,134841.0
0.7,793.0,230900.0,162423.0,731.0,206100.0,145001.0
0.75,805.0,230800.0,173905.0,749.0,207000.0,155999.0
0.8,800.0,230900.0,185520.0,743.0,205100.0,164823.0
0.85,804.0,230800.0,196984.0,744.0,206200.0,176014.0
0.9,805.0,230800.0,208525.0,742.0,205900.0,186052.0
0.95,795.0,230800.0,220055.0,748.0,206800.0,197208.0
1.0,811.0,230800.0,231611.0,750.0,206300.0,207050.0
10.0,808.0,230900.0,2309808.0,749.0,204100.0,2041749.0
20.0,797.0,230800.0,4616797.0,733.0,206000.0,4120733.0
30.0,793.0,230900.0,6927793.0,746.0,206900.0,6207746.0
40.0,797.0,230900.0,9236797.0,735.0,205700.0,8228735.0
50.0,795.0,230800.0,11540795.0,744.0,208400.0,10420744.0
60.0,791.0,230800.0,13848791.0,739.0,204800.0,12288739.0
70.0,807.0,230800.0,16156807.0,749.0,208400.0,14588749.0
80.0,791.0,230900.0,18472791.0,734.0,206800.0,16544734.0
90.0,799.0,230800.0,20772799.0,746.0,207400.0,18666746.0
100.0,799.0,230800.0,23080799.0,743.0,205300.0,20530743.0
