beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb
0.0,993.0,196060.0,993.0,924.0,180280.0,924.0
0.005,994.0,202370.0,2005.85,925.0,185530.0,1852.65
0.01,977.0,203780.0,3014.8,914.0,184810.0,2762.1
0.015,967.0,204170.0,4029.55,916.0,187070.0,3722.05
0.02,958.0,204980.0,5057.6,905.0,182710.0,4559.2
0.025,951.0,204790.0,6070.75,905.0,184870.0,5526.75
0.03,940.0,205300.0,7099.0,904.0,186820.0,6508.6
0.035,933.0,205660.0,8131.1,907.0,186050.0,7418.75
0.04,933.0,205490.0,9152.6,905.0,185310.0,8317.4
0.045,935.0,205450.0,10180.25,913.0,185810.0,9274.45
0.05,926.0,205830.0,11217.5,899.0,186220.0,10210.0
0.055,917.0,205910.0,12242.05,899.0,184400.0,11041.0
0.06,931.0,205690.0,13272.4,906.0,186720.0,12109.2
0.065,909.0,206160.0,14309.4,893.0,185780.0,12968.7
0.07,920.0,206340.0,15363.8,901.0,185230.0,13867.1
0.075,904.0,205980.0,16352.5,902.0,184800.0,14762.0
0.08,917.0,206340.0,17424.2,903.0,188490.0,15982.2
0.085,915.0,206340.0,18453.9,893.0,184990.0,16617.15
0.09,905.0,206090.0,19453.1,901.0,186970.0,17728.3
0.095,912.0,206240.0,20504.8,897.0,185560.0,18525.2
0.1,913.0,206200.0,21533.0,899.0,186530.0,19552.0
0.15,906.0,206540.0,31887.0,898.0,186090.0,28811.5
0.2,893.0,206630.0,42219.0,902.0,186790.0,38260.0
0.25,900.0,206190.0,52447.5,891.0,184540.0,47026.0
0.3,897.0,206880.0,62961.0,894.0,186910.0,56967.0
0.35,898.0,206900.0,73313.0,896.0,187170.0,66405.5
0.4,891.0,206530.0,83503.0,897.0,185610.0,75141.0
0.45,894.0,206650.0,93886.5,902.0,185320.0,84296.0
0.5,903.0,206810.0,104308.0,906.0,188850.0,95331.0
0.55,903.0,206490.0,114472.5,895.0,188250.0,104432.5
0.6,890.0,206740.0,124934.0,894.0,187610.0,113460.0
0.65,895.0,206360.0,135029.0,893.0,187010.0,122449.5
0.7,873.0,206240.0,145241.0,909.0,188340.0,132747.0
0.75,888.0,206590.0,155830.5,910.0,188490.0,142277.5
0.8,900.0,206480.0,166084.0,901.0,187970.0,151277.0
0.85,890.0,206500.0,176415.0,902.0,187910.0,160625.5
0.9,892.0,206520.0,186760.0,894.0,185300.0,167664.0
0.95,890.0,206840.0,197388.0,889.0,185620.0,177228.0
1.0,893.0,206470.0,207363.0,903.0,186510.0,187413.0
10.0,888.0,206400.0,2064888.0,897.0,187640.0,1877297.0
20.0,898.0,206470.0,4130298.0,895.0,186330.0,3727495.0
30.0,891.0,206500.0,6195891.0,887.0,189070.0,5672987.0
40.0,894.0,206470.0,8259694.0,899.0,187120.0,7485699.0
50.0,883.0,206380.0,10319883.0,896.0,186690.0,9335396.0
60.0,907.0,206350.0,12381907.0,908.0,186150.0,11169908.0
70.0,891.0,206380.0,14447491.0,904.0,187550.0,13129404.0
80.0,893.0,206390.0,16512093.0,900.0,186230.0,14899300.0
90.0,898.0,207120.0,18641698.0,906.0,188760.0,16989306.0
100.0,908.0,206500.0,20650908.0,906.0,188340.0,18834906.0
