beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb
0.0,3874.0,486275.0,3874.0,3505.0,439300.0,3505.0
0.005,3877.0,494975.0,6351.875,3472.0,446250.0,5703.25
0.01,3872.0,495850.0,8830.5,3458.0,442600.0,7884.0
0.015,3862.0,496225.0,11305.375,3453.0,444175.0,10115.625
0.02,3854.0,498125.0,13816.5,3460.0,444075.0,12341.5
0.025,3853.0,496600.0,16268.0,3452.0,443300.0,14534.5
0.03,3855.0,496825.0,18759.75,3460.0,444625.0,16798.75
0.035,3857.0,496875.0,21247.625,3454.0,446150.0,19069.25
0.04,3131.0,515875.0,23766.0,2985.0,457975.0,21304.0
0.045,1290.0,565200.0,26724.0,2070.0,504150.0,24756.75
0.05,1311.0,564300.0,29526.0,2058.0,503050.0,27210.5
0.055,1208.0,569450.0,32527.75,1988.0,506050.0,29820.75
0.06,1303.0,563350.0,35104.0,2063.0,504925.0,32358.5
0.065,1242.0,567875.0,38153.875,2075.0,506150.0,34974.75
0.07,1225.0,568825.0,41042.75,1996.0,506300.0,37437.0
0.075,1316.0,564400.0,43646.0,2168.0,501850.0,39806.75
0.08,1250.0,567050.0,46614.0,2044.0,505600.0,42492.0
0.085,1289.0,565225.0,49333.125,2070.0,506450.0,45118.25
0.09,1338.0,563825.0,52082.25,2121.0,502850.0,47377.5
0.095,1263.0,566025.0,55035.375,2027.0,505175.0,50018.625
0.1,1260.0,566825.0,57942.5,1982.0,508475.0,52829.5
0.15,1295.0,564300.0,85940.0,2056.0,503875.0,77637.25
0.2,1300.0,564825.0,114265.0,2121.0,499375.0,101996.0
0.25,1265.0,566125.0,142796.25,2096.0,503900.0,128071.0
0.3,1232.0,567525.0,171489.5,1987.0,509450.0,154822.0
0.35,1278.0,565150.0,199080.5,2119.0,502250.0,177906.5
0.4,1239.0,567400.0,228199.0,2032.0,503275.0,203342.0
0.45,1230.0,567350.0,256537.5,2040.0,507725.0,230516.25
0.5,1276.0,565475.0,284013.5,2094.0,506600.0,255394.0
0.55,1253.0,566825.0,313006.75,2037.0,502975.0,278673.25
0.6,1287.0,565075.0,340332.0,2074.0,503425.0,304129.0
0.65,1294.0,565025.0,368560.25,2108.0,500525.0,327449.25
0.7,1233.0,567375.0,398395.5,2096.0,505775.0,356138.5
0.75,1239.0,567125.0,426582.75,2060.0,505150.0,380922.5
0.8,1238.0,567350.0,455118.0,2041.0,505900.0,406761.0
0.85,1230.0,567625.0,483711.25,2123.0,501625.0,428504.25
0.9,1244.0,566775.0,511341.5,2062.0,504300.0,455932.0
0.95,1252.0,566225.0,539165.75,2064.0,506500.0,483239.0
1.0,1287.0,565525.0,566812.0,2142.0,501575.0,503717.0
10.0,1235.0,567150.0,5672735.0,2087.0,505025.0,5052337.0
20.0,1238.0,567425.0,11349738.0,2031.0,505400.0,10110031.0
30.0,1239.0,567175.0,17016489.0,2070.0,506000.0,15182070.0
40.0,1246.0,567025.0,22682246.0,2137.0,501400.0,20058137.0
50.0,1231.0,567700.0,28386231.0,1990.0,509000.0,25451990.0
60.0,1240.0,567000.0,34021240.0,2023.0,507600.0,30458023.0
70.0,1267.0,566075.0,39626517.0,2110.0,502600.0,35184110.0
80.0,1259.0,566325.0,45307259.0,2078.0,502650.0,40214078.0
90.0,1242.0,567000.0,51031242.0,2050.0,507875.0,45710800.0
100.0,1239.0,567475.0,56748739.0,2045.0,505675.0,50569545.0
