beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb
0.0,212.0,163750.0,212.0,192.0,148000.0,192.0
0.005,157.0,228000.0,1297.0,136.0,193000.0,1101.0
0.01,127.0,231750.0,2444.5,118.0,193000.0,2048.0
0.015,127.0,231750.0,3603.25,118.0,193000.0,3013.0
0.02,122.0,232000.0,4762.0,113.0,202750.0,4168.0
0.025,122.0,232000.0,5922.0,112.0,202500.0,5174.5
0.03,105.0,232750.0,7087.5,93.0,207250.0,6310.5
0.035,105.0,232750.0,8251.25,95.0,206250.0,7313.75
0.04,105.0,232750.0,9415.0,96.0,206500.0,8356.0
0.045,105.0,232750.0,10578.75,91.0,206750.0,9394.75
0.05,105.0,232750.0,11742.5,95.0,211500.0,10670.0
0.055,105.0,232750.0,12906.25,93.0,211000.0,11698.0
0.06,103.0,232750.0,14068.0,97.0,203750.0,12322.0
0.065,103.0,232750.0,15231.75,94.0,207000.0,13549.0
0.07,105.0,232750.0,16397.5,95.0,212000.0,14935.0
0.075,105.0,232750.0,17561.25,95.0,211500.0,15957.5
0.08,105.0,232750.0,18725.0,94.0,207500.0,16694.0
0.085,111.0,232500.0,19873.5,108.0,211250.0,18064.25
0.09,105.0,232750.0,21052.5,94.0,211250.0,19106.5
0.095,105.0,232750.0,22216.25,94.0,211250.0,20162.75
0.1,105.0,232750.0,23380.0,91.0,206750.0,20766.0
0.15,103.0,232750.0,35015.5,95.0,208000.0,31295.0
0.2,105.0,232750.0,46655.0,92.0,207000.0,41492.0
0.25,103.0,232750.0,58290.5,96.0,207500.0,51971.0
0.3,105.0,232750.0,69930.0,94.0,211750.0,63619.0
0.35,113.0,232250.0,81400.5,106.0,204250.0,71593.5
0.4,113.0,232250.0,93013.0,106.0,204250.0,81806.0
0.45,105.0,232750.0,104842.5,95.0,211500.0,95270.0
0.5,105.0,232750.0,116480.0,94.0,211250.0,105719.0
0.55,111.0,232500.0,127986.0,107.0,211500.0,116432.0
0.6,105.0,232750.0,139755.0,94.0,211250.0,126844.0
0.65,105.0,232250.0,151067.5,95.0,204750.0,133182.5
0.7,103.0,232750.0,163028.0,97.0,203750.0,142722.0
0.75,111.0,232500.0,174486.0,102.0,211250.0,158539.5
0.8,105.0,232750.0,186305.0,92.0,210750.0,168692.0
0.85,105.0,232750.0,197942.5,95.0,211500.0,179870.0
0.9,105.0,232750.0,209580.0,95.0,211500.0,190445.0
0.95,105.0,232750.0,221217.5,94.0,207500.0,197219.0
1.0,105.0,232750.0,232855.0,94.0,211250.0,211344.0
10.0,114.0,232250.0,2322614.0,108.0,197750.0,1977608.0
20.0,105.0,232750.0,4655105.0,95.0,212000.0,4240095.0
30.0,110.0,232250.0,6967610.0,105.0,210750.0,6322605.0
40.0,111.0,232500.0,9300111.0,102.0,205750.0,8230102.0
50.0,105.0,232750.0,11637605.0,94.0,211250.0,10562594.0
60.0,111.0,232500.0,13950111.0,107.0,205750.0,12345107.0
70.0,108.0,232500.0,16275108.0,100.0,213500.0,14945100.0
80.0,105.0,232750.0,18620105.0,93.0,211000.0,16880093.0
90.0,113.0,232250.0,20902613.0,105.0,198250.0,17842605.0
100.0,105.0,232750.0,23275105.0,93.0,211000.0,21100093.0
