beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb
0.0001,217.0,191250.0,236.125,0.0,0.0,0.0
0.0002,217.0,191750.0,255.35,0.0,0.0,0.0
0.0003,217.0,191250.0,274.375,0.0,0.0,0.0
0.0004,216.0,195000.0,294.0,0.0,0.0,0.0
0.0005,216.0,196250.0,314.125,0.0,0.0,0.0
0.0006,215.0,198000.0,333.8,215.0,198000.0,333.8
0.0007,214.0,201250.0,354.875,0.0,0.0,0.0
0.0008,210.0,205500.0,374.4,210.0,205500.0,374.4
0.0009,211.0,205750.0,396.175,210.0,204000.0,393.6
0.001,206.0,211500.0,417.5,206.0,211500.0,417.5
0.0011,206.0,211500.0,438.65,206.0,211500.0,438.65
0.0012,206.0,211500.0,459.8,205.0,211250.0,458.5
0.0013,204.0,212500.0,480.25,0.0,0.0,0.0
0.0014,202.0,213500.0,500.9,201.0,213250.0,499.55
0.0015,192.0,222750.0,526.125,192.0,222750.0,526.125
0.0016,197.0,219500.0,548.2,194.0,218750.0,544.0
0.0017,198.0,217500.0,567.75,197.0,215750.0,563.775
0.0018,194.0,221000.0,591.8,0.0,0.0,0.0
0.0019,198.0,218000.0,612.2,198.0,218000.0,612.2
0.002,192.0,222500.0,637.0,0.0,0.0,0.0
0.0021,189.0,223000.0,657.3,188.0,222750.0,655.775
0.0022,190.0,223750.0,682.25,189.0,223500.0,680.7
0.0023,191.0,224250.0,706.775,0.0,0.0,0.0
0.0024,191.0,223500.0,727.4,0.0,0.0,0.0
0.0025,191.0,222750.0,747.875,191.0,222750.0,747.875
0.0026,190.0,225500.0,776.3,188.0,225000.0,773.0
0.0027,191.0,224750.0,797.825,188.0,224000.0,792.8
0.0028,191.0,224750.0,820.3,190.0,224500.0,818.6
0.0029,192.0,224250.0,842.325,0.0,0.0,0.0
0.003,192.0,224250.0,864.75,190.0,222750.0,858.25
0.0031,190.0,225000.0,887.5,0.0,0.0,0.0
0.0032,190.0,224000.0,906.8,190.0,224000.0,906.8
0.0033,181.0,225750.0,925.975,0.0,0.0,0.0
0.0034,187.0,222000.0,941.8,187.0,222000.0,941.8
0.0035,192.0,224250.0,976.875,0.0,0.0,0.0
0.0036,190.0,225000.0,1000.0,189.0,224750.0,998.1
0.0037,192.0,223500.0,1018.95,191.0,223250.0,1017.025
0.0038,191.0,224750.0,1045.05,0.0,0.0,0.0
0.0039,191.0,224750.0,1067.525,190.0,224500.0,1065.55
0.004,191.0,224250.0,1088.0,0.0,0.0,0.0
0.0041,190.0,225500.0,1114.55,0.0,0.0,0.0
0.0042,180.0,226500.0,1131.3,0.0,0.0,0.0
0.0043,185.0,225250.0,1153.575,183.0,224750.0,1149.425
0.0044,190.0,225500.0,1182.2,0.0,0.0,0.0
0.0045,186.0,225750.0,1201.875,186.0,225750.0,1201.875
0.0046,187.0,224500.0,1219.7,184.0,223750.0,1213.25
0.0047,174.0,226500.0,1238.55,0.0,0.0,0.0
0.0048,186.0,224750.0,1264.8,186.0,224750.0,1264.8
0.0049,190.0,225500.0,1294.95,0.0,0.0,0.0
