beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
0.0,823.0,230150.0,823.0,0.0,0.0,0.0,718.0,200210.0,718.0
1e-05,823.0,231180.0,825.3118,0.0,0.0,0.0,728.0,202790.0,730.0279
2e-05,823.0,230400.0,827.608,0.0,0.0,0.0,731.0,203430.0,735.0686
4e-05,823.0,230470.0,832.2188,0.0,0.0,0.0,724.0,202230.0,732.0892
8e-05,823.0,230670.0,841.4536,0.0,0.0,0.0,723.0,200100.0,739.008
0.0001,823.0,230600.0,846.06,0.0,0.0,0.0,728.0,200440.0,748.044
0.0002,823.0,231580.0,869.316,0.0,0.0,0.0,727.0,202700.0,767.54
0.0004,823.0,231760.0,915.704,0.0,0.0,0.0,727.0,200970.0,807.388
0.0008,823.0,233080.0,1009.464,0.0,0.0,0.0,721.0,200030.0,881.024
0.001,823.0,233410.0,1056.41,0.0,0.0,0.0,728.0,205860.0,933.86
0.002,819.0,237040.0,1293.08,0.0,0.0,0.0,716.0,206430.0,1128.86
0.004,817.0,238540.0,1771.16,0.0,0.0,0.0,713.0,206160.0,1537.64
0.008,810.0,240190.0,2731.52,0.0,0.0,0.0,594.0,218830.0,2344.64
0.01,806.0,240560.0,3211.6,0.0,0.0,0.0,718.0,208790.0,2805.9
0.02,788.0,241950.0,5627.0,0.0,0.0,0.0,594.0,218830.0,4970.6
0.04,729.0,244100.0,10493.0,0.0,0.0,0.0,594.0,218830.0,9347.2
0.08,704.0,244790.0,20287.2,0.0,0.0,0.0,594.0,218830.0,18100.4
0.1,713.0,244660.0,25179.0,0.0,0.0,0.0,594.0,218830.0,22477.0
0.2,707.0,244930.0,49693.0,0.0,0.0,0.0,594.0,218830.0,44360.0
0.4,705.0,245020.0,98713.0,0.0,0.0,0.0,594.0,218830.0,88126.0
1.0,710.0,245280.0,245990.0,0.0,0.0,0.0,594.0,218830.0,219424.0
10.0,700.0,245100.0,2451700.0,0.0,0.0,0.0,594.0,218830.0,2188894.0
