beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
0.0,974.0,228634.0,974.0,0.0,0.0,0.0,887.0,204633.0,887.0
1e-05,973.0,228234.0,975.28234,0.0,0.0,0.0,900.0,206133.0,902.06133
2e-05,972.0,229834.0,976.59668,0.0,0.0,0.0,895.0,205534.0,899.11068
4e-05,973.0,230034.0,982.20136,0.0,0.0,0.0,891.0,204434.0,899.17736
8e-05,973.0,229434.0,991.35472,0.0,0.0,0.0,889.0,202234.0,905.17872
0.0001,974.0,228234.0,996.8234,0.0,0.0,0.0,893.0,205334.0,913.5334
0.0002,974.0,230434.0,1020.0868,0.0,0.0,0.0,890.0,203834.0,930.7668
0.0004,969.0,242034.0,1065.8136,0.0,0.0,0.0,880.0,210734.0,964.2936
0.0008,970.0,242834.0,1164.2672,0.0,0.0,0.0,878.0,214333.0,1049.4664
0.001,969.0,243634.0,1212.634,0.0,0.0,0.0,876.0,213034.0,1089.034
0.002,965.0,249134.0,1463.268,0.0,0.0,0.0,855.0,211223.0,1277.446
0.004,960.0,250832.0,1963.328,0.0,0.0,0.0,865.0,217232.0,1733.928
0.008,950.0,253231.0,2975.848,0.0,0.0,0.0,851.0,219621.0,2607.968
0.01,945.0,253727.0,3482.27,0.0,0.0,0.0,647.0,239160.0,3038.6
0.02,910.0,255978.0,6029.56,0.0,0.0,0.0,647.0,239160.0,5430.2
0.04,834.0,259428.0,11211.12,0.0,0.0,0.0,647.0,239160.0,10213.4
0.08,714.0,263038.0,21757.04,0.0,0.0,0.0,647.0,239160.0,19779.8
0.1,721.0,262568.0,26977.8,0.0,0.0,0.0,647.0,239160.0,24563.0
0.2,716.0,262876.0,53291.2,0.0,0.0,0.0,647.0,239160.0,48479.0
0.4,721.0,263078.0,105952.2,0.0,0.0,0.0,647.0,239160.0,96311.0
1.0,710.0,263081.0,263791.0,0.0,0.0,0.0,647.0,239160.0,239807.0
10.0,719.0,263173.0,2632449.0,0.0,0.0,0.0,647.0,239160.0,2392247.0
