src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
98,59,0,41,0,0,1,1000.0
98,59,0,41,0,0,1,1000.0
96,91,0,41,0,0,1,1000.0
96,91,0,41,0,0,1,1000.0
96,87,0,41,1,0,1,1000.0
96,87,0,41,1,0,1,1000.0
96,75,0,41,2,0,1,1000.0
96,75,0,41,2,0,1,1000.0
96,43,41,21,0,0,2,1000.0
96,43,41,21,0,0,2,1000.0
95,67,0,41,0,0,1,1000.0
95,67,0,41,0,0,1,1000.0
95,55,0,41,1,0,1,1000.0
95,55,0,41,1,0,1,1000.0
95,51,0,41,2,0,1,1000.0
95,51,0,41,2,0,1,1000.0
95,37,41,21,0,0,2,1000.0
95,37,41,21,0,0,2,1000.0
95,25,62,15,0,0,3,1000.0
95,25,62,15,0,0,3,1000.0
94,36,0,41,0,0,1,1000.0
94,36,0,41,0,0,1,1000.0
94,11,0,41,1,0,1,1000.0
94,11,0,41,1,0,1,1000.0
93,68,0,41,0,0,1,1000.0
93,68,0,41,0,0,1,1000.0
93,38,0,41,1,0,1,1000.0
93,38,0,41,1,0,1,1000.0
92,70,0,41,0,0,1,1000.0
92,70,0,41,0,0,1,1000.0
90,96,62,15,0,0,3,1000.0
90,96,62,15,0,0,3,1000.0
90,52,0,41,0,0,1,1000.0
90,52,0,41,0,0,1,1000.0
90,38,0,41,1,1,1,1000.0
90,38,0,41,1,1,1,1000.0
90,36,0,41,2,1,1,1000.0
90,36,0,41,2,1,1,1000.0
89,94,0,41,0,2,1,1000.0
89,94,0,41,0,2,1,1000.0
89,85,0,41,1,0,1,1000.0
89,85,0,41,1,0,1,1000.0
89,83,0,41,2,0,1,1000.0
89,83,0,41,2,0,1,1000.0
89,14,41,21,0,0,2,1000.0
89,14,41,21,0,0,2,1000.0
87,75,0,41,1,1,1,1000.0
87,75,0,41,1,1,1,1000.0
86,12,0,41,0,0,1,1000.0
86,12,0,41,0,0,1,1000.0
85,90,41,21,0,0,2,1000.0
85,90,41,21,0,0,2,1000.0
85,37,0,41,1,0,1,1000.0
85,37,0,41,1,0,1,1000.0
84,52,0,41,0,1,1,1000.0
84,52,0,41,0,1,1,1000.0
81,40,0,41,0,0,1,1000.0
81,40,0,41,0,0,1,1000.0
80,15,0,41,0,0,1,1000.0
80,15,0,41,0,0,1,1000.0
79,56,0,41,0,0,1,1000.0
79,56,0,41,0,0,1,1000.0
79,25,0,41,1,0,1,1000.0
79,25,0,41,1,0,1,1000.0
78,52,0,41,0,2,1,1000.0
78,52,0,41,0,2,1,1000.0
78,8,0,41,1,0,1,1000.0
78,8,0,41,1,0,1,1000.0
76,82,0,41,0,0,1,1000.0
76,82,0,41,0,0,1,1000.0
76,34,0,41,1,0,1,1000.0
76,34,0,41,1,0,1,1000.0
76,11,0,41,2,1,1,1000.0
76,11,0,41,2,1,1,1000.0
74,75,0,41,0,2,1,1000.0
74,75,0,41,0,2,1,1000.0
74,67,0,41,1,1,1,1000.0
74,67,0,41,1,1,1,1000.0
73,71,0,41,0,0,1,1000.0
73,71,0,41,0,0,1,1000.0
73,44,0,41,1,0,1,1000.0
73,44,0,41,1,0,1,1000.0
71,74,0,41,1,2,1,1000.0
71,74,0,41,1,2,1,1000.0
70,98,0,41,1,1,1,1000.0
70,98,0,41,1,1,1,1000.0
69,93,0,41,0,2,1,1000.0
69,93,0,41,0,2,1,1000.0
69,36,0,41,1,2,1,1000.0
69,36,0,41,1,2,1,1000.0
69,17,0,41,2,0,1,1000.0
69,17,0,41,2,0,1,1000.0
68,67,0,41,1,2,1,1000.0
68,67,0,41,1,2,1,1000.0
68,12,0,41,2,1,1,1000.0
68,12,0,41,2,1,1,1000.0
68,11,41,21,0,0,2,1000.0
68,11,41,21,0,0,2,1000.0
68,2,62,15,0,0,3,1000.0
68,2,62,15,0,0,3,1000.0
66,69,41,21,0,0,2,1000.0
66,69,41,21,0,0,2,1000.0
66,45,0,41,0,0,1,1000.0
66,45,0,41,0,0,1,1000.0
65,29,0,41,0,0,1,1000.0
65,29,0,41,0,0,1,1000.0
64,77,0,41,0,0,1,1000.0
64,77,0,41,0,0,1,1000.0
62,57,0,41,0,0,1,1000.0
62,57,0,41,0,0,1,1000.0
62,54,0,41,1,0,1,1000.0
62,54,0,41,1,0,1,1000.0
60,46,0,41,0,0,1,1000.0
60,46,0,41,0,0,1,1000.0
57,76,41,21,0,0,2,1000.0
57,76,41,21,0,0,2,1000.0
57,67,62,15,0,0,3,1000.0
57,67,62,15,0,0,3,1000.0
57,64,0,41,1,1,1,1000.0
57,64,0,41,1,1,1,1000.0
57,16,0,41,2,0,1,1000.0
57,16,0,41,2,0,1,1000.0
55,75,41,21,0,0,2,1000.0
55,75,41,21,0,0,2,1000.0
55,43,0,41,1,0,1,1000.0
55,43,0,41,1,0,1,1000.0
53,61,0,41,0,0,1,1000.0
53,61,0,41,0,0,1,1000.0
53,55,0,41,1,2,1,1000.0
53,55,0,41,1,2,1,1000.0
52,93,41,21,0,0,2,1000.0
52,93,41,21,0,0,2,1000.0
52,27,62,15,0,0,3,1000.0
52,27,62,15,0,0,3,1000.0
49,44,0,41,0,1,1,1000.0
49,44,0,41,0,1,1,1000.0
49,0,0,41,1,0,1,1000.0
49,0,0,41,1,0,1,1000.0
47,78,0,41,0,2,1,1000.0
47,78,0,41,0,2,1,1000.0
46,87,0,41,1,2,1,1000.0
46,87,0,41,1,2,1,1000.0
46,20,0,41,2,0,1,1000.0
46,20,0,41,2,0,1,1000.0
45,79,0,41,1,2,1,1000.0
45,79,0,41,1,2,1,1000.0
45,43,0,41,2,1,1,1000.0
45,43,0,41,2,1,1,1000.0
43,33,0,41,2,0,1,1000.0
43,33,0,41,2,0,1,1000.0
43,30,62,15,0,0,3,1000.0
43,30,62,15,0,0,3,1000.0
42,71,0,41,0,2,1,1000.0
42,71,0,41,0,2,1,1000.0
40,66,0,41,1,1,1,1000.0
40,66,0,41,1,1,1,1000.0
39,91,0,41,0,1,1,1000.0
39,91,0,41,0,1,1,1000.0
39,58,0,41,1,0,1,1000.0
39,58,0,41,1,0,1,1000.0
39,27,0,41,2,0,1,1000.0
39,27,0,41,2,0,1,1000.0
39,13,41,21,0,0,2,1000.0
39,13,41,21,0,0,2,1000.0
39,9,62,15,0,0,3,1000.0
39,9,62,15,0,0,3,1000.0
38,91,0,41,2,2,1,1000.0
38,91,0,41,2,2,1,1000.0
37,91,62,15,0,0,3,1000.0
37,91,62,15,0,0,3,1000.0
35,32,0,41,0,0,1,1000.0
35,32,0,41,0,0,1,1000.0
35,18,0,41,1,0,1,1000.0
35,18,0,41,1,0,1,1000.0
34,58,0,41,1,1,1,1000.0
34,58,0,41,1,1,1,1000.0
33,60,0,41,1,1,1,1000.0
33,60,0,41,1,1,1,1000.0
33,55,62,15,0,0,3,1000.0
33,55,62,15,0,0,3,1000.0
32,51,0,41,1,1,1,1000.0
32,51,0,41,1,1,1,1000.0
31,42,0,41,0,1,1,1000.0
31,42,0,41,0,1,1,1000.0
29,73,0,41,1,2,1,1000.0
29,73,0,41,1,2,1,1000.0
29,59,0,41,2,1,1,1000.0
29,59,0,41,2,1,1,1000.0
28,85,0,41,0,2,1,1000.0
28,85,0,41,0,2,1,1000.0
27,22,0,41,1,0,1,1000.0
27,22,0,41,1,0,1,1000.0
26,86,0,41,0,1,1,1000.0
26,86,0,41,0,1,1,1000.0
26,63,0,41,1,0,1,1000.0
26,63,0,41,1,0,1,1000.0
25,38,41,21,0,0,2,1000.0
25,38,41,21,0,0,2,1000.0
24,22,0,41,0,1,1,1000.0
24,22,0,41,0,1,1,1000.0
22,63,0,41,2,1,1,1000.0
