src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
97,7,0,41,2,0,1,1000.0
95,93,0,41,2,2,1,1000.0
94,13,0,41,2,2,1,1000.0
91,17,0,41,2,0,1,1000.0
88,30,0,41,2,0,1,1000.0
87,93,0,41,2,1,1,1000.0
87,86,0,41,1,0,1,1000.0
87,76,0,41,0,0,1,1000.0
84,90,0,41,0,2,1,1000.0
83,61,0,41,2,1,1,1000.0
83,36,0,41,0,2,1,1000.0
82,83,0,41,1,1,1,1000.0
81,74,0,41,0,1,1,1000.0
80,35,0,41,2,1,1,1000.0
78,85,0,41,0,1,1,1000.0
72,62,0,41,0,2,1,1000.0
72,54,0,41,1,1,1,1000.0
70,34,0,41,0,2,1,1000.0
69,3,0,41,1,0,1,1000.0
66,70,0,41,2,2,1,1000.0
63,65,0,41,2,0,1,1000.0
63,57,0,41,1,2,1,1000.0
61,91,0,41,0,0,1,1000.0
60,79,0,41,2,2,1,1000.0
60,54,0,41,0,0,1,1000.0
60,52,0,41,1,2,1,1000.0
59,52,0,41,2,1,1,1000.0
56,24,0,41,2,2,1,1000.0
55,38,0,41,2,1,1,1000.0
53,98,0,41,1,2,1,1000.0
53,31,0,41,2,1,1,1000.0
51,67,0,41,1,2,1,1000.0
50,42,0,41,1,1,1,1000.0
50,39,0,41,2,0,1,1000.0
49,57,0,41,2,1,1,1000.0
49,46,0,41,0,0,1,1000.0
48,93,0,41,2,0,1,1000.0
47,40,0,41,0,0,1,1000.0
45,90,0,41,1,0,1,1000.0
44,95,0,41,2,0,1,1000.0
43,76,0,41,2,1,1,1000.0
43,58,0,41,0,2,1,1000.0
42,63,0,41,0,0,1,1000.0
33,40,0,41,1,2,1,1000.0
32,76,0,41,0,2,1,1000.0
32,54,0,41,1,2,1,1000.0
31,97,0,41,0,1,1,1000.0
30,99,0,41,2,2,1,1000.0
30,57,0,41,1,0,1,1000.0
27,89,0,41,0,0,1,1000.0
26,65,0,41,0,2,1,1000.0
23,96,0,41,0,0,1,1000.0
23,86,0,41,1,2,1,1000.0
18,16,0,41,2,1,1,1000.0
16,50,0,41,0,0,1,1000.0
15,20,0,41,2,2,1,1000.0
13,42,0,41,0,2,1,1000.0
13,1,0,41,1,1,1,1000.0
11,75,0,41,2,1,1,1000.0
10,21,0,41,2,1,1,1000.0
8,97,0,41,1,0,1,1000.0
5,96,0,41,2,1,1,1000.0
5,89,0,41,1,1,1,1000.0
4,68,0,41,2,1,1,1000.0
2,46,0,41,0,1,1,1000.0
58,97,41,21,0,1,2,1000.0
51,71,41,21,0,0,2,1000.0
28,89,41,21,1,1,2,1000.0
22,15,0,21,1,0,2,1000.0
20,76,41,21,0,1,2,1000.0
10,9,0,21,0,0,2,1000.0
99,87,41,17,0,2,1,400.0
99,10,41,17,1,2,1,400.0
98,69,0,17,0,0,1,400.0
98,31,41,17,0,0,1,400.0
98,27,17,17,0,2,1,400.0
98,26,58,17,0,1,1,400.0
98,20,62,17,2,0,1,400.0
96,85,41,17,0,2,1,400.0
96,55,0,17,2,0,1,400.0
96,49,41,17,1,1,1,400.0
96,19,17,17,2,1,1,400.0
95,92,41,17,2,1,1,400.0
94,44,41,17,0,2,1,400.0
94,22,0,17,1,0,1,400.0
93,57,41,17,0,0,1,400.0
92,83,41,17,0,2,1,400.0
92,82,0,17,1,0,1,400.0
92,80,0,17,2,0,1,400.0
92,67,58,17,1,2,1,400.0
92,64,0,17,0,1,1,400.0
92,40,41,17,2,0,1,400.0
91,66,41,17,2,2,1,400.0
91,2,41,17,0,0,1,400.0
90,97,62,17,1,1,1,400.0
90,56,41,17,0,1,1,400.0
88,91,58,17,1,0,1,400.0
88,67,0,17,1,0,1,400.0
88,57,58,17,0,0,1,400.0
88,38,17,17,1,0,1,400.0
88,36,0,17,0,0,1,400.0
88,0,41,17,2,2,1,400.0
87,82,58,17,2,2,1,400.0
86,22,41,17,0,2,1,400.0
85,97,41,17,0,0,1,400.0
85,76,62,17,2,2,1,400.0
85,65,41,17,1,0,1,400.0
85,41,58,17,1,0,1,400.0
85,19,0,17,2,2,1,400.0
82,94,41,17,2,2,1,400.0
82,92,17,17,2,0,1,400.0
82,62,41,17,1,2,1,400.0
82,55,17,17,0,0,1,400.0
81,79,41,17,1,2,1,400.0
81,49,0,17,2,1,1,400.0
81,20,17,17,2,1,1,400.0
80,84,0,17,1,2,1,400.0
80,73,41,17,2,2,1,400.0
80,71,58,17,2,2,1,400.0
80,34,17,17,1,0,1,400.0
80,18,17,17,0,0,1,400.0
80,0,58,17,0,2,1,400.0
79,74,41,17,1,1,1,400.0
78,63,41,17,1,2,1,400.0
78,53,0,17,1,0,1,400.0
78,16,58,17,1,0,1,400.0
78,5,41,17,2,1,1,400.0
77,88,17,17,1,0,1,400.0
77,81,41,17,0,0,1,400.0
77,74,0,17,0,2,1,400.0
77,68,0,17,1,2,1,400.0
77,54,58,17,0,0,1,400.0
77,14,0,17,2,0,1,400.0
76,3,41,17,0,1,1,400.0
75,89,0,17,2,2,1,400.0
75,88,41,17,1,0,1,400.0
75,62,0,17,0,1,1,400.0
75,18,34,17,2,0,1,400.0
75,15,41,17,0,2,1,400.0
74,51,0,17,0,0,1,400.0
74,31,41,17,0,1,1,400.0
74,17,17,17,2,2,1,400.0
73,26,0,17,0,2,1,400.0
73,23,17,17,0,2,1,400.0
72,86,41,17,0,1,1,400.0
72,64,17,17,2,1,1,400.0
72,11,0,17,2,0,1,400.0
71,81,62,17,1,0,1,400.0
71,57,62,17,0,1,1,400.0
71,27,0,17,0,1,1,400.0
71,21,0,17,2,2,1,400.0
71,7,17,17,2,1,1,400.0
70,74,17,17,1,0,1,400.0
70,57,41,17,0,2,1,400.0
70,51,62,17,2,0,1,400.0
69,52,41,17,0,1,1,400.0
69,29,17,17,0,0,1,400.0
69,17,0,17,2,2,1,400.0
68,96,41,17,1,2,1,400.0
68,73,34,17,2,0,1,400.0
68,58,62,17,1,0,1,400.0
68,45,0,17,0,0,1,400.0
68,21,41,17,0,1,1,400.0
67,57,58,17,0,2,1,400.0
67,36,0,17,1,1,1,400.0
67,26,17,17,0,1,1,400.0
67,4,41,17,2,1,1,400.0
66,58,0,17,0,0,1,400.0
66,56,58,17,2,0,1,400.0
66,54,41,17,1,0,1,400.0
66,53,41,17,0,2,1,400.0
66,0,17,17,0,1,1,400.0
64,18,41,17,2,2,1,400.0
63,78,58,17,0,2,1,400.0
63,48,41,17,1,1,1,400.0
62,56,0,17,0,0,1,400.0
62,1,17,17,0,2,1,400.0
61,37,41,17,1,1,1,400.0
60,70,58,17,2,0,1,400.0
60,45,41,17,0,0,1,400.0
59,99,41,17,1,2,1,400.0
59,98,0,17,0,1,1,400.0
59,43,0,17,1,1,1,400.0
59,33,41,17,0,1,1,400.0
59,6,41,17,2,1,1,400.0
56,62,41,17,2,0,1,400.0
56,31,0,17,1,2,1,400.0
56,17,58,17,2,1,1,400.0
55,91,58,17,2,2,1,400.0
55,81,0,17,1,1,1,400.0
55,24,34,17,0,0,1,400.0
55,19,17,17,1,2,1,400.0
54,92,58,17,1,2,1,400.0
54,59,58,17,2,0,1,400.0
53,90,17,17,0,1,1,400.0
53,64,34,17,0,1,1,400.0
53,42,58,17,2,2,1,400.0
52,18,58,17,0,2,1,400.0
51,86,17,17,0,1,1,400.0
51,70,0,17,2,1,1,400.0
51,45,17,17,2,2,1,400.0
50,60,58,17,1,0,1,400.0
50,45,58,17,2,0,1,400.0
50,15,41,17,2,1,1,400.0
49,22,41,17,2,0,1,400.0
49,12,58,17,2,1,1,400.0
48,80,58,17,1,1,1,400.0
48,50,41,17,2,0,1,400.0
48,19,0,17,1,0,1,400.0
48,2,58,17,2,1,1,400.0
47,84,0,17,2,1,1,400.0
47,79,58,17,2,2,1,400.0
47,73,0,17,1,2,1,400.0
47,66,17,17,2,1,1,400.0
47,54,41,17,1,1,1,400.0
47,31,17,17,1,2,1,400.0
46,39,0,17,2,1,1,400.0
46,18,17,17,2,1,1,400.0
46,3,41,17,1,2,1,400.0
45,20,0,17,2,0,1,400.0
44,19,17,17,0,0,1,400.0
43,41,41,17,2,0,1,400.0
43,11,17,17,1,0,1,400.0
43,4,58,17,2,0,1,400.0
42,97,58,17,1,0,1,400.0
42,94,58,17,0,0,1,400.0
41,78,17,17,1,1,1,400.0
41,38,0,17,2,0,1,400.0
41,33,0,17,0,2,1,400.0
41,32,17,17,2,2,1,400.0
41,11,0,17,1,1,1,400.0
40,36,17,17,1,1,1,400.0
39,61,17,17,1,2,1,400.0
39,55,34,17,2,1,1,400.0
39,25,0,17,2,0,1,400.0
38,77,17,17,2,2,1,400.0
38,45,41,17,1,2,1,400.0
38,41,34,17,2,1,1,400.0
38,23,41,17,0,1,1,400.0
38,19,0,17,2,1,1,400.0
37,73,17,17,0,2,1,400.0
37,71,34,17,2,2,1,400.0
36,84,41,17,1,0,1,400.0
36,78,17,17,0,2,1,400.0
36,46,41,17,2,0,1,400.0
36,39,58,17,2,0,1,400.0
36,21,34,17,0,0,1,400.0
35,94,0,17,2,0,1,400.0
35,58,17,17,2,0,1,400.0
35,45,58,17,0,2,1,400.0
35,40,34,17,2,1,1,400.0
35,26,51,17,2,2,1,400.0
35,17,41,17,0,0,1,400.0
34,51,34,17,0,2,1,400.0
34,44,0,17,1,0,1,400.0
34,39,51,17,0,2,1,400.0
34,5,41,17,2,0,1,400.0
33,83,41,17,2,1,1,400.0
33,38,58,17,0,0,1,400.0
32,93,41,17,2,2,1,400.0
32,66,58,17,0,1,1,400.0
32,65,0,17,2,1,1,400.0
32,52,41,17,1,2,1,400.0
32,48,41,17,0,0,1,400.0
30,68,58,17,1,0,1,400.0
30,31,58,17,2,0,1,400.0
30,17,41,17,2,1,1,400.0
29,78,41,17,2,0,1,400.0
29,68,17,17,2,2,1,400.0
29,48,0,17,1,0,1,400.0
29,45,17,17,1,0,1,400.0
29,27,0,17,0,2,1,400.0
29,3,0,17,2,1,1,400.0
28,96,62,17,2,1,1,400.0
28,64,0,17,0,0,1,400.0
28,44,34,17,0,0,1,400.0
27,96,58,17,2,0,1,400.0
27,76,58,17,1,0,1,400.0
27,25,34,17,2,0,1,400.0
26,94,34,17,1,1,1,400.0
26,34,17,17,2,1,1,400.0
26,14,41,17,0,0,1,400.0
25,84,17,17,1,2,1,400.0
23,81,58,17,1,2,1,400.0
23,62,34,17,2,1,1,400.0
23,38,51,17,2,2,1,400.0
22,94,51,17,1,1,1,400.0
22,90,58,17,0,2,1,400.0
22,31,58,17,2,2,1,400.0
20,87,62,17,1,1,1,400.0
20,9,41,17,2,2,1,400.0
19,86,58,17,1,1,1,400.0
