src,dst,spec,used_slot,tfk_slot
42,55,0,15,15
11,15,0,15,15
99,80,0,7,7
98,72,0,7,7
97,84,0,7,7
96,66,0,7,7
94,79,0,7,7
93,8,0,7,7
90,92,0,7,7
88,0,0,7,7
87,29,0,7,7
86,37,0,7,7
83,82,0,7,7
81,25,0,7,7
78,48,0,7,7
77,65,0,7,7
76,7,0,7,7
75,95,0,7,7
74,28,0,7,7
73,17,0,7,7
71,10,0,7,7
69,85,0,7,7
68,33,0,7,7
67,91,0,7,7
64,38,0,7,7
61,12,0,7,7
59,24,0,7,7
57,6,0,7,7
52,56,0,7,7
51,22,0,7,7
46,35,0,7,7
44,20,0,7,7
43,5,0,7,7
34,18,0,7,7
32,16,0,7,7
30,60,0,7,7
14,2,0,7,7
1,3,0,7,7
89,47,0,4,4
70,36,0,4,4
62,40,0,4,4
58,53,0,4,4
54,9,0,4,4
49,39,0,4,4
45,13,0,4,4
27,21,0,4,4
23,41,0,4,4
50,63,0,2,2
38,14,7,15,15
99,23,7,7,7
98,3,7,7,7
95,88,7,7,7
94,68,7,7,7
90,35,7,7,7
87,60,7,7,7
86,80,7,7,7
84,71,7,7,7
83,29,7,7,7
79,9,7,7,7
78,24,7,7,7
77,40,7,7,7
75,81,7,7,7
73,15,15,7,7
69,96,7,7,7
67,72,7,7,7
66,6,7,7,7
65,28,7,7,7
64,20,7,7,7
59,42,15,7,7
57,17,7,7,7
53,82,7,7,7
52,76,7,7,7
51,33,7,7,7
48,45,7,7,7
47,22,7,7,7
46,16,7,7,7
44,56,7,7,7
41,55,15,7,7
39,8,7,7,7
36,85,7,7,7
34,93,7,7,7
27,5,7,7,7
18,11,15,7,7
13,91,7,7,7
12,61,7,7,7
7,92,7,7,7
97,21,7,4,4
70,43,7,4,4
54,37,7,4,4
30,10,7,4,4
25,26,7,4,4
4,62,4,4,4
2,58,7,4,4
89,49,4,3,3
63,74,7,3,3
50,1,7,3,3
99,81,14,7,7
96,89,14,7,7
94,51,14,7,7
90,95,14,7,7
88,72,14,7,7
85,91,14,7,7
83,6,14,7,7
80,37,14,7,7
78,16,14,7,7
76,3,14,7,7
73,84,22,7,7
71,8,14,7,7
68,17,14,7,7
66,24,14,7,7
65,14,22,7,7
61,98,14,7,7
59,75,22,7,7
58,42,22,7,7
52,77,14,7,7
50,28,14,7,7
48,19,14,7,7
46,67,14,7,7
43,38,22,7,7
36,86,14,7,7
35,74,14,7,7
34,56,14,7,7
33,97,14,7,7
29,92,14,7,7
25,55,22,7,7
13,60,14,7,7
10,15,22,7,7
9,2,14,7,7
7,5,14,7,7
93,40,14,4,4
87,53,14,4,4
79,45,14,4,4
70,1,11,4,4
69,54,14,4,4
63,20,14,4,4
47,49,14,4,4
39,32,14,4,4
30,23,14,4,4
27,64,14,4,4
18,22,22,4,4
11,4,22,4,4
57,21,14,3,3
31,12,14,3,3
26,0,11,3,3
62,82,14,2,2
98,55,29,7,7
94,25,29,7,7
88,90,21,7,7
83,84,29,7,7
79,6,21,7,7
76,77,21,7,7
75,3,29,7,7
70,86,21,7,7
68,81,21,7,7
66,72,21,7,7
60,51,21,7,7
56,37,21,7,7
52,29,21,7,7
46,7,21,7,7
44,24,21,7,7
43,15,29,7,7
41,28,22,7,7
36,22,26,7,7
33,26,21,7,7
23,69,18,7,7
20,8,21,7,7
19,17,21,7,7
16,9,21,7,7
11,85,26,7,7
10,91,29,7,7
5,50,21,7,7
4,42,29,7,7
1,34,21,7,7
0,67,21,7,7
99,95,21,4,4
97,93,21,4,4
96,53,21,4,4
92,74,21,4,4
89,21,21,4,4
87,38,29,4,4
80,65,29,4,4
78,13,21,4,4
71,64,21,4,4
63,48,21,4,4
59,39,29,4,4
58,47,18,4,4
49,61,21,4,4
40,31,18,4,4
30,73,29,4,4
54,45,4,3,3
18,57,26,3,3
2,82,21,3,3
62,14,29,2,2
94,97,36,7,7
87,22,33,7,7
79,84,36,7,7
75,24,36,7,7
69,8,28,7,7
65,35,33,7,7
58,90,29,7,7
52,37,28,7,7
46,77,28,7,7
42,86,36,7,7
38,7,33,7,7
34,15,36,7,7
29,96,28,7,7
23,51,28,7,7
19,76,28,7,7
14,28,31,7,7
