beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb
0.0,1336.0,247325.0,1336.0,1170.0,188125.0,1170.0
0.005,1326.0,261300.0,2632.5,1162.0,194525.0,2134.625
0.01,1322.0,262350.0,3945.5,1162.0,192925.0,3091.25
0.015,1314.0,263375.0,5264.625,1163.0,190825.0,4025.375
0.02,1309.0,263975.0,6588.5,1163.0,194025.0,5043.5
0.025,1298.0,264725.0,7916.125,1167.0,195125.0,6045.125
0.03,1228.0,266925.0,9235.75,1164.0,198525.0,7119.75
0.035,1298.0,264525.0,10556.375,1168.0,197725.0,8088.375
0.04,1155.0,268025.0,11876.0,1163.0,201925.0,9240.0
0.045,683.0,280275.0,13295.375,1056.0,223200.0,11100.0
0.05,689.0,280025.0,14690.25,1033.0,221625.0,12114.25
0.055,676.0,280775.0,16118.625,1028.0,223575.0,13324.625
0.06,673.0,280500.0,17503.0,1054.0,222375.0,14396.5
0.065,715.0,280175.0,18926.375,1069.0,221875.0,15490.875
0.07,702.0,280550.0,20340.5,1058.0,224525.0,16774.75
0.075,685.0,280575.0,21728.125,1047.0,224500.0,17884.5
0.08,677.0,281375.0,23187.0,1037.0,224025.0,18959.0
0.085,692.0,280500.0,24534.5,1054.0,227200.0,20366.0
0.09,679.0,280750.0,25946.5,1058.0,222725.0,21103.25
0.095,689.0,280950.0,27379.25,1052.0,225525.0,22476.875
0.1,672.0,280875.0,28759.5,1063.0,223700.0,23433.0
0.15,667.0,281150.0,42839.5,1041.0,232775.0,35957.25
0.2,673.0,281575.0,56988.0,1041.0,224975.0,46036.0
0.25,670.0,281600.0,71070.0,1029.0,227500.0,57904.0
0.3,674.0,281375.0,85086.5,1060.0,224575.0,68432.5
0.35,676.0,281250.0,99113.5,1051.0,224650.0,79678.5
0.4,671.0,281325.0,113201.0,1014.0,226800.0,91734.0
0.45,659.0,281775.0,127457.75,1037.0,230400.0,104717.0
0.5,670.0,281425.0,141382.5,1050.0,223400.0,112750.0
0.55,669.0,281550.0,155521.5,1022.0,227550.0,126174.5
0.6,664.0,281075.0,169309.0,1034.0,225200.0,136154.0
0.65,667.0,281450.0,183609.5,1031.0,226350.0,148158.5
0.7,679.0,281300.0,197589.0,1034.0,227550.0,160319.0
0.75,680.0,281225.0,211598.75,1034.0,228300.0,172259.0
0.8,669.0,281625.0,225969.0,1058.0,223950.0,180218.0
0.85,681.0,281350.0,239828.5,1072.0,226350.0,193469.5
0.9,679.0,281225.0,253781.5,1021.0,227625.0,205883.5
0.95,657.0,281775.0,268343.25,1016.0,228375.0,217972.25
1.0,672.0,281550.0,282222.0,1054.0,223475.0,224529.0
10.0,670.0,281425.0,2814920.0,1021.0,227700.0,2278021.0
20.0,679.0,281350.0,5627679.0,1047.0,226525.0,4531547.0
30.0,673.0,281475.0,8444923.0,1067.0,226100.0,6784067.0
40.0,662.0,281750.0,11270662.0,1005.0,227850.0,9115005.0
50.0,675.0,281275.0,14064425.0,1048.0,227775.0,11389798.0
60.0,662.0,281700.0,16902662.0,1030.0,227575.0,13655530.0
70.0,681.0,281425.0,19700431.0,1046.0,225050.0,15754546.0
80.0,670.0,281500.0,22520670.0,1026.0,229775.0,18383026.0
90.0,664.0,281775.0,25360414.0,1084.0,223175.0,20086834.0
100.0,678.0,281450.0,28145678.0,1057.0,225975.0,22598557.0
