id,arch4_connections_lb,arch4_connections_ub,arch4_throughput_lb,arch4_throughput_ub,arch1_connections,arch1_throughput,arch2_connections_lb,arch2_connections_ub,arch2_throughput_lb,arch2_throughput_ub,arch5_connections_lb,arch5_connections_ub,arch5_throughput_lb,arch5_throughput_ub,total_cnk
0,2419.0,2884.0,180650.0,242125.0,300.0,97325.0,3593.0,4025.0,381025.0,484025.0,2012.0,4025.0,239825.0,486000.0,8340.0
1,2336.0,2758.0,191150.0,258925.0,300.0,102950.0,3380.0,3758.0,389425.0,487725.0,1880.0,3761.0,243725.0,488825.0,7515.0
2,2412.0,2889.0,179600.0,241975.0,300.0,107075.0,3594.0,4014.0,380000.0,482675.0,2007.0,4015.0,245050.0,484950.0,8195.0
3,2365.0,2865.0,181000.0,246125.0,300.0,98875.0,3562.0,3953.0,383400.0,482950.0,1977.0,3955.0,240400.0,482650.0,8070.0
4,2403.0,2877.0,184975.0,244375.0,300.0,116400.0,3588.0,4006.0,383600.0,482725.0,2004.0,4008.0,239925.0,483475.0,8221.0
5,2357.0,2811.0,186875.0,252700.0,300.0,114025.0,3454.0,3870.0,384625.0,487500.0,1934.0,3869.0,242775.0,486800.0,7877.0
6,2390.0,2888.0,182425.0,241650.0,300.0,106875.0,3594.0,4021.0,384375.0,481750.0,2011.0,4023.0,243125.0,483850.0,8453.0
7,2340.0,2794.0,188325.0,250475.0,300.0,102350.0,3468.0,3840.0,385350.0,486375.0,1920.0,3840.0,244275.0,486575.0,7637.0
8,2370.0,2856.0,181050.0,245400.0,300.0,114625.0,3552.0,3949.0,385775.0,483200.0,1975.0,3951.0,248525.0,484000.0,8061.0
9,2349.0,2780.0,191850.0,257325.0,300.0,105775.0,3417.0,3776.0,403200.0,489825.0,1888.0,3776.0,239525.0,488125.0,7627.0
10,2337.0,2812.0,186950.0,253325.0,300.0,109625.0,3465.0,3866.0,386975.0,488300.0,1933.0,3866.0,247275.0,488225.0,7756.0
11,2386.0,2844.0,184775.0,248100.0,300.0,105050.0,3510.0,3916.0,380300.0,483400.0,1957.0,3915.0,242150.0,484600.0,7997.0
12,2334.0,2776.0,191175.0,258625.0,300.0,104375.0,3445.0,3801.0,395775.0,487700.0,1901.0,3803.0,241175.0,488825.0,7746.0
13,2353.0,2821.0,183925.0,249100.0,300.0,94975.0,3515.0,3881.0,397450.0,485400.0,1940.0,3881.0,244850.0,484400.0,7879.0
14,2353.0,2819.0,186475.0,251475.0,300.0,99725.0,3495.0,3874.0,388675.0,485875.0,1938.0,3877.0,241025.0,487175.0,7997.0
15,2319.0,2797.0,186800.0,254800.0,300.0,108775.0,3471.0,3849.0,390225.0,488675.0,1924.0,3849.0,243625.0,488200.0,7794.0
16,2387.0,2858.0,186175.0,245550.0,300.0,112050.0,3540.0,3922.0,389025.0,483750.0,1963.0,3926.0,249575.0,485625.0,7706.0
17,2365.0,2838.0,180925.0,249375.0,299.0,97075.0,3502.0,3903.0,387075.0,487275.0,1951.0,3903.0,240925.0,484975.0,7865.0
18,2366.0,2856.0,181575.0,246450.0,300.0,101275.0,3565.0,3952.0,384625.0,483125.0,1976.0,3952.0,238575.0,483250.0,7982.0
19,2382.0,2849.0,188525.0,249175.0,300.0,111825.0,3559.0,3932.0,392375.0,486250.0,1965.0,3930.0,243150.0,485775.0,8096.0
