src,dst,spec,used_slot,tfk_slot
0,8,66.0,2,1.0
0,9,36.0,5,4.0
0,13,49.0,5,4.0
0,17,9.0,2,1.0
0,28,54.0,6,5.0
0,39,34.0,2,1.0
0,41,30.0,3,2.0
0,42,77.0,4,3.0
0,47,72.0,5,4.0
0,49,41.0,2,1.0
0,55,20.0,6,5.0
0,64,63.0,3,2.0
0,80,68.0,4,3.0
1,8,16.0,3,2.0
1,13,70.0,4,3.0
1,19,19.0,4,3.0
1,34,23.0,2,1.0
1,52,33.0,2,1.0
1,65,2.0,2,1.0
1,78,51.0,5,4.0
1,91,25.0,3,2.0
1,98,44.0,5,4.0
2,10,43.0,3,2.0
2,55,26.0,2,1.0
2,56,3.0,6,5.0
3,17,46.0,5,4.0
3,20,19.0,4,3.0
3,21,71.0,7,6.0
3,30,23.0,5,4.0
3,48,51.0,6,5.0
3,55,37.0,7,6.0
4,2,54.0,5,4.0
4,7,62.0,2,1.0
4,14,46.0,5,4.0
4,19,2.0,5,4.0
4,24,13.0,4,3.0
4,25,76.0,5,4.0
4,37,0.0,2,1.0
4,49,67.0,6,5.0
4,56,22.0,6,5.0
4,73,28.0,2,1.0
4,83,41.0,4,3.0
4,94,7.0,2,1.0
4,96,60.0,2,1.0
5,88,11.0,2,1.0
5,99,37.0,2,1.0
6,2,48.0,4,3.0
6,15,27.0,3,2.0
6,24,20.0,2,1.0
6,34,0.0,2,1.0
6,38,3.0,2,1.0
6,40,39.0,4,3.0
6,41,56.0,2,1.0
6,45,58.0,2,1.0
6,52,60.0,6,5.0
6,60,33.0,6,5.0
6,62,5.0,4,3.0
6,68,30.0,3,2.0
6,78,67.0,6,5.0
7,50,29.0,5,4.0
7,54,11.0,6,5.0
7,64,2.0,2,1.0
7,71,53.0,2,1.0
7,72,23.0,5,4.0
7,73,4.0,2,1.0
7,75,75.0,6,5.0
7,77,46.0,6,5.0
7,83,0.0,2,1.0
7,84,66.0,5,4.0
7,91,71.0,4,3.0
8,17,2.0,4,3.0
9,3,44.0,2,1.0
9,8,19.0,5,4.0
9,16,16.0,3,2.0
9,20,41.0,3,2.0
9,25,32.0,4,3.0
9,26,65.0,9,8.0
9,36,11.0,5,4.0
9,44,28.0,2,1.0
9,52,74.0,2,1.0
9,75,55.0,2,1.0
9,78,46.0,2,1.0
9,80,0.0,4,3.0
9,91,3.99999999999,4,3.0
10,3,2.0,2,1.0
10,19,11.0,3,2.0
10,20,30.0,2,1.0
10,26,0.0,2,1.0
10,33,56.0,2,1.0
10,34,7.0,2,1.0
10,39,20.0,2,1.0
10,46,4.0,3,2.0
10,58,16.0,4,3.0
10,60,39.0,4,3.0
10,61,63.0,6,5.0
10,62,59.0,4,3.0
10,79,46.0,3,2.0
10,82,25.0,5,4.0
10,84,32.0,5,4.0
10,92,22.0,2,1.0
11,7,59.0,3,2.0
11,25,18.0,2,1.0
11,39,79.0,2,1.0
12,2,16.0,4,3.0
12,3,57.0,2,1.0
12,8,73.0,6,5.0
12,17,0.0,2,1.0
12,20,79.0,2,1.0
12,31,51.0,4,3.0
12,38,23.0,7,6.0
12,39,41.0,2,1.0
12,52,4.0,4,3.0
12,70,8.0,2,1.0
12,90,43.0,7,6.0
12,95,63.0,8,7.0
12,96,71.0,2,1.0
12,97,33.0,4,3.0
13,8,79.0,2,1.0
13,25,13.0,2,1.0
13,27,44.0,3,2.0
13,51,24.0,2,1.0
13,55,74.0,3,2.0
13,57,11.0,2,1.0
13,67,30.0,2,1.0
13,70,20.0,4,3.0
13,85,61.0,5,4.0
13,90,32.0,6,5.0
13,95,0.0,7,6.0
14,5,76.0,5,4.0
14,17,6.0,2,1.0
14,18,4.0,2,1.0
14,24,17.0,3,2.0
14,92,44.0,2,1.0
14,93,71.0,5,4.0
14,99,9.0,5,4.0
15,9,7.99999999999,3,2.0
15,14,30.0,2,1.0
15,18,0.0,2,1.0
15,26,51.0,4,3.0
15,30,34.0,9,8.0
15,50,44.0,2,1.0
15,61,46.0,5,4.0
15,80,24.0,2,1.0
16,82,30.0,2,1.0
16,89,59.0,6,5.0
17,98,24.0,5,4.0
18,3,28.0,2,1.0
18,11,6.0,3,2.0
18,17,14.0,4,3.0
18,37,2.0,2,1.0
18,78,48.0,3,2.0
18,79,54.0,12,11.0
18,81,18.0,2,1.0
18,84,22.0,4,3.0
19,10,9.0,2,1.0
19,15,70.0,3,2.0
19,44,44.0,6,5.0
19,63,75.0,6,5.0
19,65,23.0,7,6.0
19,81,30.0,7,6.0
20,1,35.0,6,5.0
20,16,44.0,2,1.0
20,19,17.0,2,1.0
20,22,12.0,3,2.0
20,51,60.0,2,1.0
20,56,0.0,3,2.0
20,70,52.0,5,4.0
20,72,4.0,4,3.0
20,74,46.0,6,5.0
20,79,10.0,2,1.0
20,80,62.0,6,5.0
20,82,8.0,2,1.0
21,16,65.0,6,5.0
21,28,48.0,5,4.0
21,53,4.0,2,1.0
21,64,26.0,5,4.0
21,72,18.0,5,4.0
21,77,10.0,6,5.0
21,86,57.0,5,4.0
21,87,78.0,3,2.0
22,20,23.0,7,6.0
22,30,63.0,10,9.0
22,56,57.0,6,5.0
23,15,13.0,2,1.0
