src,dst,spec,used_slot,tfk_slot
18,79,0,12,12
30,43,0,11,11
85,98,0,10,10
78,68,0,10,10
69,33,0,10,10
14,62,0,10,10
94,95,0,9,9
92,37,0,9,9
76,25,0,9,9
59,56,0,9,9
51,84,0,9,9
41,45,0,9,9
40,44,0,9,9
34,2,0,9,9
29,31,0,9,9
24,61,0,9,9
12,67,0,9,9
6,47,0,9,9
99,83,0,8,8
89,54,0,8,8
87,32,0,8,8
75,23,0,8,8
66,65,0,8,8
57,22,0,8,8
53,10,0,8,8
49,90,0,8,8
48,60,0,8,8
35,15,0,8,8
27,81,0,8,8
96,97,0,7,7
72,80,0,7,7
70,1,0,7,7
64,77,0,7,7
63,93,0,7,7
46,82,0,7,7
36,52,0,7,7
26,71,0,7,7
13,5,0,7,7
3,55,0,7,7
21,16,0,6,6
20,74,0,6,6
0,28,0,6,6
88,7,0,5,5
86,8,0,5,5
4,19,0,5,5
58,50,0,4,4
38,39,0,4,4
9,91,0,4,4
65,70,8,11,11
84,44,9,10,10
57,28,8,10,10
3,59,9,10,10
76,71,9,9,9
58,8,5,9,9
41,18,12,9,9
33,16,10,9,9
19,43,11,9,9
9,26,7,9,9
99,91,8,8,8
88,39,5,8,8
85,49,10,8,8
68,54,10,8,8
60,69,10,8,8
50,78,10,8,8
48,1,8,8,8
34,5,9,8,8
32,7,8,8,8
12,95,9,8,8
6,37,9,8,8
94,89,9,7,7
92,2,9,7,7
81,62,10,7,7
79,55,12,7,7
74,61,9,7,7
73,30,11,7,7
67,10,9,7,7
64,36,7,7,7
53,63,8,7,7
51,97,9,7,7
47,17,9,7,7
23,42,8,7,7
4,29,9,7,7
0,83,8,7,7
96,75,8,6,6
87,11,8,6,6
86,27,8,6,6
77,14,10,6,6
22,56,9,6,6
20,80,7,6,6
13,90,8,6,6
98,35,10,5,5
38,40,9,5,5
21,72,7,5,5
82,45,9,4,4
31,46,9,3,3
93,24,9,2,2
66,52,8,2,2
93,74,16,10,10
22,30,18,10,10
65,33,19,9,9
38,18,21,9,9
7,94,16,9,9
86,5,17,8,8
53,80,15,8,8
48,39,16,8,8
41,85,21,8,8
24,14,16,8,8
96,73,18,7,7
88,56,15,7,7
81,37,17,7,7
79,84,19,7,7
72,83,15,7,7
70,49,19,7,7
66,8,14,7,7
58,45,14,7,7
