src,dst,spec,used_slot,tfk_slot
0,22,77.0,3,2.0
0,28,18.0,2,1.0
0,50,59.0,3,2.0
0,65,16.0,2,1.0
0,67,66.0,7,6.0
0,72,21.0,4,3.0
0,92,6.0,4,3.0
1,6,17.0,4,3.0
1,15,0.0,2,1.0
1,17,45.0,7,6.0
1,72,9.00000000002,2,1.0
1,82,13.0,2,1.0
1,85,2.0,3,2.0
1,91,64.0,7,6.0
2,1,6.0,2,1.0
2,14,66.0,3,2.0
2,35,17.0,3,2.0
2,37,55.0,4,3.0
2,43,38.0,3,2.0
2,49,2.0,4,3.0
2,58,50.0,4,3.0
2,75,25.0,4,3.0
2,82,46.0,3,2.0
2,84,76.0,4,3.0
2,90,0.0,2,1.0
2,91,31.0,7,6.0
2,92,20.0,2,1.0
3,9,13.0,4,3.0
3,13,69.0,2,1.0
3,22,54.0,4,3.0
3,32,28.0,2,1.0
3,33,7.0,2,1.0
3,46,21.0,3,2.0
3,59,24.0,4,3.0
3,64,78.0,2,1.0
3,71,65.0,4,3.0
3,73,31.0,4,3.0
3,99,0.0,2,1.0
4,6,47.0,7,6.0
4,20,56.0,4,3.0
4,21,16.0,3,2.0
4,23,23.0,3,2.0
4,33,30.0,7,6.0
4,40,45.0,2,1.0
4,42,8.99999999999,7,6.0
4,44,54.0,2,1.0
4,59,64.0,2,1.0
4,60,60.0,3,2.0
4,62,26.0,4,3.0
4,91,78.0,2,1.0
4,96,41.0,2,1.0
5,28,36.0,7,6.0
5,36,18.0,4,3.0
5,47,0.0,3,2.0
5,48,47.0,4,3.0
5,50,52.0,7,6.0
5,68,63.0,7,6.0
5,85,6.99999999999,2,1.0
6,12,57.0,7,6.0
6,95,13.0,4,3.0
7,23,31.0,7,6.0
7,27,23.0,2,1.0
7,29,44.0,4,3.0
7,31,53.0,4,3.0
7,39,17.0,4,3.0
7,51,58.0,4,3.0
8,26,18.0,4,3.0
8,44,23.0,4,3.0
9,2,69.0,7,6.0
9,18,0.0,2,1.0
9,29,26.0,2,1.0
9,33,28.0,2,1.0
9,35,31.0,2,1.0
9,51,22.0,4,3.0
9,52,2.0,2,1.0
9,73,44.0,7,6.0
10,1,26.0,3,2.0
10,3,5.0,2,1.0
10,15,69.0,7,6.0
10,18,15.0,4,3.0
10,20,3.0,2,1.0
10,29,24.0,2,1.0
10,43,34.0,4,3.0
10,46,30.0,3,2.0
10,75,49.0,2,1.0
10,76,65.0,3,2.0
10,91,7.99999999997,7,6.0
11,0,26.0,2,1.0
11,14,6.00000000003,2,1.0
11,67,45.0,7,6.0
11,80,23.0,3,2.0
11,81,31.0,7,6.0
11,85,56.0,7,6.0
12,10,0.0,3,2.0
12,34,42.0,4,3.0
12,40,32.0,4,3.0
12,51,16.0,2,1.0
12,57,8.0,3,2.0
12,58,26.0,3,2.0
12,61,73.0,7,6.0
12,65,3.0,2,1.0
12,74,47.0,2,1.0
12,76,21.0,3,2.0
12,81,29.0,2,1.0
12,88,39.0,3,2.0
12,97,5.0,3,2.0
13,11,2.0,2,1.0
13,17,25.0,7,6.0
13,24,52.0,2,1.0
13,26,78.0,2,1.0
13,46,49.0,3,2.0
13,81,40.0,7,6.0
13,82,32.0,4,3.0
13,91,71.0,7,6.0
14,28,53.0,7,6.0
14,41,69.0,2,1.0
14,70,51.0,2,1.0
14,78,60.0,2,1.0
14,86,11.0,2,1.0
15,21,57.0,2,1.0
15,50,62.0,7,6.0
15,71,4.0,2,1.0
15,78,6.0,3,2.0
15,93,44.0,2,1.0
16,0,4.0,2,1.0
16,7,38.0,3,2.0
16,9,57.0,7,6.0
16,33,19.0,4,3.0
16,36,78.0,2,1.0
16,62,32.0,4,3.0
16,74,71.0,7,6.0
16,88,23.0,4,3.0
17,48,52.0,2,1.0
17,67,0.0,2,1.0
18,11,73.0,7,6.0
18,14,22.0,2,1.0
18,22,48.0,4,3.0
18,43,65.0,4,3.0
18,51,39.0,3,2.0
18,57,19.0,3,2.0
18,58,61.0,4,3.0
18,61,27.0,3,2.0
18,64,69.0,4,3.0
18,66,35.0,4,3.0
18,74,33.0,2,1.0
18,76,3.0,4,3.0
18,97,11.0,4,3.0
19,3,35.0,4,3.0
19,7,76.0,4,3.0
19,41,61.0,4,3.0
19,45,11.0,4,3.0
19,51,65.0,4,3.0
19,62,21.0,2,1.0
19,67,26.0,3,2.0
19,76,54.0,7,6.0
19,78,2.0,4,3.0
19,84,29.0,2,1.0
19,91,15.0,2,1.0
20,0,62.0,4,3.0
20,8,66.0,7,6.0
20,34,18.0,3,2.0
20,44,36.0,3,2.0
20,67,29.0,2,1.0
21,1,21.0,3,2.0
21,2,29.0,2,1.0
21,34,8.0,4,3.0
21,51,47.0,2,1.0
21,56,63.0,4,3.0
21,58,12.0,4,3.0
21,83,73.0,3,2.0
21,85,19.0,2,1.0
21,95,41.0,2,1.0
21,98,49.0,4,3.0
22,74,12.0,4,3.0
22,80,60.0,4,3.0
23,2,12.0,2,1.0
23,8,48.0,7,6.0
23,25,73.0,4,3.0
23,41,55.0,4,3.0
23,43,41.0,4,3.0
23,93,2.0,4,3.0
24,27,0.0,4,3.0
25,10,44.0,2,1.0
25,23,59.0,2,1.0
25,24,46.0,2,1.0
25,26,69.0,4,3.0
25,27,39.0,3,2.0
25,45,29.0,2,1.0
25,49,33.0,2,1.0
25,51,42.0,2,1.0
25,55,62.0,7,6.0
25,78,9.0,3,2.0
25,92,36.0,3,2.0
25,98,31.0,2,1.0
26,0,36.0,3,2.0
26,1,33.0,3,2.0
26,5,26.0,3,2.0
26,11,15.0,3,2.0
26,15,31.0,2,1.0
26,27,58.0,4,3.0
26,53,49.0,4,3.0
26,56,9.99999999999,4,3.0
26,66,0.0,4,3.0
26,96,22.0,4,3.0
27,1,54.0,3,2.0
27,5,29.0,7,6.0
27,8,6.0,4,3.0
27,11,12.0,2,1.0
27,21,76.0,4,3.0
27,44,64.0,4,3.0
27,53,18.0,3,2.0
27,64,50.0,4,3.0
27,85,14.0,4,3.0
27,93,46.0,3,2.0
27,96,69.0,4,3.0
28,2,43.0,3,2.0
28,78,69.0,4,3.0
29,1,36.0,2,1.0
29,25,52.0,7,6.0
29,31,72.0,4,3.0
29,81,48.0,3,2.0
29,92,29.0,7,6.0
29,96,0.0,7,6.0
29,98,22.0,2,1.0
30,10,52.0,4,3.0
30,23,61.0,4,3.0
30,27,25.0,2,1.0
30,28,7.0,3,2.0
30,35,14.0,3,2.0
30,47,21.0,3,2.0
30,49,12.0,2,1.0
30,52,28.0,2,1.0
30,70,69.0,3,2.0
30,73,40.0,4,3.0
30,77,44.0,4,3.0
30,78,48.0,4,3.0
30,80,73.0,4,3.0
30,86,17.0,4,3.0
30,94,65.0,4,3.0
30,99,2.0,3,2.0
31,3,9.0,4,3.0
31,12,69.0,3,2.0
31,17,13.0,3,2.0
31,24,61.0,7,6.0
31,42,6.99999999999,2,1.0
31,45,31.0,2,1.0
31,48,27.0,2,1.0
31,51,44.0,2,1.0
31,56,40.0,4,3.0
31,61,36.0,4,3.0
31,63,16.0,2,1.0
31,64,33.0,3,2.0
31,88,57.0,2,1.0
31,91,0.0,4,3.0
31,92,49.0,4,3.0
31,93,21.0,4,3.0
31,99,18.0,3,2.0
32,1,15.0,2,1.0
32,9,64.0,4,3.0
32,13,36.0,4,3.0
32,17,17.0,4,3.0
32,33,47.0,2,1.0
32,34,21.0,3,2.0
32,39,56.0,4,3.0
32,45,43.0,3,2.0
32,52,30.0,3,2.0
32,66,7.0,2,1.0
32,67,11.0,4,3.0
32,68,5.0,2,1.0
32,77,25.0,2,1.0
32,78,33.0,2,1.0
32,81,73.0,7,6.0
32,83,1.99999999999,3,2.0
33,22,2.0,4,3.0
33,26,62.0,7,6.0
33,57,25.0,3,2.0
33,88,76.0,4,3.0
34,15,49.0,7,6.0
34,21,39.0,2,1.0
34,40,71.0,2,1.0
34,44,27.0,3,2.0
34,56,56.0,7,6.0
34,92,0.0,2,1.0
34,93,32.0,7,6.0
34,98,78.0,2,1.0
35,4,2.0,2,1.0
35,32,49.0,7,6.0
35,63,0.0,2,1.0
35,98,57.0,4,3.0
36,22,70.0,7,6.0
36,30,37.0,3,2.0
36,33,44.0,2,1.0
36,57,12.0,2,1.0
36,64,3.99999999999,4,3.0
36,77,30.0,7,6.0
36,82,26.0,4,3.0
36,85,63.0,7,6.0
36,86,49.0,7,6.0
36,91,59.0,4,3.0
36,97,8.99999999997,2,1.0
37,11,28.0,3,2.0
37,19,0.0,2,1.0
37,20,7.00000000003,2,1.0
37,21,24.0,4,3.0
37,38,16.0,4,3.0
