src,dst,spec,core_src,core_dst,#core,used_slot,tfk_slot
0,8,31.0,1,2,1,2,1.0
0,9,46.0,1,0,1,13,12.0
0,10,55.0,2,2,1,17,16.0
0,13,14.0,1,2,1,13,12.0
0,17,59.0,0,1,2,2,1.0
0,28,33.0,0,1,2,9,15.0
0,39,69.0,1,2,1,3,2.0
0,41,6.0,2,2,1,7,6.0
0,47,72.0,1,1,2,6,10.0
0,49,29.0,1,0,1,2,1.0
0,53,30.0,2,2,1,18,17.0
0,55,0.0,0,0,3,6,15.0
0,59,14.0,0,2,1,17,16.0
0,64,48.0,2,2,1,5,4.0
0,66,47.0,0,0,1,12,11.0
0,80,14.0,2,2,1,9,8.0
0,83,61.0,0,1,1,19,18.0
1,8,55.0,1,1,2,4,6.0
1,13,41.0,0,1,1,8,7.0
1,19,71.0,2,1,1,9,8.0
1,34,42.0,2,1,1,2,1.0
1,52,60.0,0,2,1,2,1.0
1,65,78.0,1,2,1,2,1.0
1,78,60.0,2,2,1,11,10.0
1,91,11.0,0,2,1,5,4.0
1,98,49.0,0,1,1,11,10.0
2,10,73.0,0,0,1,7,6.0
2,55,10.0,1,1,2,2,1.0
2,56,54.0,1,0,2,8,13.0
3,17,61.0,2,2,1,12,11.0
3,20,39.0,0,2,1,9,8.0
3,21,42.0,2,2,1,18,17.0
3,30,73.0,0,1,2,7,12.0
3,48,0.0,0,2,1,14,13.0
3,55,22.0,0,1,1,17,16.0
3,66,60.0,1,2,1,8,7.0
3,82,50.0,1,1,1,10,9.0
4,2,36.0,1,0,2,6,10.0
4,7,78.0,0,1,1,2,1.0
4,14,71.0,1,1,2,7,11.0
4,19,5.0,2,2,1,13,12.0
4,24,23.0,0,2,1,9,8.0
4,25,18.0,2,2,1,13,12.0
4,29,36.0,0,2,1,19,18.0
4,37,78.0,2,2,1,2,1.0
4,49,0.0,0,2,1,16,15.0
4,56,56.0,2,2,1,15,14.0
4,73,31.0,1,1,2,2,1.0
4,83,0.0,1,1,2,5,8.0
4,94,78.0,1,1,1,2,1.0
4,96,61.0,0,0,1,2,1.0
5,88,78.0,0,1,1,2,1.0
5,99,78.0,2,0,1,2,1.0
6,0,6.0,1,1,1,8,7.0
6,2,14.0,1,0,1,9,8.0
6,15,5.0,0,1,1,7,6.0
6,24,36.0,2,1,1,2,1.0
6,34,35.0,1,0,1,2,1.0
6,37,46.0,2,0,1,20,19.0
6,38,78.0,0,1,1,2,1.0
6,40,23.0,1,1,1,9,8.0
6,41,38.0,2,1,1,4,3.0
6,45,0.0,0,1,1,2,1.0
6,47,37.0,1,2,1,24,23.0
6,50,65.0,0,0,1,8,7.0
6,52,0.0,2,1,1,16,15.0
6,60,13.0,0,1,1,15,14.0
6,62,66.0,2,0,1,10,9.0
6,68,73.0,0,2,1,5,4.0
7,50,6.99999999999,2,1,1,12,11.0
7,54,19.0,1,2,1,16,15.0
