2
Energy: 4678/8340
source POD, destination POD, #cores, #slots, successful,
1,17,1,2,1,
1,68,1,2,1,
1,72,1,2,1,
89,148,1,2,1,
1,81,1,2,1,
1,83,1,2,1,
1,116,1,2,1,
1,143,1,2,1,
2,42,1,2,1,
2,116,1,2,1,
2,123,1,2,1,
2,186,1,2,1,
3,1,1,2,1,
3,12,1,2,1,
3,17,1,2,1,
3,26,1,2,1,
3,59,1,2,1,
3,88,1,2,1,
3,124,1,2,1,
3,143,1,2,1,
3,149,1,2,1,
4,76,1,2,1,
4,77,1,2,1,
4,83,1,2,1,
4,142,1,2,1,
4,143,1,2,1,
4,154,1,2,1,
4,157,1,2,1,
4,161,1,2,1,
102,184,1,2,1,
5,52,1,2,1,
5,60,1,2,1,
5,64,1,2,1,
5,109,1,2,1,
5,114,1,2,1,
5,120,1,2,1,
5,154,1,2,1,
5,175,1,2,1,
5,191,1,2,1,
6,9,1,2,1,
6,194,1,2,1,
7,19,1,2,1,
7,28,1,2,1,
7,29,1,2,1,
7,64,1,2,1,
7,72,1,2,1,
7,74,1,2,1,
7,92,1,2,1,
7,107,1,2,1,
7,138,1,2,1,
7,144,1,2,1,
7,170,1,2,1,
67,117,1,2,1,
8,77,1,2,1,
8,118,1,2,1,
8,129,1,2,1,
24,12,1,2,1,
8,174,1,2,1,
8,184,1,2,1,
9,22,1,2,1,
9,80,1,2,1,
9,188,1,2,1,
111,2,1,2,1,
10,25,1,2,1,
10,63,1,2,1,
10,108,1,2,1,
15,73,1,2,1,
10,185,1,2,1,
11,19,1,2,1,
86,197,1,2,1,
11,71,1,2,1,
11,79,1,2,1,
11,86,1,2,1,
11,95,1,2,1,
11,112,1,2,1,
11,154,1,2,1,
11,158,1,2,1,
11,166,1,2,1,
11,184,1,2,1,
11,193,1,2,1,
12,88,1,2,1,
12,105,1,2,1,
12,123,1,2,1,
12,127,1,2,1,
12,165,1,2,1,
12,173,1,2,1,
13,8,1,2,1,
13,86,1,2,1,
13,138,1,2,1,
13,155,1,2,1,
13,160,1,2,1,
13,165,1,2,1,
13,184,1,2,1,
13,191,1,2,1,
14,36,1,2,1,
14,53,1,2,1,
14,80,1,2,1,
14,159,1,2,1,
14,164,1,2,1,
15,64,1,2,1,
10,158,1,2,1,
15,94,1,2,1,
15,103,1,2,1,
15,149,1,2,1,
16,0,1,2,1,
16,14,1,2,1,
16,15,1,2,1,
16,41,1,2,1,
16,58,1,2,1,
16,63,1,2,1,
16,74,1,2,1,
16,95,1,2,1,
16,147,1,2,1,
16,191,1,2,1,
17,18,1,2,1,
17,23,1,2,1,
17,41,1,2,1,
17,45,1,2,1,
17,49,1,2,1,
17,54,1,2,1,
17,64,1,2,1,
17,74,1,2,1,
17,99,1,2,1,
17,116,1,2,1,
17,144,1,2,1,
17,151,1,2,1,
17,170,1,2,1,
17,171,1,2,1,
17,173,1,2,1,
17,188,1,2,1,
17,194,1,2,1,
18,5,1,2,1,
18,19,1,2,1,
18,37,1,2,1,
18,65,1,2,1,
18,69,1,2,1,
18,75,1,2,1,
18,76,1,2,1,
18,105,1,2,1,
18,138,1,2,1,
18,150,1,2,1,
18,151,1,2,1,
18,155,1,2,1,
18,158,1,2,1,
18,167,1,2,1,
19,9,1,2,1,
39,132,1,2,1,
19,44,1,2,1,
19,87,1,2,1,
19,97,1,2,1,
19,111,1,2,1,
19,118,1,2,1,
19,144,1,2,1,
19,156,1,2,1,
19,160,1,2,1,
19,173,1,2,1,
19,193,1,2,1,
20,25,1,2,1,
20,42,1,2,1,
20,45,1,2,1,
20,51,1,2,1,
20,53,1,2,1,
20,63,1,2,1,
20,77,1,2,1,
20,93,1,2,1,
20,117,1,2,1,
20,127,1,2,1,
20,130,1,2,1,
20,138,1,2,1,
20,140,1,2,1,
21,17,1,2,1,
21,52,1,2,1,
21,62,1,2,1,
21,67,1,2,1,
21,81,1,2,1,
21,116,1,2,1,
21,141,1,2,1,
21,151,1,2,1,
198,37,1,2,1,
22,60,1,2,1,
22,61,1,2,1,
22,73,1,2,1,
22,82,1,2,1,
22,150,1,2,1,
22,169,1,2,1,
23,74,1,2,1,
23,129,1,2,1,
23,130,1,2,1,
23,132,1,2,1,
23,161,1,2,1,
23,177,1,2,1,
24,2,1,2,1,
24,5,1,2,1,
124,140,1,2,1,
24,32,1,2,1,
115,64,1,2,1,
