arch1_lb,Arch2_bench1,Arch2_bench2,Arch2_sa,arch2_lb,Arch4_bench1,Arch4_bench2,Arch4_sa,arch4_lb,Arch5_bench1,Arch5_bench2,Arch5_sa,arch5_lb,total_cnk
150,610,947,1150,1128,342,408,754,873,610,949,1166,1233,1812
150,623,968,1217,1200,356,419,780,921,624,968,1218,1296,1906
150,620,982,1211,1188,352,406,780,914,622,983,1205,1291,1848
150,602,960,1192,1168,341,413,773,912,604,963,1202,1256,1836
150,635,975,1233,1206,358,422,796,926,636,975,1244,1304,1954
150,612,970,1252,1221,332,410,788,925,612,970,1254,1319,2047
150,611,950,1222,1193,341,422,779,906,611,950,1216,1281,1977
150,613,966,1172,1158,351,415,768,886,615,967,1178,1245,1843
150,642,982,1254,1221,356,435,788,927,643,983,1257,1330,2072
150,603,927,1131,1119,344,414,746,873,603,928,1146,1204,1756
150,619,990,1234,1212,347,423,800,927,619,990,1229,1297,1926
150,630,961,1218,1197,366,434,796,922,631,961,1213,1286,1951
150,618,978,1239,1218,343,420,787,912,619,979,1235,1300,1968
150,612,980,1283,1252,341,411,810,934,613,980,1293,1354,2073
150,632,1008,1256,1239,358,423,811,915,635,1008,1266,1334,2041
150,629,957,1171,1144,342,418,771,895,629,957,1168,1227,1748
150,613,958,1240,1211,348,414,791,913,613,959,1249,1301,1903
150,616,978,1212,1180,357,428,777,912,618,978,1208,1278,1878
150,600,946,1205,1180,341,415,780,915,601,946,1200,1262,1899
150,615,997,1269,1238,333,414,813,933,616,997,1270,1342,2084
150,617.75,969,1218.05,1193.65,347.45,418.2,784.4,912.05,618.7,969.55,1220.85,1287,1926.1
