Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,
1219,2093,3714,641,821,1948,1220,2093,3662,
1200,2038,3506,623,810,1882,1201,2039,3480,
1237,2119,3718,646,817,1948,1237,2119,3682,
1208,2081,3660,637,813,1932,1209,2081,3633,
1213,2062,3722,632,817,1939,1213,2062,3706,
1207,2061,3559,652,823,1906,1207,2061,3582,
1213,2081,3726,638,819,1951,1215,2081,3645,
1224,2046,3582,645,821,1892,1226,2046,3525,
1201,2051,3621,621,802,1934,1203,2051,3643,
1217,2092,3504,638,818,1895,1218,2092,3466,
1217,2069,3597,641,811,1912,1217,2069,3582,
1202,2042,3626,631,805,1930,1203,2042,3611,
1207,2067,3498,639,819,1887,1209,2067,3511,
1193,2031,3576,619,802,1902,1194,2031,3584,
1210,2041,3596,642,813,1892,1210,2041,3546,
1213,2074,3585,626,810,1885,1213,2074,3540,
1225,2087,3631,644,814,1924,1227,2087,3582,
1212,2085,3557,631,808,1920,1213,2085,3598,
1203,2057,3629,636,819,1923,1203,2057,3620,
1198,2054,3646,629,809,1918,1200,2054,3604,
