src,dst,spec,slots_used,core_src,core_dst,tfk_slot
99,89,0,41,0,0,1000.0
99,43,0,41,1,0,1000.0
99,20,0,41,2,0,1000.0
98,81,0,41,0,0,1000.0
98,72,0,41,1,0,1000.0
97,30,0,41,0,0,1000.0
96,88,0,41,0,0,1000.0
96,74,0,41,1,0,1000.0
96,69,0,41,2,0,1000.0
94,73,0,41,0,0,1000.0
93,59,0,41,0,0,1000.0
91,64,0,41,0,0,1000.0
91,48,0,41,1,0,1000.0
91,39,0,41,2,0,1000.0
90,79,0,41,0,0,1000.0
90,77,0,41,1,0,1000.0
90,52,0,41,2,0,1000.0
89,70,0,41,1,0,1000.0
89,16,0,41,2,0,1000.0
88,81,0,41,1,1,1000.0
88,76,0,41,2,0,1000.0
87,83,0,41,0,0,1000.0
86,30,0,41,0,1,1000.0
86,22,0,41,1,0,1000.0
85,66,0,41,0,0,1000.0
84,86,0,41,0,2,1000.0
84,38,0,41,1,0,1000.0
83,4,0,41,1,0,1000.0
81,67,0,41,2,0,1000.0
80,5,0,41,0,0,1000.0
79,64,0,41,1,1,1000.0
79,54,0,41,2,0,1000.0
78,51,0,41,0,0,1000.0
78,44,0,41,1,0,1000.0
77,26,0,41,1,0,1000.0
76,70,0,41,1,1,1000.0
76,16,0,41,2,1,1000.0
75,40,0,41,0,0,1000.0
74,40,0,41,1,1,1000.0
73,22,0,41,1,1,1000.0
72,71,0,41,1,0,1000.0
72,35,0,41,2,0,1000.0
71,65,0,41,1,0,1000.0
71,15,0,41,2,0,1000.0
70,63,0,41,2,0,1000.0
68,84,0,41,0,2,1000.0
68,59,0,41,1,1,1000.0
67,74,0,41,1,2,1000.0
67,66,0,41,2,1,1000.0
66,35,0,41,2,1,1000.0
65,9,0,41,1,0,1000.0
64,55,0,41,2,0,1000.0
62,78,0,41,0,2,1000.0
62,55,0,41,1,1,1000.0
62,53,0,41,2,0,1000.0
61,94,0,41,0,1,1000.0
61,60,0,41,1,0,1000.0
61,48,0,41,2,1,1000.0
59,54,0,41,2,1,1000.0
58,75,0,41,0,1,1000.0
58,12,0,41,1,0,1000.0
55,63,0,41,2,1,1000.0
54,95,0,41,2,0,1000.0
53,85,0,41,1,1,1000.0
53,28,0,41,2,0,1000.0
51,24,0,41,1,0,1000.0
49,34,0,41,0,0,1000.0
47,87,0,41,0,1,1000.0
47,43,0,41,1,1,1000.0
46,85,0,41,0,2,1000.0
46,49,0,41,1,1,1000.0
46,1,0,41,2,0,1000.0
45,95,0,41,0,1,1000.0
44,48,0,41,1,2,1000.0
44,15,0,41,2,1,1000.0
43,42,0,41,2,0,1000.0
42,25,0,41,1,0,1000.0
42,21,0,41,2,0,1000.0
40,68,0,41,2,2,1000.0
39,98,0,41,1,2,1000.0
39,56,0,41,2,0,1000.0
36,95,0,41,0,2,1000.0
36,16,0,41,1,2,1000.0
35,83,0,41,2,2,1000.0
33,24,0,41,0,1,1000.0
31,51,0,41,0,2,1000.0
31,21,0,41,1,1,1000.0
31,12,0,41,2,1,1000.0
28,92,0,41,1,0,1000.0
28,17,0,41,2,0,1000.0
27,13,0,41,0,0,1000.0
25,6,0,41,1,0,1000.0
23,19,0,41,0,0,1000.0
21,93,0,41,2,1,1000.0
18,24,0,41,0,2,1000.0
17,63,0,41,1,2,1000.0
14,29,0,41,0,0,1000.0
14,5,0,41,1,1,1000.0
12,97,0,41,2,1,1000.0
11,29,0,41,0,1,1000.0
10,82,0,41,0,0,1000.0
10,22,0,41,1,2,1000.0
8,94,0,41,0,2,1000.0
8,87,0,41,1,2,1000.0
8,27,0,41,2,1,1000.0
4,41,0,41,1,0,1000.0
2,82,0,41,0,1,1000.0
2,41,0,41,1,1,1000.0
2,38,0,41,2,1,1000.0
1,45,0,41,1,1,1000.0
1,30,0,41,2,2,1000.0
0,13,0,41,0,1,1000.0
99,95,41,17,0,0,400.0
99,53,58,17,0,0,400.0
99,52,41,17,1,0,400.0
99,34,58,17,1,0,400.0
99,31,41,17,2,0,400.0
99,23,58,17,2,0,400.0
98,91,41,17,0,0,400.0
98,51,58,17,0,0,400.0
98,35,41,17,1,0,400.0
98,24,58,17,1,0,400.0
98,22,41,17,2,0,400.0
98,17,58,17,2,0,400.0
97,11,41,17,0,0,400.0
96,80,41,17,0,0,400.0
96,46,58,17,0,0,400.0
96,32,41,17,1,0,400.0
96,28,58,17,1,0,400.0
95,38,58,17,0,0,400.0
94,90,41,17,0,0,400.0
94,81,58,17,0,0,400.0
94,72,41,17,1,0,400.0
94,58,58,17,1,0,400.0
94,51,41,17,2,0,400.0
94,48,58,17,2,0,400.0
93,74,41,17,0,0,400.0
93,52,58,17,0,0,400.0
93,49,41,17,1,0,400.0
93,43,58,17,1,0,400.0
93,30,41,17,2,0,400.0
93,17,58,17,2,1,400.0
92,96,41,17,0,2,400.0
92,75,58,17,0,0,400.0
92,58,41,17,1,0,400.0
92,55,58,17,1,0,400.0
92,16,41,17,2,0,400.0
91,86,58,17,0,0,400.0
91,84,41,17,1,0,400.0
91,83,58,17,1,0,400.0
91,76,41,17,2,0,400.0
91,62,58,17,2,0,400.0
90,82,58,17,0,0,400.0
90,56,41,17,1,0,400.0
90,47,58,17,1,0,400.0
90,24,41,17,2,0,400.0
90,21,58,17,2,0,400.0
89,51,41,17,0,1,400.0
89,47,58,17,0,1,400.0
89,25,41,17,1,0,400.0
89,10,58,17,1,0,400.0
88,89,41,17,0,2,400.0
88,73,58,17,0,0,400.0
88,63,41,17,1,0,400.0
