beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
0.0,814.0,167932.0,814.0,0.0,0.0,0.0,721.0,131132.0,721.0
1e-05,814.0,169331.0,815.69331,0.0,0.0,0.0,716.0,130732.0,717.30732
2e-05,814.0,169731.0,817.39462,0.0,0.0,0.0,718.0,167491.0,721.34982
4e-05,815.0,171331.0,821.85324,0.0,0.0,0.0,718.0,131932.0,723.27728
8e-05,814.0,169330.0,827.5464,0.0,0.0,0.0,720.0,130532.0,730.44256
0.0001,815.0,170631.0,832.0631,0.0,0.0,0.0,711.0,167708.0,727.7708
0.0002,812.0,181727.0,848.3454,0.0,0.0,0.0,720.0,135331.0,747.0662
0.0004,814.0,183232.0,887.2928,0.0,0.0,0.0,713.0,123932.0,762.5728
0.0008,813.0,184830.0,960.864,0.0,0.0,0.0,678.0,179072.0,821.2576
0.001,813.0,185830.0,998.83,0.0,0.0,0.0,680.0,177689.0,857.689
0.002,807.0,191026.0,1189.052,0.0,0.0,0.0,667.0,180113.0,1027.226
0.004,794.0,194615.0,1572.46,0.0,0.0,0.0,641.0,187156.0,1389.624
0.008,623.0,221293.0,2393.344,0.0,0.0,0.0,532.0,200227.0,2133.816
0.01,547.0,229600.0,2843.0,0.0,0.0,0.0,411.0,214858.0,2559.58
0.02,480.0,234961.0,5179.22,0.0,0.0,0.0,411.0,214858.0,4708.16
0.04,472.0,235632.0,9897.28,0.0,0.0,0.0,411.0,214858.0,9005.32
0.08,465.0,236054.0,19349.32,0.0,0.0,0.0,411.0,214858.0,17599.64
0.1,467.0,235946.0,24061.6,0.0,0.0,0.0,411.0,214858.0,21896.8
0.2,473.0,235944.0,47661.8,0.0,0.0,0.0,411.0,214858.0,43382.6
0.4,463.0,236130.0,94915.0,0.0,0.0,0.0,411.0,214858.0,86354.2
1.0,463.0,236055.0,236518.0,0.0,0.0,0.0,411.0,214858.0,215269.0
10.0,467.0,236237.0,2362837.0,0.0,0.0,0.0,411.0,214858.0,2148991.0
