src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
0,78,0,2,0,0,1,10.0
0,78,0,2,0,0,1,10.0
1,34,0,2,0,0,1,10.0
1,34,0,2,0,0,1,10.0
2,36,0,2,0,0,1,10.0
2,36,0,2,0,0,1,10.0
3,71,0,2,0,0,1,10.0
3,71,0,2,0,0,1,10.0
5,25,0,2,0,0,1,10.0
5,25,0,2,0,0,1,10.0
5,90,2,2,0,0,1,10.0
5,90,2,2,0,0,1,10.0
9,23,0,2,0,0,1,10.0
9,23,0,2,0,0,1,10.0
10,58,0,2,0,0,1,10.0
10,58,0,2,0,0,1,10.0
13,39,0,2,0,0,1,10.0
13,39,0,2,0,0,1,10.0
13,72,2,2,0,0,1,10.0
13,72,2,2,0,0,1,10.0
15,27,0,2,0,0,1,10.0
15,27,0,2,0,0,1,10.0
17,45,0,2,0,0,1,10.0
17,45,0,2,0,0,1,10.0
17,76,2,2,0,0,1,10.0
17,76,2,2,0,0,1,10.0
18,33,0,2,0,0,1,10.0
18,33,0,2,0,0,1,10.0
20,64,0,2,0,0,1,10.0
20,64,0,2,0,0,1,10.0
22,19,0,2,0,0,1,10.0
22,19,0,2,0,0,1,10.0
22,49,2,2,0,0,1,10.0
22,49,2,2,0,0,1,10.0
22,80,4,2,0,0,1,10.0
22,80,4,2,0,0,1,10.0
22,91,6,2,0,0,1,10.0
22,91,6,2,0,0,1,10.0
24,15,2,2,0,0,1,10.0
24,15,2,2,0,0,1,10.0
25,70,2,2,0,0,1,10.0
25,70,2,2,0,0,1,10.0
29,75,0,2,0,0,1,10.0
29,75,0,2,0,0,1,10.0
31,98,0,2,0,0,1,10.0
31,98,0,2,0,0,1,10.0
32,96,0,2,0,0,1,10.0
32,96,0,2,0,0,1,10.0
33,96,2,2,0,0,1,10.0
33,96,2,2,0,0,1,10.0
36,4,2,2,0,0,1,10.0
36,4,2,2,0,0,1,10.0
38,46,0,2,0,0,1,10.0
38,46,0,2,0,0,1,10.0
38,54,2,2,0,0,1,10.0
38,54,2,2,0,0,1,10.0
39,10,2,2,0,0,1,10.0
39,10,2,2,0,0,1,10.0
39,24,4,2,0,0,1,10.0
39,24,4,2,0,0,1,10.0
44,65,0,2,0,0,1,10.0
44,65,0,2,0,0,1,10.0
45,12,2,2,0,0,1,10.0
45,12,2,2,0,0,1,10.0
46,48,2,2,0,0,1,10.0
46,48,2,2,0,0,1,10.0
47,12,0,2,0,0,1,10.0
47,12,0,2,0,0,1,10.0
47,81,2,2,0,0,1,10.0
47,81,2,2,0,0,1,10.0
49,22,8,2,0,0,1,10.0
49,22,8,2,0,0,1,10.0
49,82,0,2,0,0,1,10.0
49,82,0,2,0,0,1,10.0
53,21,0,2,0,0,1,10.0
53,21,0,2,0,0,1,10.0
54,26,0,2,0,0,1,10.0
54,26,0,2,0,0,1,10.0
63,6,0,2,0,0,1,10.0
63,6,0,2,0,0,1,10.0
63,74,2,2,0,0,1,10.0
63,74,2,2,0,0,1,10.0
64,40,2,2,0,0,1,10.0
64,40,2,2,0,0,1,10.0
65,6,2,2,0,0,1,10.0
65,6,2,2,0,0,1,10.0
65,31,4,2,0,0,1,10.0
65,31,4,2,0,0,1,10.0
66,97,0,2,0,0,1,10.0
66,97,0,2,0,0,1,10.0
69,2,2,2,0,0,1,10.0
69,2,2,2,0,0,1,10.0
69,29,4,2,0,0,1,10.0
69,29,4,2,0,0,1,10.0
69,41,0,2,0,0,1,10.0
69,41,0,2,0,0,1,10.0
69,50,6,2,0,0,1,10.0
