src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
99,23,0,41,2,1,1,1000.0
99,3,0,41,1,0,1,1000.0
98,34,0,41,2,1,1,1000.0
94,20,0,41,1,1,1,1000.0
93,87,0,41,0,0,1,1000.0
92,62,0,41,1,1,1,1000.0
91,81,0,41,2,2,1,1000.0
88,68,0,41,1,2,1,1000.0
86,85,0,41,2,2,1,1000.0
86,14,0,41,0,1,1,1000.0
86,7,0,41,1,0,1,1000.0
85,20,0,41,1,2,1,1000.0
83,85,0,41,2,0,1,1000.0
82,60,0,41,0,2,1,1000.0
80,83,0,41,0,1,1,1000.0
79,7,0,41,1,1,1,1000.0
77,32,0,41,1,1,1,1000.0
74,50,0,41,2,2,1,1000.0
74,5,0,41,0,0,1,1000.0
73,37,0,41,2,2,1,1000.0
72,79,0,41,1,0,1,1000.0
71,48,0,41,1,2,1,1000.0
70,66,0,41,1,1,1,1000.0
70,8,0,41,0,2,1,1000.0
69,76,0,41,0,2,1,1000.0
62,29,0,41,2,1,1,1000.0
57,14,0,41,0,0,1,1000.0
56,46,0,41,0,2,1,1000.0
55,0,0,41,0,1,1,1000.0
54,20,0,41,1,0,1,1000.0
52,49,0,41,0,2,1,1000.0
52,38,0,41,1,2,1,1000.0
51,50,0,41,0,1,1,1000.0
48,44,0,41,0,0,1,1000.0
47,72,0,41,0,2,1,1000.0
41,43,0,41,0,0,1,1000.0
40,68,0,41,2,1,1,1000.0
40,62,0,41,1,0,1,1000.0
38,39,0,41,0,2,1,1000.0
33,2,0,41,0,2,1,1000.0
31,27,0,41,0,1,1,1000.0
29,53,0,41,2,0,1,1000.0
27,79,0,41,2,2,1,1000.0
27,12,0,41,0,2,1,1000.0
25,49,0,41,1,1,1,1000.0
24,89,0,41,2,0,1,1000.0
21,81,0,41,0,0,1,1000.0
18,52,0,41,1,2,1,1000.0
18,36,0,41,2,0,1,1000.0
17,78,0,41,1,1,1,1000.0
16,15,0,41,2,0,1,1000.0
11,37,0,41,2,0,1,1000.0
10,97,0,41,0,0,1,1000.0
9,32,0,41,0,2,1,1000.0
9,8,0,41,2,0,1,1000.0
8,63,0,41,1,1,1,1000.0
5,54,0,41,2,2,1,1000.0
4,78,0,41,2,0,1,1000.0
4,6,0,41,0,1,1,1000.0
3,76,0,41,2,1,1,1000.0
2,59,0,41,1,2,1,1000.0
0,75,0,41,2,2,1,1000.0
80,5,41,21,1,1,2,1000.0
70,93,41,21,0,1,2,1000.0
64,22,0,21,0,0,2,1000.0
53,44,0,21,1,1,2,1000.0
51,67,0,21,1,0,2,1000.0
36,97,0,21,1,1,2,1000.0
31,22,41,21,0,1,2,1000.0
1,43,0,21,1,1,2,1000.0
99,83,41,17,2,0,1,400.0
99,27,41,17,1,0,1,400.0
99,12,58,17,2,0,1,400.0
98,82,41,17,2,2,1,400.0
98,71,58,17,2,2,1,400.0
98,57,0,17,0,2,1,400.0
98,39,17,17,0,0,1,400.0
96,95,0,17,2,0,1,400.0
96,83,41,17,2,2,1,400.0
96,61,17,17,2,1,1,400.0
96,33,0,17,1,2,1,400.0
96,28,0,17,0,1,1,400.0
96,17,17,17,0,2,1,400.0
96,16,17,17,1,1,1,400.0
95,54,41,17,0,2,1,400.0
95,22,21,17,1,1,1,400.0
94,80,41,17,0,0,1,400.0
94,71,0,17,2,2,1,400.0
94,47,58,17,0,0,1,400.0
92,97,21,17,2,1,1,400.0
92,91,41,17,1,1,1,400.0
