beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb
0.0001,242.0,195250.0,261.525,0.0,0.0,0.0
0.0002,242.0,195250.0,281.05,0.0,0.0,0.0
0.0003,242.0,195250.0,300.575,242.0,195250.0,300.575
0.0004,240.0,198250.0,319.3,0.0,0.0,0.0
0.0005,239.0,201750.0,339.875,0.0,0.0,0.0
0.0006,237.0,204000.0,359.4,0.0,0.0,0.0
0.0007,238.0,203500.0,380.45,0.0,0.0,0.0
0.0008,234.0,208000.0,400.4,0.0,0.0,0.0
0.0009,233.0,209000.0,421.1,0.0,0.0,0.0
0.001,233.0,210500.0,443.5,0.0,0.0,0.0
0.0011,229.0,215000.0,465.5,0.0,0.0,0.0
0.0012,229.0,214750.0,486.7,0.0,0.0,0.0
0.0013,232.0,211250.0,506.625,0.0,0.0,0.0
0.0014,230.0,214250.0,529.95,0.0,0.0,0.0
0.0015,229.0,213500.0,549.25,0.0,0.0,0.0
0.0016,228.0,215500.0,572.8,0.0,0.0,0.0
0.0017,218.0,219500.0,591.15,0.0,0.0,0.0
0.0018,221.0,219250.0,615.65,0.0,0.0,0.0
0.0019,218.0,220000.0,636.0,0.0,0.0,0.0
0.002,220.0,219750.0,659.5,0.0,0.0,0.0
0.0021,218.0,218500.0,676.85,0.0,0.0,0.0
0.0022,219.0,218750.0,700.25,0.0,0.0,0.0
0.0023,214.0,223500.0,728.05,0.0,0.0,0.0
0.0024,208.0,224500.0,746.8,0.0,0.0,0.0
0.0025,212.0,222750.0,768.875,0.0,0.0,0.0
0.0026,216.0,220250.0,788.65,0.0,0.0,0.0
0.0027,215.0,220250.0,809.675,0.0,0.0,0.0
0.0028,216.0,221500.0,836.2,0.0,0.0,0.0
0.0029,209.0,222750.0,854.975,0.0,0.0,0.0
0.003,208.0,223250.0,877.75,0.0,0.0,0.0
0.0031,208.0,222750.0,898.525,0.0,0.0,0.0
0.0032,213.0,223750.0,929.0,0.0,0.0,0.0
0.0033,209.0,225500.0,953.15,0.0,0.0,0.0
0.0034,198.0,227750.0,972.35,0.0,0.0,0.0
0.0035,215.0,220250.0,985.875,0.0,0.0,0.0
0.0036,208.0,224500.0,1016.2,0.0,0.0,0.0
0.0037,207.0,223500.0,1033.95,0.0,0.0,0.0
0.0038,208.0,223250.0,1056.35,0.0,0.0,0.0
0.0039,209.0,224250.0,1083.575,0.0,0.0,0.0
0.004,203.0,225500.0,1105.0,0.0,0.0,0.0
0.0041,208.0,225000.0,1130.5,0.0,0.0,0.0
0.0042,204.0,225250.0,1150.05,0.0,0.0,0.0
0.0043,201.0,224250.0,1165.275,0.0,0.0,0.0
0.0044,206.0,227000.0,1204.8,0.0,0.0,0.0
0.0045,202.0,227000.0,1223.5,0.0,0.0,0.0
0.0046,207.0,227750.0,1254.65,0.0,0.0,0.0
0.0047,206.0,224250.0,1259.975,0.0,0.0,0.0
0.0048,208.0,224000.0,1283.2,0.0,0.0,0.0
0.0049,202.0,226500.0,1311.85,0.0,0.0,0.0
