beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb
0.0,896.0,224300.0,896.0,801.0,203400.0,801.0
0.005,892.0,231500.0,2049.5,792.0,207500.0,1829.5
0.01,881.0,233300.0,3214.0,789.0,208400.0,2873.0
0.015,880.0,233500.0,4382.5,788.0,210400.0,3944.0
0.02,876.0,233700.0,5550.0,784.0,207500.0,4934.0
0.025,876.0,233700.0,6718.5,785.0,208900.0,6007.5
0.03,873.0,234000.0,7893.0,780.0,207800.0,7014.0
0.035,872.0,234000.0,9062.0,780.0,209400.0,8109.0
0.04,866.0,234200.0,10234.0,777.0,207300.0,9069.0
0.045,841.0,234700.0,11402.5,779.0,210500.0,10251.5
0.05,846.0,234600.0,12576.0,773.0,208800.0,11213.0
0.055,844.0,234500.0,13741.5,773.0,211000.0,12378.0
0.06,858.0,234300.0,14916.0,778.0,208300.0,13276.0
0.065,842.0,234600.0,16091.0,770.0,208900.0,14348.5
0.07,843.0,234500.0,17258.0,767.0,209400.0,15425.0
0.075,852.0,234400.0,18432.0,769.0,208700.0,16421.5
0.08,841.0,234500.0,19601.0,765.0,209000.0,17485.0
0.085,842.0,234600.0,20783.0,759.0,209100.0,18532.5
0.09,842.0,234500.0,21947.0,759.0,208600.0,19533.0
0.095,848.0,234500.0,23125.5,764.0,207300.0,20457.5
0.1,846.0,234500.0,24296.0,776.0,209900.0,21766.0
0.15,839.0,234500.0,36014.0,761.0,208800.0,32081.0
0.2,855.0,234600.0,47775.0,776.0,207500.0,42276.0
0.25,845.0,234500.0,59470.0,773.0,210400.0,53373.0
0.3,853.0,234400.0,71173.0,787.0,210200.0,63847.0
0.35,845.0,234500.0,82920.0,768.0,209800.0,74198.0
0.4,839.0,234600.0,94679.0,769.0,208300.0,84089.0
0.45,842.0,234500.0,106367.0,773.0,207500.0,94148.0
0.5,844.0,234500.0,118094.0,776.0,208500.0,105026.0
0.55,843.0,234600.0,129873.0,764.0,208000.0,115164.0
0.6,860.0,234600.0,141620.0,772.0,207900.0,125512.0
0.65,838.0,234500.0,153263.0,763.0,206300.0,134858.0
0.7,853.0,234400.0,164933.0,769.0,209700.0,147559.0
0.75,857.0,234400.0,176657.0,772.0,207800.0,156622.0
0.8,853.0,234500.0,188453.0,778.0,208900.0,167898.0
0.85,850.0,234500.0,200175.0,777.0,212200.0,181147.0
0.9,844.0,234600.0,211984.0,773.0,205500.0,185723.0
0.95,845.0,234400.0,223525.0,768.0,207500.0,197893.0
1.0,845.0,234600.0,235445.0,768.0,207100.0,207868.0
10.0,847.0,234500.0,2345847.0,780.0,210500.0,2105780.0
20.0,844.0,234500.0,4690844.0,766.0,209300.0,4186766.0
30.0,847.0,234500.0,7035847.0,776.0,209700.0,6291776.0
40.0,840.0,234600.0,9384840.0,766.0,206200.0,8248766.0
50.0,838.0,234500.0,11725838.0,776.0,208900.0,10445776.0
60.0,849.0,234700.0,14082849.0,769.0,210800.0,12648769.0
70.0,842.0,234600.0,16422842.0,763.0,209100.0,14637763.0
80.0,853.0,234500.0,18760853.0,776.0,209100.0,16728776.0
90.0,854.0,234500.0,21105854.0,765.0,208600.0,18774765.0
100.0,851.0,234500.0,23450851.0,776.0,207700.0,20770776.0
