beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb
0.0,985.0,201140.0,985.0,923.0,185850.0,923.0
0.005,981.0,207820.0,2020.1,916.0,190300.0,1867.5
0.01,979.0,207580.0,3054.8,919.0,190320.0,2822.2
0.015,968.0,208300.0,4092.5,908.0,189530.0,3750.95
0.02,965.0,208650.0,5138.0,905.0,189950.0,4704.0
0.025,940.0,209660.0,6181.5,901.0,191940.0,5699.5
0.03,923.0,210420.0,7235.6,896.0,189730.0,6587.9
0.035,926.0,210190.0,8282.65,900.0,191230.0,7593.05
0.04,920.0,210010.0,9320.4,890.0,188840.0,8443.6
0.045,917.0,210440.0,10386.8,889.0,189360.0,9410.2
0.05,903.0,210940.0,11450.0,885.0,190680.0,10419.0
0.055,919.0,210470.0,12494.85,890.0,192140.0,11457.7
0.06,922.0,210270.0,13538.2,883.0,187720.0,12146.2
0.065,915.0,210130.0,14573.45,893.0,189920.0,13237.8
0.07,895.0,210550.0,15633.5,885.0,192050.0,14328.5
0.075,899.0,210470.0,16684.25,893.0,191030.0,15220.25
0.08,905.0,210420.0,17738.6,882.0,189880.0,16072.4
0.085,864.0,210890.0,18789.65,884.0,190480.0,17074.8
0.09,876.0,211070.0,19872.3,888.0,192080.0,18175.2
0.095,879.0,210940.0,20918.3,884.0,190370.0,18969.15
0.1,881.0,210970.0,21978.0,884.0,191240.0,20008.0
0.15,890.0,211050.0,32547.5,888.0,192730.0,29797.5
0.2,858.0,211220.0,43102.0,889.0,192020.0,39293.0
0.25,869.0,210940.0,53604.0,891.0,189990.0,48388.5
0.3,864.0,211230.0,64233.0,883.0,192600.0,58663.0
0.35,869.0,211000.0,74719.0,874.0,190150.0,67426.5
0.4,868.0,211240.0,85364.0,889.0,189550.0,76709.0
0.45,874.0,211040.0,95842.0,880.0,190250.0,86492.5
0.5,869.0,211460.0,106599.0,885.0,189970.0,95870.0
0.55,864.0,211170.0,117007.5,891.0,190350.0,105583.5
0.6,864.0,211010.0,127470.0,887.0,189810.0,114773.0
0.65,872.0,211060.0,138061.0,890.0,190000.0,124390.0
0.7,874.0,211120.0,148658.0,891.0,192690.0,135774.0
0.75,878.0,211660.0,159623.0,894.0,191300.0,144369.0
0.8,869.0,211120.0,169765.0,885.0,191060.0,153733.0
0.85,876.0,211050.0,180268.5,886.0,191090.0,163312.5
0.9,882.0,211070.0,190845.0,889.0,190550.0,172384.0
0.95,859.0,211490.0,201774.5,885.0,193200.0,184425.0
1.0,860.0,211020.0,211880.0,881.0,189830.0,190711.0
10.0,874.0,211070.0,2111574.0,883.0,189310.0,1893983.0
20.0,872.0,211140.0,4223672.0,886.0,190360.0,3808086.0
30.0,871.0,211030.0,6331771.0,887.0,190460.0,5714687.0
40.0,887.0,211180.0,8448087.0,890.0,189190.0,7568490.0
50.0,845.0,211160.0,10558845.0,882.0,191790.0,9590382.0
60.0,848.0,211100.0,12666848.0,883.0,190620.0,11438083.0
70.0,864.0,211400.0,14798864.0,887.0,192660.0,13487087.0
80.0,871.0,211460.0,16917671.0,882.0,189310.0,15145682.0
90.0,872.0,211240.0,19012472.0,878.0,189900.0,17091878.0
100.0,873.0,211160.0,21116873.0,893.0,193570.0,19357893.0
