beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb
0.0,234.0,164000.0,234.0,209.0,145000.0,209.0
0.005,163.0,229500.0,1310.5,148.0,185000.0,1073.0
0.01,135.0,234500.0,2480.0,124.0,200500.0,2129.0
0.015,117.0,235250.0,3645.75,113.0,202250.0,3146.75
0.02,117.0,235250.0,4822.0,112.0,200000.0,4112.0
0.025,117.0,235250.0,5998.25,113.0,200750.0,5131.75
0.03,117.0,235250.0,7174.5,114.0,205250.0,6271.5
0.035,117.0,235250.0,8350.75,113.0,200250.0,7121.75
0.04,117.0,235250.0,9527.0,115.0,200750.0,8145.0
0.045,115.0,235250.0,10701.25,102.0,209500.0,9529.5
0.05,115.0,235250.0,11877.5,104.0,210000.0,10604.0
0.055,117.0,235250.0,13055.75,113.0,200750.0,11154.25
0.06,115.0,235250.0,14230.0,102.0,209500.0,12672.0
0.065,117.0,235250.0,15408.25,113.0,201750.0,13226.75
0.07,117.0,235250.0,16584.5,113.0,204500.0,14428.0
0.075,117.0,235250.0,17760.75,112.0,200000.0,15112.0
0.08,117.0,235250.0,18937.0,111.0,200250.0,16131.0
0.085,117.0,235250.0,20113.25,118.0,207500.0,17755.5
0.09,115.0,235250.0,21287.5,102.0,209500.0,18957.0
0.095,117.0,235250.0,22465.75,113.0,200750.0,19184.25
0.1,115.0,235250.0,23640.0,102.0,209500.0,21052.0
0.15,115.0,235250.0,35402.5,102.0,209500.0,31527.0
0.2,117.0,235250.0,47167.0,115.0,202500.0,40615.0
0.25,117.0,235250.0,58929.5,113.0,200750.0,50300.5
0.3,117.0,235250.0,70692.0,112.0,200000.0,60112.0
0.35,117.0,235250.0,82454.5,111.0,199750.0,70023.5
0.4,117.0,235250.0,94217.0,114.0,203000.0,81314.0
0.45,115.0,235250.0,105977.5,102.0,209500.0,94377.0
0.5,115.0,235250.0,117740.0,103.0,209750.0,104978.0
0.55,117.0,235250.0,129504.5,112.0,200000.0,110112.0
0.6,117.0,235250.0,141267.0,110.0,201250.0,120860.0
0.65,117.0,235250.0,153029.5,113.0,202250.0,131575.5
0.7,117.0,235250.0,164792.0,112.0,201500.0,141162.0
0.75,117.0,235250.0,176554.5,109.0,201000.0,150859.0
0.8,117.0,235250.0,188317.0,113.0,200750.0,160713.0
0.85,117.0,235250.0,200079.5,113.0,202250.0,172025.5
0.9,117.0,235250.0,211842.0,114.0,203000.0,182814.0
0.95,117.0,235250.0,223604.5,112.0,200500.0,190587.0
1.0,116.0,235250.0,235366.0,110.0,205000.0,205110.0
10.0,117.0,235250.0,2352617.0,110.0,201250.0,2012610.0
20.0,115.0,235250.0,4705115.0,102.0,209500.0,4190102.0
30.0,117.0,235250.0,7057617.0,112.0,200000.0,6000112.0
40.0,117.0,235250.0,9410117.0,110.0,201250.0,8050110.0
50.0,117.0,235250.0,11762617.0,113.0,200750.0,10037613.0
60.0,115.0,235250.0,14115115.0,103.0,209750.0,12585103.0
70.0,117.0,235250.0,16467617.0,112.0,200000.0,14000112.0
80.0,115.0,235250.0,18820115.0,102.0,209500.0,16760102.0
90.0,117.0,235250.0,21172617.0,118.0,207500.0,18675118.0
100.0,117.0,235250.0,23525117.0,113.0,204000.0,20400113.0
