beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb
0.0,1315.0,247000.0,1315.0,1314.0,246600.0,1314.0
0.005,1308.0,258350.0,2599.75,1307.0,258150.0,2597.75
0.01,1308.0,259025.0,3898.25,1305.0,258525.0,3890.25
0.015,1303.0,259050.0,5188.75,1302.0,258650.0,5181.75
0.02,1294.0,262875.0,6551.5,1288.0,261425.0,6516.5
0.025,1291.0,261600.0,7831.0,1289.0,261475.0,7825.875
0.03,1275.0,262325.0,9144.75,1272.0,262000.0,9132.0
0.035,1290.0,262275.0,10469.625,1276.0,259425.0,10355.875
0.04,1120.0,267975.0,11839.0,1120.0,267975.0,11839.0
0.045,647.0,279350.0,13217.75,647.0,279350.0,13217.75
0.05,638.0,279950.0,14635.5,638.0,279950.0,14635.5
0.055,625.0,280225.0,16037.375,625.0,280225.0,16037.375
0.06,612.0,279400.0,17376.0,612.0,279400.0,17376.0
0.065,594.0,279325.0,18750.125,594.0,279325.0,18750.125
0.07,533.0,278900.0,20056.0,533.0,278900.0,20056.0
0.075,521.0,278375.0,21399.125,520.0,278350.0,21396.25
0.08,509.0,279525.0,22871.0,509.0,279525.0,22871.0
0.085,507.0,279725.0,24283.625,507.0,279725.0,24283.625
0.09,509.0,277975.0,25526.75,509.0,277975.0,25526.75
0.095,496.0,280125.0,27107.875,496.0,280125.0,27107.875
0.1,502.0,279750.0,28477.0,502.0,279750.0,28477.0
0.15,493.0,279375.0,42399.25,492.0,279275.0,42383.25
0.2,514.0,280825.0,56679.0,513.0,279825.0,56478.0
0.25,491.0,279500.0,70366.0,491.0,279500.0,70366.0
0.3,486.0,279675.0,84388.5,485.0,278675.0,84087.5
0.35,492.0,279375.0,98273.25,492.0,279375.0,98273.25
0.4,487.0,279650.0,112347.0,487.0,279650.0,112347.0
0.45,497.0,279175.0,126125.75,497.0,279175.0,126125.75
0.5,493.0,279900.0,140443.0,493.0,279900.0,140443.0
0.55,482.0,279575.0,154248.25,482.0,279575.0,154248.25
0.6,491.0,279100.0,167951.0,491.0,279100.0,167951.0
0.65,489.0,279650.0,182261.5,489.0,279650.0,182261.5
0.7,537.0,279325.0,196064.5,536.0,279300.0,196046.0
0.75,492.0,279275.0,209948.25,492.0,279275.0,209948.25
0.8,477.0,279000.0,223677.0,477.0,279000.0,223677.0
0.85,483.0,279225.0,237824.25,483.0,279225.0,237824.25
0.9,486.0,279300.0,251856.0,486.0,279300.0,251856.0
0.95,490.0,279475.0,265991.25,490.0,279475.0,265991.25
1.0,486.0,279475.0,279961.0,486.0,279475.0,279961.0
10.0,476.0,278775.0,2788226.0,475.0,277775.0,2778225.0
20.0,491.0,279300.0,5586491.0,491.0,279300.0,5586491.0
30.0,488.0,279575.0,8387738.0,488.0,279575.0,8387738.0
40.0,481.0,278575.0,11143481.0,480.0,278475.0,11139480.0
50.0,488.0,279200.0,13960488.0,487.0,279000.0,13950487.0
60.0,490.0,279375.0,16762990.0,489.0,279275.0,16756989.0
70.0,488.0,278900.0,19523488.0,487.0,277900.0,19453487.0
80.0,485.0,279100.0,22328485.0,484.0,278900.0,22312484.0
90.0,488.0,279775.0,25180238.0,488.0,279775.0,25180238.0
100.0,485.0,279800.0,27980485.0,485.0,279800.0,27980485.0
