beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb
0.0001,210.0,180500.0,228.05,0.0,0.0,0.0
0.0002,210.0,182000.0,246.4,210.0,182000.0,246.4
0.0003,208.0,189750.0,264.925,208.0,189750.0,264.925
0.0004,208.0,189750.0,283.9,207.0,189500.0,282.8
0.0005,208.0,191000.0,303.5,208.0,191000.0,303.5
0.0006,207.0,193000.0,322.8,207.0,193000.0,322.8
0.0007,204.0,197000.0,341.9,204.0,197000.0,341.9
0.0008,197.0,204500.0,360.6,197.0,204500.0,360.6
0.0009,198.0,206000.0,383.4,197.0,205500.0,381.95
0.001,200.0,205500.0,405.5,200.0,205500.0,405.5
0.0011,198.0,208000.0,426.8,198.0,208000.0,426.8
0.0012,192.0,212500.0,447.0,192.0,212500.0,447.0
0.0013,191.0,213500.0,468.55,189.0,212750.0,465.575
0.0014,193.0,212250.0,490.15,193.0,212250.0,490.15
0.0015,192.0,213750.0,512.625,190.0,213250.0,509.875
0.0016,182.0,220250.0,534.4,180.0,219750.0,531.6
0.0017,180.0,218500.0,551.45,179.0,218250.0,550.025
0.0018,185.0,213000.0,568.4,184.0,212750.0,566.95
0.0019,189.0,214000.0,595.6,187.0,212750.0,591.225
0.002,181.0,218000.0,617.0,179.0,217500.0,614.0
0.0021,176.0,221000.0,640.1,176.0,221000.0,640.1
0.0022,179.0,219000.0,660.8,179.0,219000.0,660.8
0.0023,174.0,222000.0,684.6,172.0,221500.0,681.45
0.0024,172.0,222750.0,706.6,170.0,222250.0,703.4
0.0025,185.0,214500.0,721.25,185.0,214500.0,721.25
0.0026,185.0,218250.0,752.45,183.0,216750.0,746.55
0.0027,173.0,221750.0,771.725,170.0,221000.0,766.7
0.0028,181.0,220750.0,799.1,178.0,219500.0,792.6
0.0029,175.0,221500.0,817.35,171.0,220500.0,810.45
0.003,170.0,223000.0,839.0,169.0,222750.0,837.25
0.0031,174.0,221500.0,860.65,174.0,221500.0,860.65
0.0032,169.0,223000.0,882.6,168.0,222750.0,880.8
0.0033,171.0,222000.0,903.6,169.0,221500.0,899.95
0.0034,171.0,224000.0,932.6,167.0,221750.0,920.95
0.0035,170.0,223500.0,952.25,170.0,223500.0,952.25
0.0036,175.0,222250.0,975.1,175.0,222250.0,975.1
0.0037,180.0,220750.0,996.775,179.0,220500.0,994.85
0.0038,171.0,223250.0,1019.35,169.0,222750.0,1015.45
0.0039,173.0,221750.0,1037.825,172.0,221250.0,1034.875
0.004,169.0,224000.0,1065.0,167.0,223500.0,1061.0
0.0041,164.0,225000.0,1086.5,161.0,224000.0,1079.4
0.0042,165.0,225000.0,1110.0,163.0,223000.0,1099.6
0.0043,166.0,223750.0,1128.125,165.0,223500.0,1126.05
0.0044,163.0,224500.0,1150.8,161.0,224000.0,1146.6
0.0045,167.0,225000.0,1179.5,167.0,225000.0,1179.5
0.0046,165.0,225500.0,1202.3,162.0,224750.0,1195.85
0.0047,150.0,227250.0,1218.075,147.0,226500.0,1211.55
0.0048,167.0,224250.0,1243.4,166.0,224000.0,1241.2
0.0049,151.0,227250.0,1264.525,148.0,226500.0,1257.85
