beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
0.0,732.0,191250.0,732.0,0.0,0.0,0.0,640.0,148360.0,640.0
1e-05,732.0,192460.0,733.9246,0.0,0.0,0.0,635.0,145660.0,636.4566
2e-05,732.0,193320.0,735.8664,0.0,0.0,0.0,629.0,144670.0,631.8934
4e-05,733.0,192850.0,740.714,0.0,0.0,0.0,638.0,147070.0,643.8828
8e-05,733.0,193270.0,748.4616,0.0,0.0,0.0,637.0,146430.0,648.7144
0.0001,732.0,194770.0,751.477,0.0,0.0,0.0,635.0,148010.0,649.801
0.0002,732.0,194980.0,770.996,0.0,0.0,0.0,628.0,135760.0,655.152
0.0004,732.0,196040.0,810.416,0.0,0.0,0.0,637.0,148020.0,696.208
0.0008,732.0,195400.0,888.32,0.0,0.0,0.0,611.0,181830.0,756.464
0.001,731.0,195830.0,926.83,0.0,0.0,0.0,609.0,181370.0,790.37
0.002,728.0,198020.0,1124.04,0.0,0.0,0.0,600.0,183310.0,966.62
0.004,722.0,201090.0,1526.36,0.0,0.0,0.0,587.0,185030.0,1327.12
0.008,653.0,211970.0,2348.76,0.0,0.0,0.0,554.0,190060.0,2074.48
0.01,633.0,214300.0,2776.0,0.0,0.0,0.0,546.0,191980.0,2465.8
0.02,582.0,218460.0,4951.2,0.0,0.0,0.0,521.0,194080.0,4402.6
0.04,578.0,218950.0,9336.0,0.0,0.0,0.0,509.0,192270.0,8199.8
0.08,563.0,219510.0,18123.8,0.0,0.0,0.0,464.0,192550.0,15868.0
0.1,566.0,219440.0,22510.0,0.0,0.0,0.0,516.0,193620.0,19878.0
0.2,563.0,219560.0,44475.0,0.0,0.0,0.0,454.0,192810.0,39016.0
0.4,560.0,219550.0,88380.0,0.0,0.0,0.0,464.0,192550.0,77484.0
1.0,565.0,219340.0,219905.0,0.0,0.0,0.0,511.0,193200.0,193711.0
10.0,561.0,219860.0,2199161.0,0.0,0.0,0.0,510.0,192770.0,1928210.0
