src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
0,30,0,2,0,0,1,1.0
0,30,0,2,0,0,1,1.0
0,51,2,2,0,0,1,1.0
0,51,2,2,0,0,1,1.0
0,67,4,2,0,0,1,1.0
0,67,4,2,0,0,1,1.0
2,49,0,2,0,0,1,1.0
2,49,0,2,0,0,1,1.0
2,90,2,2,0,0,1,1.0
2,90,2,2,0,0,1,1.0
2,91,4,2,0,0,1,1.0
2,91,4,2,0,0,1,1.0
3,42,0,2,0,0,1,1.0
3,42,0,2,0,0,1,1.0
4,71,0,2,0,0,1,1.0
4,71,0,2,0,0,1,1.0
4,91,2,2,0,0,1,1.0
4,91,2,2,0,0,1,1.0
6,24,0,2,0,0,1,1.0
6,24,0,2,0,0,1,1.0
6,50,2,2,0,0,1,1.0
6,50,2,2,0,0,1,1.0
6,93,4,2,0,0,1,1.0
6,93,4,2,0,0,1,1.0
7,50,0,2,0,0,1,1.0
7,50,0,2,0,0,1,1.0
7,83,2,2,0,0,1,1.0
7,83,2,2,0,0,1,1.0
8,95,0,2,0,0,1,1.0
8,95,0,2,0,0,1,1.0
9,16,0,2,0,0,1,1.0
9,16,0,2,0,0,1,1.0
10,60,0,2,0,0,1,1.0
10,60,0,2,0,0,1,1.0
11,30,2,2,0,0,1,1.0
11,30,2,2,0,0,1,1.0
11,74,0,2,0,0,1,1.0
11,74,0,2,0,0,1,1.0
11,83,4,2,0,0,1,1.0
11,83,4,2,0,0,1,1.0
13,49,2,2,0,0,1,1.0
13,49,2,2,0,0,1,1.0
13,93,0,2,0,0,1,1.0
13,93,0,2,0,0,1,1.0
14,0,6,2,0,0,1,1.0
14,0,6,2,0,0,1,1.0
15,20,0,2,0,0,1,1.0
15,20,0,2,0,0,1,1.0
16,0,8,2,0,0,1,1.0
16,0,8,2,0,0,1,1.0
16,11,6,2,0,0,1,1.0
16,11,6,2,0,0,1,1.0
16,51,4,2,0,0,1,1.0
16,51,4,2,0,0,1,1.0
17,14,0,2,0,0,1,1.0
17,14,0,2,0,0,1,1.0
17,75,2,2,0,0,1,1.0
17,75,2,2,0,0,1,1.0
18,56,0,2,0,0,1,1.0
18,56,0,2,0,0,1,1.0
18,79,2,2,0,0,1,1.0
18,79,2,2,0,0,1,1.0
19,3,2,2,0,0,1,1.0
19,3,2,2,0,0,1,1.0
19,4,4,2,0,0,1,1.0
19,4,4,2,0,0,1,1.0
19,46,0,2,0,0,1,1.0
19,46,0,2,0,0,1,1.0
20,38,2,2,0,0,1,1.0
20,38,2,2,0,0,1,1.0
20,75,4,2,0,0,1,1.0
20,75,4,2,0,0,1,1.0
21,16,2,2,0,0,1,1.0
21,16,2,2,0,0,1,1.0
22,47,0,2,0,0,1,1.0
22,47,0,2,0,0,1,1.0
22,61,2,2,0,0,1,1.0
22,61,2,2,0,0,1,1.0
22,79,4,2,0,0,1,1.0
22,79,4,2,0,0,1,1.0
22,85,6,2,0,0,1,1.0
22,85,6,2,0,0,1,1.0
22,96,8,2,0,0,1,1.0
22,96,8,2,0,0,1,1.0
23,29,0,2,0,0,1,1.0
23,29,0,2,0,0,1,1.0
23,32,2,2,0,0,1,1.0
23,32,2,2,0,0,1,1.0
23,39,4,2,0,0,1,1.0
23,39,4,2,0,0,1,1.0
23,88,6,2,0,0,1,1.0
23,88,6,2,0,0,1,1.0
26,39,0,2,0,0,1,1.0
26,39,0,2,0,0,1,1.0
26,48,2,2,0,0,1,1.0
26,48,2,2,0,0,1,1.0
26,54,4,2,0,0,1,1.0
26,54,4,2,0,0,1,1.0
27,17,4,2,0,0,1,1.0
27,17,4,2,0,0,1,1.0
27,32,0,2,0,0,1,1.0
27,32,0,2,0,0,1,1.0
27,51,6,2,0,0,1,1.0
27,51,6,2,0,0,1,1.0
27,52,2,2,0,0,1,1.0
27,52,2,2,0,0,1,1.0
28,87,0,2,0,0,1,1.0
28,87,0,2,0,0,1,1.0
29,50,4,2,0,0,1,1.0
29,50,4,2,0,0,1,1.0
29,94,2,2,0,0,1,1.0
29,94,2,2,0,0,1,1.0
30,3,4,2,0,0,1,1.0
30,3,4,2,0,0,1,1.0
30,9,6,2,0,0,1,1.0
30,9,6,2,0,0,1,1.0
