src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
98,71,0,41,1,1,1,1000.0
97,65,0,41,1,2,1,1000.0
97,31,0,41,0,1,1,1000.0
95,1,0,41,1,0,1,1000.0
94,64,0,41,1,1,1,1000.0
92,17,0,41,1,2,1,1000.0
90,68,0,41,1,2,1,1000.0
89,88,0,41,0,2,1,1000.0
89,29,0,41,2,1,1,1000.0
88,82,0,41,1,1,1,1000.0
86,83,0,41,2,2,1,1000.0
81,46,0,41,2,1,1,1000.0
77,30,0,41,1,0,1,1000.0
76,99,0,41,2,2,1,1000.0
74,21,0,41,1,1,1,1000.0
73,63,0,41,2,0,1,1000.0
72,39,0,41,1,0,1,1000.0
71,3,0,41,0,0,1,1000.0
70,40,0,41,0,2,1,1000.0
69,47,0,41,2,0,1,1000.0
67,98,0,41,2,2,1,1000.0
67,44,0,41,0,2,1,1000.0
66,60,0,41,0,2,1,1000.0
65,89,0,41,0,1,1,1000.0
65,12,0,41,1,1,1,1000.0
64,93,0,41,0,2,1,1000.0
64,49,0,41,2,2,1,1000.0
63,23,0,41,2,2,1,1000.0
62,75,0,41,0,0,1,1000.0
62,57,0,41,2,0,1,1000.0
60,87,0,41,1,0,1,1000.0
59,56,0,41,2,1,1,1000.0
57,77,0,41,1,0,1,1000.0
53,85,0,41,1,1,1,1000.0
53,16,0,41,0,0,1,1000.0
52,40,0,41,0,0,1,1000.0
50,71,0,41,1,2,1,1000.0
49,16,0,41,1,1,1,1000.0
48,96,0,41,1,1,1,1000.0
47,87,0,41,1,1,1,1000.0
46,56,0,41,0,0,1,1000.0
45,49,0,41,1,0,1,1000.0
44,69,0,41,1,0,1,1000.0
43,79,0,41,0,2,1,1000.0
43,23,0,41,1,0,1,1000.0
42,75,0,41,0,2,1,1000.0
42,7,0,41,1,0,1,1000.0
41,51,0,41,2,2,1,1000.0
37,56,0,41,1,2,1,1000.0
37,1,0,41,2,2,1,1000.0
36,67,0,41,0,1,1,1000.0
34,11,0,41,2,1,1,1000.0
33,51,0,41,0,0,1,1000.0
33,37,0,41,1,0,1,1000.0
32,99,0,41,1,1,1,1000.0
32,19,0,41,2,2,1,1000.0
31,80,0,41,2,0,1,1000.0
29,20,0,41,2,2,1,1000.0
28,91,0,41,2,1,1,1000.0
28,79,0,41,0,0,1,1000.0
28,30,0,41,1,2,1,1000.0
27,78,0,41,2,0,1,1000.0
25,74,0,41,1,2,1,1000.0
25,11,0,41,0,0,1,1000.0
25,2,0,41,2,2,1,1000.0
23,35,0,41,1,0,1,1000.0
22,86,0,41,2,1,1,1000.0
21,41,0,41,2,0,1,1000.0
20,32,0,41,0,0,1,1000.0
19,73,0,41,0,1,1,1000.0
18,61,0,41,1,0,1,1000.0
18,30,0,41,0,1,1,1000.0
14,43,0,41,0,2,1,1000.0
13,15,0,41,1,2,1,1000.0
12,35,0,41,0,2,1,1000.0
10,78,0,41,2,1,1,1000.0
10,31,0,41,0,0,1,1000.0
8,84,0,41,1,0,1,1000.0
7,57,0,41,2,2,1,1000.0
5,34,0,41,1,0,1,1000.0
2,83,0,41,1,1,1,1000.0
0,1,0,41,0,1,1,1000.0
94,38,41,21,1,1,2,1000.0
88,35,41,21,0,1,2,1000.0
58,80,0,21,1,1,2,1000.0
16,14,41,21,1,0,2,1000.0
8,24,41,21,1,1,2,1000.0
98,33,41,17,2,0,1,400.0
97,75,41,17,1,0,1,400.0
97,47,41,17,2,1,1,400.0
97,42,0,17,2,2,1,400.0
97,27,17,17,2,1,1,400.0
95,72,0,17,2,2,1,400.0
95,45,17,17,2,0,1,400.0
95,41,34,17,2,1,1,400.0
95,37,41,17,0,2,1,400.0
95,22,0,17,0,1,1,400.0
95,10,58,17,0,2,1,400.0
95,4,41,17,1,2,1,400.0
94,93,0,17,2,0,1,400.0
94,92,0,17,0,0,1,400.0
94,89,62,17,2,0,1,400.0
94,45,17,17,0,2,1,400.0
94,36,34,17,0,1,1,400.0
93,47,58,17,1,1,1,400.0
93,28,41,17,1,2,1,400.0
92,97,41,17,2,0,1,400.0
92,94,51,17,1,0,1,400.0
92,90,58,17,2,1,1,400.0
91,69,0,17,0,1,1,400.0
90,92,17,17,2,0,1,400.0
90,54,0,17,0,1,1,400.0
90,53,41,17,2,1,1,400.0
90,21,17,17,0,0,1,400.0
90,4,0,17,2,1,1,400.0
89,75,41,17,0,1,1,400.0
89,42,41,17,1,2,1,400.0
89,7,41,17,2,1,1,400.0
88,90,62,17,0,2,1,400.0
88,70,41,17,2,1,1,400.0
87,15,41,17,1,1,1,400.0
86,61,0,17,0,2,1,400.0
86,28,41,17,0,1,1,400.0
86,4,17,17,0,2,1,400.0
85,4,17,17,2,1,1,400.0
84,72,41,17,0,2,1,400.0
84,5,0,17,1,0,1,400.0
83,80,41,17,1,2,1,400.0
83,38,0,17,0,2,1,400.0
83,28,41,17,2,0,1,400.0
83,7,41,17,0,2,1,400.0
82,87,41,17,1,0,1,400.0
82,66,0,17,0,1,1,400.0
82,64,41,17,2,0,1,400.0
82,45,34,17,0,2,1,400.0
82,33,58,17,2,1,1,400.0
82,4,0,17,2,0,1,400.0
82,2,17,17,0,0,1,400.0
81,99,0,17,1,0,1,400.0
81,40,0,17,0,1,1,400.0
81,36,41,17,1,0,1,400.0
81,31,58,17,1,1,1,400.0
81,8,41,17,2,0,1,400.0
80,31,41,17,1,0,1,400.0
80,29,21,17,1,0,1,400.0
80,26,21,17,2,2,1,400.0
79,84,41,17,2,2,1,400.0
79,63,41,17,0,1,1,400.0
79,26,0,17,1,1,1,400.0
78,91,0,17,2,2,1,400.0
78,69,41,17,1,1,1,400.0
77,63,41,17,1,2,1,400.0
77,22,0,17,2,0,1,400.0
77,19,17,17,2,1,1,400.0
76,28,58,17,1,2,1,400.0
75,11,58,17,1,0,1,400.0
74,87,41,17,2,2,1,400.0
74,53,41,17,0,0,1,400.0
74,29,58,17,2,0,1,400.0
73,38,0,17,0,0,1,400.0
73,33,41,17,1,2,1,400.0
72,37,41,17,0,1,1,400.0
71,77,41,17,2,2,1,400.0
71,50,58,17,2,2,1,400.0
71,9,41,17,0,0,1,400.0
70,87,58,17,0,2,1,400.0
70,76,0,17,2,1,1,400.0
70,57,58,17,1,0,1,400.0
70,55,0,17,1,0,1,400.0
70,26,41,17,0,1,1,400.0
70,11,41,17,2,1,1,400.0
69,90,41,17,2,0,1,400.0
69,13,17,17,1,2,1,400.0
68,97,58,17,0,1,1,400.0
68,81,17,17,0,1,1,400.0
68,50,0,17,0,0,1,400.0
68,49,41,17,1,2,1,400.0
68,43,58,17,1,2,1,400.0
68,22,41,17,2,1,1,400.0
67,92,41,17,2,0,1,400.0
66,62,41,17,0,0,1,400.0
65,41,41,17,1,0,1,400.0
65,31,41,17,2,2,1,400.0
64,72,58,17,2,0,1,400.0
63,48,0,17,1,0,1,400.0
62,81,58,17,0,2,1,400.0
62,30,41,17,1,0,1,400.0
60,67,41,17,2,1,1,400.0
60,53,58,17,2,2,1,400.0
60,15,58,17,1,1,1,400.0
60,3,0,17,0,2,1,400.0
59,78,58,17,1,1,1,400.0
59,61,17,17,1,2,1,400.0
59,34,41,17,0,2,1,400.0
59,20,58,17,0,2,1,400.0
58,82,21,17,2,2,1,400.0
58,79,17,17,0,1,1,400.0
58,51,38,17,2,1,1,400.0
58,38,34,17,0,0,1,400.0
58,20,51,17,0,0,1,400.0
56,62,58,17,0,1,1,400.0
56,24,62,17,1,1,1,400.0
56,10,41,17,0,0,1,400.0
54,80,58,17,0,2,1,400.0
54,74,0,17,0,0,1,400.0
54,73,41,17,0,2,1,400.0
54,66,0,17,2,2,1,400.0
54,57,41,17,1,2,1,400.0
54,27,17,17,1,0,1,400.0
54,14,17,17,2,2,1,400.0
53,58,21,17,2,1,1,400.0
52,23,41,17,2,2,1,400.0
52,13,58,17,2,1,1,400.0
52,10,0,17,1,1,1,400.0
52,7,17,17,1,1,1,400.0
51,93,41,17,2,0,1,400.0
51,71,58,17,1,0,1,400.0
50,51,41,17,1,0,1,400.0
50,6,0,17,2,2,1,400.0
49,73,41,17,1,0,1,400.0
49,25,41,17,0,0,1,400.0
48,98,41,17,1,0,1,400.0
48,37,58,17,0,2,1,400.0
48,31,41,17,2,1,1,400.0
48,23,58,17,2,0,1,400.0
48,20,0,17,2,1,1,400.0
48,3,58,17,1,1,1,400.0
48,2,34,17,0,0,1,400.0
47,92,58,17,0,0,1,400.0
47,91,41,17,2,1,1,400.0
47,4,0,17,2,2,1,400.0
46,69,58,17,1,1,1,400.0
46,59,41,17,2,2,1,400.0
46,9,58,17,0,0,1,400.0
45,57,41,17,0,1,1,400.0
45,35,0,17,2,1,1,400.0
45,0,41,17,1,1,1,400.0
44,76,41,17,2,0,1,400.0
44,11,41,17,0,0,1,400.0
44,1,58,17,0,1,1,400.0
43,99,41,17,2,0,1,400.0
43,52,41,17,1,1,1,400.0
43,24,58,17,1,0,1,400.0
43,14,62,17,0,1,1,400.0
41,53,0,17,1,2,1,400.0
41,45,58,17,2,0,1,400.0
40,13,17,17,1,0,1,400.0
38,42,17,17,0,2,1,400.0
38,14,62,17,2,2,1,400.0
37,51,58,17,0,2,1,400.0
37,26,41,17,0,0,1,400.0
36,42,41,17,2,0,1,400.0
35,87,62,17,1,0,1,400.0
35,50,41,17,0,2,1,400.0
34,42,41,17,1,1,1,400.0
33,92,0,17,2,2,1,400.0
33,83,58,17,0,1,1,400.0
33,36,17,17,2,1,1,400.0
32,55,41,17,0,0,1,400.0
32,22,58,17,1,1,1,400.0
32,15,41,17,2,0,1,400.0
31,5,58,17,2,0,1,400.0
29,90,41,17,0,1,1,400.0
27,63,58,17,1,1,1,400.0
27,51,0,17,1,1,1,400.0
27,40,34,17,1,1,1,400.0
27,24,62,17,2,2,1,400.0
27,13,0,17,0,2,1,400.0
26,87,17,17,1,2,1,400.0
26,80,58,17,1,1,1,400.0
26,64,41,17,2,1,1,400.0
26,41,17,17,0,1,1,400.0
26,34,58,17,2,0,1,400.0
26,30,58,17,0,1,1,400.0
25,63,41,17,1,0,1,400.0
23,99,41,17,0,1,1,400.0
22,69,41,17,0,0,1,400.0
22,60,17,17,1,0,1,400.0
22,15,17,17,0,0,1,400.0
21,98,58,17,1,0,1,400.0
21,76,41,17,1,1,1,400.0
21,56,41,17,2,1,1,400.0
21,24,0,17,0,0,1,400.0
20,36,17,17,1,2,1,400.0
19,59,0,17,1,1,1,400.0
18,74,17,17,2,0,1,400.0
18,71,41,17,2,1,1,400.0
18,57,58,17,1,1,1,400.0
18,13,58,17,2,2,1,400.0
17,91,17,17,0,0,1,400.0
17,90,58,17,2,0,1,400.0
17,58,38,17,1,1,1,400.0
17,50,34,17,0,0,1,400.0
17,34,0,17,0,1,1,400.0
17,30,55,17,1,2,1,400.0
16,93,62,17,1,2,1,400.0
16,89,58,17,0,1,1,400.0
16,13,0,17,2,0,1,400.0
14,73,17,17,1,0,1,400.0
13,41,58,17,0,0,1,400.0
12,86,41,17,0,2,1,400.0
12,55,17,17,2,0,1,400.0
12,45,0,17,2,0,1,400.0
11,8,62,17,1,2,1,400.0
11,6,0,17,2,0,1,400.0
10,46,17,17,1,2,1,400.0
9,82,51,17,1,0,1,400.0
8,98,0,17,2,0,1,400.0
8,68,58,17,0,2,1,400.0
7,78,58,17,2,2,1,400.0
7,42,58,17,0,2,1,400.0
6,59,17,17,0,0,1,400.0
6,24,17,17,2,2,1,400.0
5,79,58,17,2,2,1,400.0
5,67,41,17,2,0,1,400.0
5,13,41,17,1,0,1,400.0
3,66,17,17,2,1,1,400.0
3,44,41,17,1,1,1,400.0
3,14,41,17,0,2,1,400.0
2,36,51,17,2,1,1,400.0
1,77,41,17,0,0,1,400.0
0,99,17,17,2,0,1,400.0
0,84,17,17,1,1,1,400.0
0,75,58,17,0,0,1,400.0
0,67,58,17,1,1,1,400.0
0,33,58,17,2,2,1,400.0
99,29,58,9,0,2,1,200.0
98,93,41,9,1,2,1,200.0
98,70,17,9,0,1,1,200.0
98,57,58,9,2,2,1,200.0
97,19,58,9,0,1,1,200.0
95,21,58,9,2,2,1,200.0
