beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
0.0,874.0,223256.0,874.0,0.0,0.0,0.0,804.0,0.0,804.0
1e-05,874.0,229256.0,876.29256,0.0,0.0,0.0,804.0,1.73656,805.73656
2e-05,873.0,224056.0,877.48112,0.0,0.0,0.0,804.0,3.47312,807.47312
4e-05,875.0,227256.0,884.09024,0.0,0.0,0.0,804.0,6.94624,810.94624
8e-05,874.0,226456.0,892.11648,0.0,0.0,0.0,804.0,13.89248,817.89248
0.0001,874.0,228256.0,896.8256,0.0,0.0,0.0,804.0,17.3656,821.3656
0.0002,874.0,228056.0,919.6112,0.0,0.0,0.0,804.0,34.7312,838.7312
0.0004,874.0,232456.0,966.9824,0.0,0.0,0.0,804.0,69.4624,873.4624
0.0008,872.0,235056.0,1060.0448,0.0,0.0,0.0,804.0,138.9248,942.9248
0.001,871.0,237656.0,1108.656,0.0,0.0,0.0,804.0,173.656,977.656
0.002,869.0,239955.0,1348.91,0.0,0.0,0.0,804.0,347.312,1151.312
0.004,864.0,241356.0,1829.424,0.0,0.0,0.0,804.0,694.624,1498.624
0.008,855.0,244254.0,2809.032,0.0,0.0,0.0,656.0,215066.0,2376.528
0.01,850.0,244655.0,3296.55,0.0,0.0,0.0,531.0,2280.32,2811.32
0.02,824.0,246618.0,5756.36,0.0,0.0,0.0,531.0,4560.64,5091.64
0.04,746.0,250929.0,10783.16,0.0,0.0,0.0,531.0,9121.28,9652.28
0.08,615.0,253955.0,20931.4,0.0,0.0,0.0,531.0,18242.56,18773.56
0.1,602.0,254655.0,26067.5,0.0,0.0,0.0,531.0,22803.2,23334.2
0.2,585.0,254341.0,51453.2,0.0,0.0,0.0,531.0,45606.4,46137.4
0.4,589.0,254739.0,102484.6,0.0,0.0,0.0,531.0,91212.8,91743.8
1.0,582.0,254727.0,255309.0,0.0,0.0,0.0,531.0,228032.0,228563.0
10.0,583.0,254337.0,2543953.0,0.0,0.0,0.0,531.0,2280320.0,2280851.0
