src,dst,spec,used_slot,tfk_slot
0,8,0.0,2,1.0
0,17,51.0,2,1.0
0,28,38.0,6,5.0
0,39,58.0,2,1.0
0,41,62.0,3,2.0
0,42,34.0,4,3.0
0,47,26.0,5,4.0
0,49,2.0,2,1.0
0,55,4.0,6,5.0
0,64,23.0,3,2.0
0,80,70.0,4,3.0
0,83,44.0,7,6.0
1,8,2.0,3,2.0
1,13,21.0,4,3.0
1,19,17.0,4,3.0
1,34,39.0,2,1.0
1,52,10.0,2,1.0
1,65,0.0,2,1.0
1,78,45.0,5,4.0
1,91,42.0,3,2.0
2,10,42.0,3,2.0
2,55,12.0,2,1.0
2,56,51.0,6,5.0
3,17,0.0,5,4.0
3,20,64.0,4,3.0
3,30,28.0,5,4.0
3,55,50.0,7,6.0
3,66,57.0,4,3.0
3,82,14.0,4,3.0
4,2,71.0,5,4.0
4,7,0.0,2,1.0
4,14,34.0,5,4.0
4,19,60.0,5,4.0
4,24,67.0,4,3.0
4,25,29.0,5,4.0
4,29,16.0,7,6.0
4,37,14.0,2,1.0
4,49,41.0,6,5.0
4,73,52.0,2,1.0
4,83,10.0,4,3.0
4,94,65.0,2,1.0
4,96,8.0,2,1.0
5,88,78.0,2,1.0
5,99,0.0,2,1.0
6,0,76.0,4,3.0
6,2,46.0,4,3.0
6,15,55.0,3,2.0
6,24,20.0,2,1.0
6,34,26.0,2,1.0
6,37,33.0,8,7.0
6,38,50.0,2,1.0
6,40,67.0,4,3.0
6,41,44.0,2,1.0
6,45,10.0,2,1.0
6,50,0.0,4,3.0
6,52,58.0,6,5.0
6,62,22.0,4,3.0
6,68,52.0,3,2.0
7,50,67.0,5,4.0
7,54,40.0,6,5.0
7,64,2.0,2,1.0
7,71,4.0,2,1.0
7,72,25.0,5,4.0
7,73,19.0,2,1.0
7,75,13.0,6,5.0
7,77,55.0,6,5.0
7,83,6.0,2,1.0
7,84,30.0,5,4.0
7,91,21.0,4,3.0
7,94,46.0,9,8.0
8,17,23.0,4,3.0
9,3,62.0,2,1.0
9,8,53.0,5,4.0
9,16,20.0,3,2.0
9,20,45.0,3,2.0
9,25,58.0,4,3.0
9,44,8.0,2,1.0
9,52,70.0,2,1.0
9,71,73.0,7,6.0
9,72,2.0,6,5.0
9,75,10.0,2,1.0
9,78,43.0,2,1.0
9,80,31.0,4,3.0
9,87,25.0,5,4.0
9,91,35.0,4,3.0
10,3,6.0,2,1.0
10,19,45.0,3,2.0
10,20,20.0,2,1.0
10,26,60.0,2,1.0
10,33,22.0,2,1.0
10,34,2.0,2,1.0
10,39,8.0,2,1.0
10,46,70.0,3,2.0
10,58,15.0,4,3.0
10,60,66.0,4,3.0
10,61,36.0,6,5.0
