src,dst,spec,used_slot,tfk_slot
0,8,78.0,2,1.0
0,9,32.0,5,4.0
0,17,13.0,2,1.0
0,28,72.0,6,5.0
0,39,30.0,2,1.0
0,41,44.0,3,2.0
0,42,17.0,4,3.0
0,47,4.0,5,4.0
0,49,15.0,2,1.0
0,53,37.0,7,6.0
0,55,21.0,6,5.0
0,64,27.0,3,2.0
0,80,52.0,4,3.0
0,83,61.0,7,6.0
1,8,60.0,3,2.0
1,19,25.0,4,3.0
1,34,56.0,2,1.0
1,52,42.0,2,1.0
1,65,33.0,2,1.0
1,78,35.0,5,4.0
1,91,22.0,3,2.0
2,10,12.0,3,2.0
2,55,31.0,2,1.0
2,56,66.0,6,5.0
3,17,49.0,5,4.0
3,20,0.0,4,3.0
3,21,68.0,7,6.0
3,55,37.0,7,6.0
3,66,76.0,4,3.0
3,82,20.0,4,3.0
4,2,33.0,5,4.0
4,7,8.0,2,1.0
4,14,12.0,5,4.0
4,24,0.0,4,3.0
4,25,73.0,5,4.0
4,37,31.0,2,1.0
4,49,20.0,6,5.0
4,56,44.0,6,5.0
4,73,64.0,2,1.0
4,83,50.0,4,3.0
4,94,66.0,2,1.0
5,88,2.0,2,1.0
5,99,8.0,2,1.0
6,2,51.0,4,3.0
6,15,5.0,3,2.0
6,24,33.0,2,1.0
6,34,8.0,2,1.0
6,37,19.0,8,7.0
6,38,27.0,2,1.0
6,41,69.0,2,1.0
6,45,35.0,2,1.0
6,47,71.0,9,8.0
6,52,59.0,6,5.0
6,62,37.0,4,3.0
6,68,66.0,3,2.0
6,78,44.0,6,5.0
7,50,28.0,5,4.0
7,54,47.0,6,5.0
7,64,64.0,2,1.0
7,71,2.0,2,1.0
7,72,23.0,5,4.0
7,73,34.0,2,1.0
7,75,56.0,6,5.0
7,83,0.0,2,1.0
7,84,41.0,5,4.0
7,91,37.0,4,3.0
8,17,31.0,4,3.0
9,3,30.0,2,1.0
9,8,63.0,5,4.0
9,16,22.0,3,2.0
9,26,8.99999999999,9,8.0
9,44,2.0,2,1.0
9,52,0.0,2,1.0
9,71,72.0,7,6.0
9,75,28.0,2,1.0
