src,dst,spec,used_slot,tfk_slot
99,24,0,15,15
98,91,0,15,15
97,77,0,15,15
96,87,0,15,15
95,76,0,15,15
90,14,0,15,15
89,56,0,15,15
88,69,0,15,15
86,79,0,15,15
83,81,0,15,15
80,13,0,15,15
78,72,0,15,15
75,19,0,15,15
74,84,0,15,15
73,61,0,15,15
71,51,0,15,15
70,31,0,15,15
68,67,0,15,15
66,35,0,15,15
65,57,0,15,15
64,34,0,15,15
63,40,0,15,15
62,20,0,15,15
60,11,0,15,15
59,44,0,15,15
58,54,0,15,15
55,48,0,15,15
53,21,0,15,15
50,5,0,15,15
49,28,0,15,15
47,1,0,15,15
46,8,0,15,15
45,18,0,15,15
39,12,0,15,15
38,32,0,15,15
37,82,0,15,15
36,92,0,15,15
30,85,0,15,15
27,17,0,15,15
26,16,0,15,15
25,94,0,15,15
15,52,0,15,15
4,0,0,15,15
9,2,0,7,7
33,22,0,4,4
23,93,0,4,4
10,43,0,4,4
7,29,0,4,4
99,6,15,15,15
98,71,15,15,15
97,44,15,15,15
96,43,15,15,15
89,86,15,15,15
88,32,15,15,15
87,42,15,15,15
85,11,15,15,15
83,20,15,15,15
79,90,15,15,15
78,77,15,15,15
75,72,15,15,15
73,95,15,15,15
70,80,15,15,15
69,45,15,15,15
66,33,15,15,15
65,74,15,15,15
64,22,15,15,15
63,38,15,15,15
62,24,15,15,15
60,19,15,15,15
59,30,15,15,15
57,54,15,15,15
52,13,15,15,15
48,9,15,15,15
47,76,15,15,15
46,56,15,15,15
40,58,15,15,15
39,7,15,15,15
37,55,15,15,15
34,67,15,15,15
27,82,15,15,15
26,12,15,15,15
18,94,15,15,15
10,53,15,15,15
5,92,15,15,15
2,61,15,15,15
93,8,15,7,7
68,81,15,7,7
50,28,15,7,7
41,51,15,7,7
29,25,15,7,7
1,91,15,7,7
49,84,15,3,3
98,78,30,15,15
96,61,30,15,15
89,46,30,15,15
88,2,30,15,15
87,0,30,15,15
81,85,30,15,15
79,12,30,15,15
75,8,30,15,15
71,84,30,15,15
70,72,30,15,15
69,80,30,15,15
68,22,30,15,15
64,82,30,15,15
63,51,30,15,15
62,4,30,15,15
59,93,30,15,15
57,42,30,15,15
54,86,30,15,15
53,60,30,15,15
50,20,30,15,15
49,45,30,15,15
48,66,30,15,15
47,35,30,15,15
40,99,30,15,15
38,14,30,15,15
36,43,30,15,15
31,37,30,15,15
27,15,30,15,15
26,13,30,15,15
24,83,30,15,15
21,7,30,15,15
18,16,30,15,15
3,97,30,15,15
94,25,30,7,7
92,95,30,7,7
76,77,30,7,7
74,28,30,7,7
73,17,30,7,7
67,91,30,7,7
58,90,30,7,7
52,56,30,7,7
41,30,30,7,7
39,23,30,7,7
11,44,30,7,7
1,34,30,7,7
32,9,30,4,4
10,29,4,2,2
98,36,45,15,15
89,5,45,15,15
83,61,45,15,15
77,26,45,15,15
73,19,37,15,15
70,18,45,15,15
66,17,45,15,15
63,6,45,15,15
60,80,45,15,15
55,62,45,15,15
54,1,45,15,15
48,86,45,15,15
45,68,45,15,15
42,49,45,15,15
40,21,45,15,15
39,57,45,15,15
32,58,37,15,15
31,38,45,15,15
27,3,45,15,15
25,72,45,15,15
23,74,37,15,15
14,7,45,15,15
8,2,45,15,15
4,90,45,15,15
99,81,45,7,7
97,91,45,7,7
94,51,45,7,7
88,0,45,7,7
87,22,45,7,7
84,71,45,7,7
79,9,45,7,7
78,16,45,7,7
75,95,45,7,7
65,35,45,7,7
64,29,45,7,7
59,92,45,7,7
56,37,45,7,7
53,24,45,7,7
47,93,45,7,7
46,67,45,7,7
44,20,45,7,7
43,15,45,7,7
41,28,22,7,7
11,85,45,7,7
96,33,45,4,4
30,10,37,4,4
13,82,45,4,4
92,99,52,15,15
79,42,60,15,15
71,6,60,15,15
64,77,60,15,15
59,4,60,15,15
52,75,52,15,15
48,8,60,15,15
44,61,60,15,15
41,72,60,15,15
36,76,60,15,15
30,40,60,15,15
25,88,60,15,15
19,56,52,15,15
11,15,52,15,15
2,69,60,15,15
97,84,52,7,7
94,68,60,7,7
93,90,60,7,7
87,29,52,7,7
83,82,60,7,7
80,0,60,7,7
78,67,52,7,7
74,21,60,7,7
65,95,37,7,7
58,12,52,7,7
57,17,60,7,7
53,22,52,7,7
51,33,52,7,7
50,39,60,7,7
49,24,60,7,7
47,5,60,7,7
46,16,52,7,7
43,14,60,7,7
35,32,52,7,7
34,18,60,7,7
23,27,60,7,7
13,91,52,7,7
9,73,52,7,7
1,3,22,7,7
86,96,60,4,4
37,38,60,4,4
87,89,60,15,15
54,98,60,15,15
45,3,60,15,15
32,38,64,15,15
1,37,64,15,15
94,97,67,7,7
92,58,67,7,7
90,35,67,7,7
83,84,67,7,7
80,56,67,7,7
75,81,67,7,7
73,11,67,7,7
68,33,67,7,7
67,86,64,7,7
65,28,52,7,7
64,23,52,7,7
53,82,67,7,7
51,22,59,7,7
46,0,67,7,7
44,24,52,7,7
43,5,67,7,7
34,93,52,7,7
31,95,60,7,7
27,29,67,7,7
16,9,59,7,7
14,12,67,7,7
13,17,67,7,7
10,91,59,7,7
8,26,75,4,4
60,96,64,2,2
57,88,75,2,2
4,59,75,2,2
90,92,37,7,7
73,84,59,7,7
66,93,67,7,7
47,23,67,7,7
46,35,59,7,7
34,56,37,7,7
33,26,60,7,7
29,51,22,7,7
16,74,67,7,7
13,81,59,7,7
11,67,37,7,7
71,22,75,4,4
69,20,52,4,4
57,55,67,4,4
52,95,67,4,4
36,91,22,4,4
27,64,75,4,4
0,72,75,4,4
40,28,75,3,3
10,1,41,3,3
79,83,75,2,2
85,91,66,7,7
71,10,52,7,7
52,29,37,7,7
9,15,67,7,7
4,93,22,7,7
87,51,75,4,4
47,34,74,4,4
45,13,75,4,4
36,82,75,4,4
6,95,75,4,4
2,84,75,4,4
43,76,52,3,3
37,96,52,2,2
65,91,73,7,7
89,14,75,4,4
81,50,22,4,4
79,94,52,4,4
70,1,60,4,4
62,67,60,4,4
54,9,75,4,4
49,86,71,4,4
46,85,74,4,4
35,98,75,4,4
28,78,59,4,4
19,41,75,4,4
10,18,67,4,4
66,74,74,3,3
39,42,75,3,3
68,17,22,7,7
23,8,22,7,7
5,28,37,7,7
0,41,52,7,7
80,16,74,4,4
67,61,75,4,4
50,94,56,4,4
29,31,74,4,4
21,34,67,4,4
12,10,45,3,3
99,93,74,4,4
50,91,26,4,4
30,23,75,4,4
3,9,7,4,4
39,28,67,3,3
31,42,78,2,2
23,41,4,4,4
10,76,48,3,3
12,34,48,4,4
30,28,44,3,3
50,26,67,2,2
10,75,74,2,2
25,10,76,2,2
10,3,11,2,2
3,33,13,2,2
3,99,78,2,2
4,40,78,2,2
5,85,78,2,2
9,29,34,2,2
9,33,11,2,2
10,20,78,2,2
12,65,59,2,2
12,74,77,2,2
12,81,74,2,2
15,21,74,2,2
15,93,78,2,2
16,0,15,2,2
16,36,26,2,2
17,48,75,2,2
19,62,67,2,2
20,67,71,2,2
21,51,71,2,2
23,2,8,2,2
25,24,78,2,2
25,49,22,2,2
30,52,47,2,2
31,51,67,2,2
31,63,69,2,2
32,33,34,2,2
32,66,60,2,2
34,21,78,2,2
35,4,15,2,2
37,20,56,2,2
39,20,73,2,2
39,44,78,2,2
39,60,70,2,2
41,6,0,2,2
43,74,55,2,2
44,11,75,2,2
46,73,78,2,2
47,18,78,2,2
48,62,77,2,2
49,23,18,2,2
49,53,75,2,2
49,63,67,2,2
50,56,74,2,2
50,62,69,2,2
50,63,71,2,2
50,74,52,2,2
50,76,45,2,2
53,28,78,2,2
55,31,71,2,2
57,62,71,2,2
58,18,74,2,2
58,24,76,2,2
60,20,75,2,2
60,66,62,2,2
62,51,73,2,2
62,53,64,2,2
62,94,75,2,2
63,18,76,2,2
63,56,78,2,2
65,58,61,2,2
66,70,64,2,2
66,77,77,2,2
68,5,74,2,2
68,29,78,2,2
69,41,45,2,2
69,83,77,2,2
70,33,74,2,2
70,51,69,2,2
70,58,78,2,2
70,81,76,2,2
74,30,57,2,2
92,77,75,2,2
95,34,71,2,2
95,69,56,2,2
96,75,76,2,2
97,80,78,2,2
99,7,67,2,2
99,20,69,2,2
2,43,10,3,3
4,21,17,3,3
12,58,63,3,3
30,47,52,3,3
31,17,15,3,3
33,57,77,3,3
41,42,8,3,3
41,91,37,3,3
44,55,37,3,3
44,91,40,3,3
47,81,55,3,3
50,55,76,3,3
63,96,73,3,3
70,7,71,3,3
76,90,75,3,3
88,49,77,3,3
95,82,52,3,3
97,53,59,3,3
99,19,71,3,3
1,6,37,4,4
26,96,69,4,4
31,3,18,4,4
41,69,47,4,4
49,14,24,4,4
63,20,60,4,4
65,78,63,4,4
79,59,56,4,4
85,29,59,4,4
88,76,55,4,4
39,25,37,7,7
55,65,30,7,7
78,24,67,7,7
