src,dst,spec,core_src,core_dst,#core,used_slot,tfk_slot
0,8,14.0,1,0,1,2,1.0
0,9,13.0,2,1,1,13,12.0
0,10,31.0,1,2,1,17,16.0
0,17,78.0,2,2,1,2,1.0
0,28,22.0,0,2,1,16,15.0
0,39,22.0,1,2,1,3,2.0
0,41,67.0,0,0,2,4,6.0
0,42,72.0,1,1,2,6,9.0
0,47,60.0,1,0,2,6,10.0
0,49,78.0,1,2,1,2,1.0
0,55,27.0,2,1,1,16,15.0
0,59,1.0,0,1,1,17,16.0
0,64,57.0,1,0,2,3,4.0
0,66,2.0,1,0,1,12,11.0
0,80,71.0,0,2,1,9,8.0
0,83,48.0,0,2,1,19,18.0
1,8,43.0,1,0,1,7,6.0
1,13,35.0,1,0,1,8,7.0
1,19,68.0,0,1,1,9,8.0
1,34,25.0,1,0,1,2,1.0
1,52,78.0,1,2,1,2,1.0
1,65,60.0,2,2,1,2,1.0
1,78,0.0,2,0,1,11,10.0
1,91,61.0,1,2,1,5,4.0
1,98,65.0,2,2,1,11,10.0
2,10,68.0,0,0,1,7,6.0
2,55,57.0,2,2,1,2,1.0
2,56,26.0,2,0,1,14,13.0
3,17,42.0,0,0,1,12,11.0
3,21,12.0,2,2,1,18,17.0
3,30,30.0,1,1,1,13,12.0
3,48,25.0,0,1,1,14,13.0
3,55,58.0,0,0,1,17,16.0
3,59,3.0,1,2,1,27,26.0
3,82,15.0,0,1,1,10,9.0
4,2,0.0,1,2,1,11,10.0
4,7,0.0,0,1,1,2,1.0
4,14,49.0,0,1,2,7,11.0
4,19,67.0,1,2,1,13,12.0
4,24,2.0,0,1,1,9,8.0
4,25,65.0,2,0,1,13,12.0
4,29,9.0,2,2,1,19,18.0
4,37,48.0,2,0,1,2,1.0
4,49,26.0,1,0,1,16,15.0
4,56,50.0,2,2,1,15,14.0
4,73,78.0,2,1,1,2,1.0
4,83,0.0,2,0,1,9,8.0
4,94,14.0,1,0,1,2,1.0
4,96,59.0,0,2,1,2,1.0
5,88,57.0,0,1,1,2,1.0
5,99,2.0,0,2,1,2,1.0
6,0,49.0,1,1,1,8,7.0
6,2,40.0,1,1,1,9,8.0
6,15,27.0,0,2,1,7,6.0
6,24,78.0,1,1,1,2,1.0
6,34,69.0,0,0,1,2,1.0
6,37,58.0,1,1,1,20,19.0
6,38,0.0,0,1,1,2,1.0
6,40,52.0,0,0,1,9,8.0
6,41,76.0,2,0,1,4,3.0
6,45,44.0,0,1,1,2,1.0
6,47,36.0,2,0,1,24,23.0
6,50,61.0,0,0,1,8,7.0
6,52,24.0,1,0,1,16,15.0
6,60,61.0,2,2,1,15,14.0
6,62,34.0,0,0,1,10,9.0
6,68,22.0,0,1,1,5,4.0
6,78,2.0,0,1,1,14,13.0
